row_index,rule,label,dominates_baseline,n_objectives_beaten,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
1198,best_nyc_delivery_reliability_annual,Best nyc_delivery_reliability_annual,False,5,0.9078947368421053,31.799730691546518,0.7236842105263158,44.575447249243275,0.868421052631579,0.3341015220765382,14.586391792776208,0.881578947368421
0,best_nyc_delivery_deficit_p99_pct,Best nyc_delivery_deficit_p99_pct,False,6,0.75,20.0,0.8289473684210527,45.46999021061579,0.868421052631579,0.27431982908163266,7.423373780499799,0.8157894736842105
767,best_montague_flow_reliability_annual,Best montague_flow_reliability_annual,False,5,0.6842105263157895,50.0,0.9736842105263158,37.0966719430316,0.8947368421052632,0.4144724936054088,15.452496704253225,0.9342105263157895
999,best_montague_flow_deficit_p99_pct,Best montague_flow_deficit_p99_pct,False,7,0.6710526315789473,50.0,0.9473684210526315,5.6966563364642795,0.9078947368421053,0.27587602244476966,1.975814649140137,0.9078947368421053
607,best_trenton_flow_reliability_annual,Best trenton_flow_reliability_annual,False,4,0.5921052631578947,49.65884519812487,0.7894736842105263,9.911278542351493,0.9605263157894737,0.340762297843486,3.1283658198900155,0.5921052631578947
1100,best_downstream_flood_exceedance_annual,Best downstream_flood_exceedance_annual,True,8,0.6710526315789473,39.396358419215865,0.8421052631578947,21.88293784201847,0.9078947368421053,0.14251363289849847,1.5557098387501682,0.7763157894736842
1469,best_nyc_storage_min_p01_pct,Best nyc_storage_min_p01_pct,False,3,0.5789473684210527,49.72660154072398,0.6447368421052632,45.059536479895094,0.8552631578947368,0.3323249274992359,30.04491706365176,0.9342105263157895
264,best_nj_delivery_reliability_annual,Best nj_delivery_reliability_annual,False,4,0.6052631578947368,43.27745411418208,0.7631578947368421,38.76207004793858,0.868421052631579,0.2097245383332107,25.428333860365196,0.9868421052631579
1391,mean_scaled,Balanced (mean scaled),False,7,0.6973684210526315,47.57548733046776,0.8421052631578947,29.01397332621469,0.8947368421052632,0.18377401880368247,16.9994185391458,0.9736842105263158
1391,distance_to_ideal_p1,Compromise L1,False,7,0.6973684210526315,47.57548733046776,0.8421052631578947,29.01397332621469,0.8947368421052632,0.18377401880368247,16.9994185391458,0.9736842105263158
573,distance_to_ideal_p2,Compromise L2,False,7,0.7368421052631579,36.39144419896417,0.8157894736842105,28.775595424559455,0.9078947368421053,0.21932066298120081,8.08847265517181,0.8947368421052632
784,distance_to_ideal_pinf,Minimax regret,False,7,0.75,43.33305591995447,0.8157894736842105,28.33604307127719,0.881578947368421,0.2734204078701868,13.547642727056068,0.9342105263157895
784,maximin,Best worst-case,False,7,0.75,43.33305591995447,0.8157894736842105,28.33604307127719,0.881578947368421,0.2734204078701868,13.547642727056068,0.9342105263157895
725,mean_scaled_dominating,Balanced (dominating),True,8,0.6710526315789473,44.31465691818689,0.9342105263157895,16.614195591107638,0.9078947368421053,0.18151015364251444,0.39782167697088994,0.8947368421052632
1714,diverse_1,Diverse 1,True,7,0.7105263157894737,47.13287632284568,0.7894736842105263,24.651575373746418,0.881578947368421,0.32870517792177817,16.06914751615978,0.9605263157894737
1082,diverse_2,Diverse 2,True,7,0.7631578947368421,39.40413635809856,0.8421052631578947,22.713221043747584,0.881578947368421,0.33585045091050286,2.21488235386824,0.7368421052631579
