,Balanced (dominating) (row 725),Diverse 1 (row 1714),Diverse 2 (row 1082)
Balanced (dominating) (row 725),0.0,2.524049674372955,2.4367009071825283
Diverse 1 (row 1714),2.524049674372955,0.0,2.166085421337656
Diverse 2 (row 1082),2.4367009071825283,2.166085421337656,0.0
