row_index,rule,label,dominates_baseline,n_objectives_beaten,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
34,best_nyc_delivery_reliability_annual,Best nyc_delivery_reliability_annual,False,2,0.9822222222222222,48.86559751664512,0.40444444444444444,45.86723828959195,0.7555555555555555,1.2816697180547534,0.0,0.7177777777777777
864,best_nyc_delivery_deficit_p99_pct,Best nyc_delivery_deficit_p99_pct,False,3,0.6822222222222222,9.148314026964133,0.30444444444444446,46.20775417781885,0.7666666666666667,1.3509326680332054,0.01364637127330074,0.6433333333333333
728,best_montague_flow_reliability_annual,Best montague_flow_reliability_annual,False,6,0.5233333333333333,54.86084154137075,0.9333333333333333,17.16756165807915,0.8244444444444444,0.8680114620297305,0.0,0.5033333333333333
128,best_montague_flow_deficit_p99_pct,Best montague_flow_deficit_p99_pct,False,7,0.5722222222222222,48.55707284911638,0.8888888888888888,11.579577601108596,0.8411111111111111,1.007749148299651,1.0613022899921407,0.5477777777777778
306,best_trenton_flow_reliability_annual,Best trenton_flow_reliability_annual,False,4,0.8733333333333333,89.50224699033161,0.7722222222222223,68.11874686132404,0.8866666666666667,0.7948023241112423,0.0,0.12333333333333334
85,best_downstream_flood_exceedance_annual,Best downstream_flood_exceedance_annual,False,5,0.86,90.18885457920159,0.5222222222222223,68.65008514341623,0.8566666666666667,0.7807630180070289,0.0,0.4955555555555556
695,best_nyc_storage_min_p01_pct,Best nyc_storage_min_p01_pct,False,5,0.6088888888888889,47.99183473789763,0.6666666666666666,45.436896631224826,0.7855555555555556,0.8710992817846378,22.667835863619803,0.6455555555555555
30,best_nj_delivery_reliability_annual,Best nj_delivery_reliability_annual,False,6,0.7933333333333333,29.537698852891026,0.5433333333333333,46.523549211151355,0.7966666666666666,1.2140165605214315,5.362002917003617,1.0
393,mean_scaled,Balanced (mean scaled),False,7,0.7222222222222222,30.25946455630558,0.6022222222222222,46.29959311661629,0.8333333333333334,0.8307014539706423,6.760313830275297,1.0
393,distance_to_ideal_p1,Compromise L1,False,7,0.7222222222222222,30.25946455630558,0.6022222222222222,46.29959311661629,0.8333333333333334,0.8307014539706423,6.760313830275297,1.0
753,distance_to_ideal_p2,Compromise L2,False,6,0.6544444444444445,43.98066991523206,0.7377777777777778,42.80269898244381,0.8133333333333334,1.0343060371225876,17.947150671833878,0.6688888888888889
745,distance_to_ideal_pinf,Minimax regret,False,6,0.7111111111111111,29.91364522178916,0.5311111111111111,43.08859914833939,0.8122222222222222,1.1966835782728256,10.97570240232677,0.8077777777777778
745,maximin,Best worst-case,False,6,0.7111111111111111,29.91364522178916,0.5311111111111111,43.08859914833939,0.8122222222222222,1.1966835782728256,10.97570240232677,0.8077777777777778
393,mean_scaled_dominating,Balanced (dominating),False,7,0.7222222222222222,30.25946455630558,0.6022222222222222,46.29959311661629,0.8333333333333334,0.8307014539706423,6.760313830275297,1.0
859,diverse_1,Diverse 1,False,1,0.9822222222222222,44.97809591279739,0.3011111111111111,47.84353471274969,0.7211111111111111,1.4413702216162245,0.0,0.3688888888888889
306,diverse_2,Diverse 2,False,4,0.8733333333333333,89.50224699033161,0.7722222222222223,68.11874686132404,0.8866666666666667,0.7948023241112423,0.0,0.12333333333333334
