realization,drought_deficit_volume,drought_duration,drought_peak_depth,drought_onset_rate,drought_recovery_rate,flood_peak_magnitude,flood_pulse_duration,flood_rise_rate
0,-1.9966090700559143,1.0,-0.009817706168543605,-0.0024544265421359013,-0.014852312793542516,-2.6197896574855584,0.0,-2.5031094708636914
1,-0.02493595490500411,-1.0,0.13899454464915517,0.04633151488305165,0.19785008740069043,7.6180587018127035,-5.0,13.495316131013723
2,2.055221609600917,0.0,0.2522569761673088,0.014838645656900518,0.0360367108810441,5.35748635592082,1.0,5.123350161377296
3,1.8718774664125384,1.0,0.0831255614541424,-1.2561534846175058,0.01356584162883169,-2.894063713133736,0.0,-2.703030555725938
4,-5.860304879521859,-8.0,-0.26057574748015355,-0.0016412982788839015,0.11407929763197003,0.9713794326065965,-2.0,3.978360552712882
5,0.20822904143402354,0.0,-0.06101148227423381,-0.030505741137116904,-0.010168580379039005,-5.254439490691734,-1.0,-7.003435549577491
6,-3.7895954530089853,0.0,-0.1429996107062328,-0.8537896004020694,0.17604521710406743,-0.6769388430812846,0.0,-0.6268683374528958
7,1.0519005454617618,0.0,0.1222058122636922,0.02444116245273842,0.03055145306592305,-4.029916519769028,4.0,-18.423937741485034
8,-0.7078620701454534,0.0,-0.030470301672594235,-0.007617575418148559,-0.006094060334518814,-3.2247619449761693,-1.0,-2.833552617853435
9,-1.184092770773292,0.0,-0.328360283686558,0.011273518167548124,-0.03078245596855031,0.25641811595993147,0.0,-1.544037511636482
10,0.2029470274011136,0.0,-0.040105186925873726,-0.040105186925873726,-0.020052593462936863,5.443513722490248,-5.0,13.162972175494142
11,6.178714931375584,1.0,0.3178729932542317,0.02445176871186397,0.009685965267947766,-1.737919796297895,0.0,-0.31402066923712724
12,0.423119227204408,-3.0,0.39953191796437304,0.13317730598812438,0.15283863122196806,4.648829491069396,-2.0,3.4119920022728305
13,-2.8324195208026417,0.0,-0.11195278010063925,-0.032495412274900076,0.14350330084882096,-4.312663248460307,-12.0,2.0144127286706706
14,1.2251885490927954,1.0,0.26939237947507744,-0.46808818296067534,0.06734809486876936,-5.61840405003807,-1.0,-3.677228342268169
15,-0.8902734777516326,0.0,-0.1276871861523623,-0.042562395384120766,-0.031921796538090574,6.922746334080454,2.0,9.29388127928407
16,2.632623314680446,1.0,0.3327098622343523,0.11090328741145072,0.012073835289666462,-8.501376021234233,-2.0,-8.565717653077842
17,0.7663821401761481,0.0,-0.040338583864330424,-0.0031029679895638873,-0.002689238924288684,-1.7092242334218284,1.0,-5.234838277496481
18,-7.010680453011098,-16.0,0.35325370703298953,0.3726031219783674,0.17662685351649476,-2.309484866395035,0.0,-2.536148798802099
19,-1.2769335684167045,-3.0,0.38162863326112983,-0.864686087590588,0.22511007145387066,2.124816780511285,-3.0,4.430534418102599
20,1.1186618858817514,0.0,0.03425843244294935,0.0038064924936610234,0.008564608110737337,5.96937262936048,-3.0,12.497237600880652
21,-1.5484177293491044,0.0,-1.1386691077485946,-0.03754546243798851,-0.06582755507011295,0.8927910522062845,0.0,5.887032684887595
22,0.7914566080171337,0.0,0.22325757784323952,0.04465151556864788,0.03189393969189136,-0.6244966600816184,-4.0,6.791577846893851
23,-1.1059797239927711,-1.0,0.07120476433176615,0.01424095286635324,0.017500706303369473,-4.855056696159792,1.0,-8.388094988579592
24,0.08907417922931504,-2.0,0.14376629739125013,0.14376629739125013,0.12435352920782816,-0.8717020603153536,-9.0,12.488537094055607
25,3.823608227380305,0.0,0.13689478236213803,0.7443109216635786,-0.07524705139162452,-3.371401625088666,-7.0,-2.3367203650997492
26,-2.07447554570037,-1.0,-0.6332626470178857,-0.05556838596238067,-0.07036251633532062,-10.59493749203375,-1.0,-10.272902968801777
27,-0.14731178697673997,0.0,-0.006478553011439292,-0.003239276505719646,-0.0012957106022878917,4.536024147173482,2.0,7.313687599650143
28,0.12259644967380012,0.0,0.19591278164290582,0.09795639082145291,0.06530426054763527,-2.7039706249759305,0.0,-2.624960316432656
29,-6.480599147293914,-7.0,-0.429137702792622,-0.11044106759320751,0.16816613601488897,0.17591956526739239,-2.0,3.204666412188118
30,-9.089006363868304,-21.0,-1.0312104227359309,-0.2578026056839827,-0.06065943663152534,0.18181024570274928,4.0,0.19165511211765818
31,-0.8352928801543946,0.0,-0.12482819751463081,-0.004623266574615953,-0.02496563950292613,13.104111531117546,3.0,6.759221000703388
32,0.2096997275772221,0.0,0.1456863532365198,0.04856211774550656,0.0728431766182599,10.905621944300364,8.0,10.48089463437756
33,4.051840683658559,2.0,0.29684045157495076,-0.013602691294745811,0.12615219978114184,6.803781135907531,-1.0,9.455380857045032
34,-1.7039321666239928,0.0,-0.20331433237757102,-0.02259048137528563,-0.011295240687642816,1.1957606707305253,-2.0,5.735358508491011
35,1.28896246720595,2.0,0.44836092673151673,0.4887686077282509,-0.3865864745061833,-2.365864551045224,0.0,-1.5684594763228326
36,0.19077940436621166,0.0,0.04013294563858194,0.02006647281929097,0.013377648546194054,3.212280583812028,2.0,5.61258131189814
37,0.6710273870575927,0.0,0.3589975625677506,0.3589975625677506,0.1794987812838753,1.5161057202670136,11.0,-8.291463294206988
38,-0.6224152574858239,0.0,-0.04353660915354762,-0.02176830457677381,-0.010884152288386906,-2.225682077029294,-3.0,-2.0156404635603113
39,0.48122580187738206,1.0,0.2422498584327617,0.2422498584327617,-0.052650559352776294,5.097084763714822,14.0,-4.903791435868085
40,-2.8808705499046,-2.0,-0.12221454671407672,0.11978056342413212,-0.004700559489002956,1.2268765736041995,-5.0,0.34669664956560275
41,-0.5151037515721004,0.0,-0.01694992470722445,-0.00564997490240815,-0.01694992470722445,2.6918481622673163,-4.0,6.3695180831104175
42,0.7262150971581764,0.0,0.2092611427615525,-0.018214655698156668,0.2785044874501811,1.8702821399171405,-1.0,-6.398890705327496
43,0.02827129552080976,0.0,0.14539951459149547,0.07269975729574774,0.008552912623029152,0.0017188566527117644,0.0,-0.004458794241919861
44,-3.7747462111257892,-1.0,-0.16213458223246757,-0.0180149535813853,0.0366499587104559,-31.08618400528402,-2.0,-31.90542219297198
45,0.7845220330621174,1.0,0.5547705720984712,-0.09827058735000327,0.18492352403282375,3.484874342145684,-16.0,12.039499789832373
46,2.157745506344443,0.0,0.28085118091366357,0.04680853015227726,0.09361706030455452,1.2004441472700123,1.0,1.174683821323498
47,-2.891056350462355,0.0,-0.32017817349520117,-0.02668151445793343,-0.10672605783173372,-6.097134547322506,-1.0,-5.420359581428563
