experiment,preset,formulation,model_variant,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
ensemble_cost,kn_20yr_n20,ffmp,trimmed,20,20,1945-10-01,1965-09-30,4,0,smoke,1,a147.anvil.rcac.purdue.edu,1,0,cold,65.304,626.5,210883.9,True,-0.284211,35.000000,-0.300000,1784050355.3,19203534,426afcd
ensemble_cost,kn_20yr_n20,ffmp,trimmed,20,20,1945-10-01,1965-09-30,4,0,smoke,1,a147.anvil.rcac.purdue.edu,1,1,warm,63.585,758.2,210233.8,True,-0.284211,35.000000,-0.300000,1784050420.6,19203534,426afcd
