sample_id,elapsed_s,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_days_annual,nyc_storage_min_p01_pct
-1,50.24030439998023,0.631578947368421,50.49463106085943,0.7631578947368421,28.04820723958715,0.8421052631578947,0.1447368421052631,0.0
0,47.2073487000016,0.5131578947368421,52.29778991316111,0.7105263157894737,50.16419622701085,0.8552631578947368,0.0789473684210526,0.0
1,45.17824609999661,0.5789473684210527,51.83513981408242,0.7763157894736842,23.6395633759525,0.9078947368421052,0.0921052631578947,10.766873854483064
2,45.28902629998629,0.4605263157894737,48.04643339586886,0.75,23.227433412114934,0.881578947368421,0.0789473684210526,1.9213730443944697
3,78.9725005000073,0.4210526315789473,66.56827210175611,0.618421052631579,34.14084513499311,0.868421052631579,0.1052631578947368,15.08648732261788
4,101.01815540000098,0.3684210526315789,54.61204927260101,0.7763157894736842,33.96426258297143,0.8289473684210527,0.0789473684210526,0.0
5,97.25916960000175,0.5,38.632113846959776,0.5657894736842105,36.95512141428789,0.8552631578947368,0.1052631578947368,13.10088881549613
6,95.74179020000156,0.5394736842105263,43.66845400388822,0.6842105263157895,32.962461785133215,0.8552631578947368,0.131578947368421,12.564162669621057
7,93.01464589999524,0.2763157894736842,56.01773586095712,0.4078947368421052,33.22158663572248,0.881578947368421,0.0657894736842105,0.0
8,79.64630200000829,0.5131578947368421,50.91598112456561,0.6710526315789473,34.74916118843913,0.881578947368421,0.1184210526315789,18.154403022016595
9,86.22665970001253,0.4210526315789473,67.73848353978367,0.5526315789473685,41.5793198780251,0.881578947368421,0.1184210526315789,0.0
10,91.69088280000142,0.5131578947368421,58.97064499992306,0.7368421052631579,14.007230398228009,0.9210526315789472,0.1052631578947368,5.13218192092361
11,85.88665209998726,0.4078947368421052,57.107664597179,0.5921052631578947,28.602976119464728,0.868421052631579,0.0526315789473684,0.0
12,80.42549649998546,0.3552631578947368,63.510085976851904,0.4736842105263157,37.5693778474511,0.8421052631578947,0.0789473684210526,21.56771060160406
13,85.82206649999716,0.3157894736842105,53.62411338367846,0.6052631578947368,46.84928697444954,0.8421052631578947,0.0526315789473684,0.0
14,81.57914280000841,0.4736842105263157,55.50689492200634,0.6052631578947368,44.53520081131246,0.8157894736842105,0.0526315789473684,0.0
15,87.47277709998889,0.5,60.847139089024,0.7631578947368421,32.05064591382071,0.881578947368421,0.1184210526315789,18.39133474136716
16,87.7214066000015,0.5921052631578947,46.984205376399935,0.7894736842105263,42.20666338703387,0.881578947368421,0.0789473684210526,16.954575174958695
17,85.88085899999714,0.3289473684210526,53.90858256750048,0.5131578947368421,31.886600463346166,0.868421052631579,0.0657894736842105,17.8966884893553
18,87.94360560001223,0.5526315789473685,68.20811733312529,0.7105263157894737,39.9810515766504,0.9078947368421052,0.0921052631578947,16.786594009684208
19,98.5543602000107,0.5921052631578947,59.68550212523951,0.7763157894736842,39.37623994019464,0.8947368421052632,0.1052631578947368,17.975321245041606
20,70.01354120002361,0.2236842105263158,56.36868141141939,0.7894736842105263,25.738621568534317,0.8552631578947368,0.0657894736842105,0.0
21,49.32626700002584,0.3815789473684211,51.05670476717124,0.5526315789473685,28.699503492531488,0.9078947368421052,0.0657894736842105,2.9580802878812844
22,48.38739190000342,0.4736842105263157,54.354291026299336,0.631578947368421,32.42091302650715,0.868421052631579,0.1052631578947368,11.32141592228644
23,48.89252769999439,0.2368421052631578,45.08357172185967,0.4868421052631579,29.176958220897337,0.8421052631578947,0.0657894736842105,0.0
