axis,model_variant,held_fixed,fit_form,n_points,range,exponent,exponent_se,r2,prefactor_s,offset_s,verdict
N,full,L=5,power_law,5,N=10..200,0.9460877867627197,0.01975804487099619,0.9986932923001656,1.3125368404879962,0.0,sub-linear (5% below linear)
N,full,L=5,offset_power_law,5,N=10..200,1.0732128567542683,0.018283734208761414,,0.6857048759308759,4.495361595628885,super-linear (7% above linear)
N,full,L=10,power_law,5,N=10..200,0.96107808482387,0.019654057702278193,0.9987469631836648,2.468493311225939,0.0,linear (within 2 se)
N,full,L=10,offset_power_law,5,N=10..200,1.0830980948775124,0.012154420227672996,,1.3265912598689165,8.3682998335209,super-linear (8% above linear)
N,full,L=20,power_law,5,N=10..200,0.9747661639942171,0.023386423058043643,0.9982761532123392,4.654467915412085,0.0,linear (within 2 se)
N,full,L=20,offset_power_law,5,N=10..200,1.1292382073935123,0.02378301386259493,,2.120303846096329,20.408280976822713,super-linear (13% above linear)
N,full,L=30,power_law,5,N=10..200,0.9720497173053932,0.020836113733392777,0.998623489545729,7.010841913786896,0.0,linear (within 2 se)
N,full,L=30,offset_power_law,5,N=10..200,1.106381605691792,0.019705745427272804,,3.5378562487618908,26.980997240908568,super-linear (11% above linear)
L,full,N=1,power_law,4,L=5..30,0.8521146412806576,0.024160977936389962,0.9983946667149199,0.7752226748851,0.0,sub-linear (15% below linear)
L,full,N=1,offset_power_law,4,L=5..30,1.0418955156306886,0.030346613656167806,,0.38514211280811395,1.0798324292976922,linear (within 2 se)
L,full,N=10,power_law,4,L=5..30,0.9691806487671241,0.0040955421480594134,0.9999642868780769,2.5298411346012384,0.0,sub-linear (3% below linear)
L,full,N=10,offset_power_law,4,L=5..30,0.9968301895756655,0.0033295330454643658,,2.287747988473757,0.7117120162603252,linear (within 2 se)
L,full,N=20,power_law,4,L=5..30,0.9768006802892789,0.0036155129963759487,0.9999726002851487,4.552069163499233,0.0,sub-linear (2% below linear)
L,full,N=20,offset_power_law,4,L=5..30,0.9863648732121405,0.023545916805624675,,4.389955259485754,0.5388653585124161,linear (within 2 se)
L,full,N=50,power_law,4,L=5..30,0.9901226941841229,0.002012556406104936,0.9999917368716309,10.33551665008613,0.0,sub-linear (1% below linear)
L,full,N=50,offset_power_law,4,L=5..30,1.0038645885858066,0.002175251781467261,,9.832965168067702,1.512528434673662,linear (within 2 se)
L,full,N=100,power_law,4,L=5..30,0.9997460273277864,0.00495811744891523,0.9999508115792598,20.065140406624757,0.0,linear (within 2 se)
L,full,N=100,offset_power_law,4,L=5..30,0.9940872642518986,0.018178378657626827,,20.399772913016218,3.3201410457752366e-16,linear (within 2 se)
L,full,N=200,power_law,4,L=5..30,1.0175623155342015,0.00918864139192311,0.9998369428864013,40.35530934862633,0.0,linear (within 2 se)
L,full,N=200,offset_power_law,4,L=5..30,1.0015797610444834,0.08176722392158033,,42.33084831636444,8.182472909010485e-15,linear (within 2 se)
