n_designs,n_draws,n_seeds,nfe,n_borg_runs,search_t_eval_s,search_ranks_per_node,search_nodes,search_islands,search_workers,search_efficiency,search_hr_per_run,search_su,etest_n_theta,etest_r,etest_l_test,etest_scenarios,reeval_policies,reeval_sims,reeval_t_eval_s,reeval_ranks_per_node,reeval_cost_basis,reeval_su,total_su,frac_of_allocation
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,200,10,10,2000,600,120000,23.445,128,measured_full,868.3333333333334,100798.56942209862,0.10079856942209862
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,200,10,30,2000,600,120000,68.61500000000001,128,measured_full,2541.2962962962965,102471.53238506158,0.10247153238506158
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,200,20,10,4000,600,120000,43.370999999999995,128,measured_full,1606.333333333333,101536.56942209862,0.10153656942209861
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,200,20,30,4000,600,120000,126.35900000000001,128,measured_full,4679.9629629629635,104610.19905172825,0.10461019905172825
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,500,10,10,5000,600,300000,23.445,128,measured_full,2170.8333333333335,102101.06942209862,0.10210106942209862
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,500,10,30,5000,600,300000,68.61500000000001,128,measured_full,6353.240740740742,106283.47682950603,0.10628347682950604
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,500,20,10,10000,600,300000,43.370999999999995,128,measured_full,4015.8333333333326,103946.06942209862,0.10394606942209862
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,500,20,30,10000,600,300000,126.35900000000001,128,measured_full,11699.907407407407,111630.14349617269,0.11163014349617269
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,1000,10,10,10000,600,600000,23.445,128,measured_full,4341.666666666667,104271.90275543196,0.10427190275543197
6,5,2,25000,60,173.8135,128,4,2,509,0.729,3.2529373726811617,99930.23608876529,1000,10,30,10000,600,600000,68.61500000000001,128,measured_full,12706.481481481484,112636.71757024678,0.11263671757024678
