experiment,preset,formulation,model_variant,n_realizations,realization_years,sim_start,sim_end,k_concurrent,realization_batch,mode,rank,hostname,stagger_s,eval_index,kind,wall_seconds,ru_maxrss_mb,mem_available_mb,objs_ok,obj0,obj1,obj2,t_start_epoch,job_id,code_sha
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,6,a463.anvil.rcac.purdue.edu,6,2,warm,2.882,400.2,214349.7,True,-0.25,34.996429,-0.25,1784091353.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,7,a463.anvil.rcac.purdue.edu,7,0,cold,4.787,391.5,215018.9,True,-0.25,34.996429,-0.25,1784091347.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,7,a463.anvil.rcac.purdue.edu,7,1,warm,2.806,399.2,214622.1,True,-0.25,34.996429,-0.25,1784091352.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,7,a463.anvil.rcac.purdue.edu,7,2,warm,2.897,399.2,214215.4,True,-0.25,34.996429,-0.25,1784091354.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,8,a463.anvil.rcac.purdue.edu,8,0,cold,4.58,391.1,214900.6,True,-0.25,34.996429,-0.25,1784091348.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,8,a463.anvil.rcac.purdue.edu,8,1,warm,2.766,398.9,214508.8,True,-0.25,34.996429,-0.25,1784091352.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,8,a463.anvil.rcac.purdue.edu,8,2,warm,2.891,398.9,214101.2,True,-0.25,34.996429,-0.25,1784091355.7,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,9,a463.anvil.rcac.purdue.edu,9,0,cold,4.64,394.3,214750.6,True,-0.25,34.996429,-0.25,1784091349.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,9,a463.anvil.rcac.purdue.edu,9,1,warm,2.776,401.8,214360.2,True,-0.25,34.996429,-0.25,1784091354.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,9,a463.anvil.rcac.purdue.edu,9,2,warm,2.891,401.8,213953.4,True,-0.25,34.996429,-0.25,1784091356.7,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,10,a463.anvil.rcac.purdue.edu,10,0,cold,4.689,393.3,214607.8,True,-0.25,34.996429,-0.25,1784091350.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,10,a463.anvil.rcac.purdue.edu,10,1,warm,2.799,400.5,214214.9,True,-0.25,34.996429,-0.25,1784091355.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,10,a463.anvil.rcac.purdue.edu,10,2,warm,2.896,400.5,213810.5,True,-0.25,34.996429,-0.25,1784091357.8,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,11,a463.anvil.rcac.purdue.edu,11,0,cold,4.775,391.6,214461.2,True,-0.25,34.996429,-0.25,1784091351.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,11,a463.anvil.rcac.purdue.edu,11,1,warm,2.798,399.4,214059.4,True,-0.25,34.996429,-0.25,1784091356.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,11,a463.anvil.rcac.purdue.edu,11,2,warm,2.864,399.4,213657.9,True,-0.25,34.996429,-0.25,1784091358.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,12,a463.anvil.rcac.purdue.edu,12,0,cold,4.777,390.4,214314.5,True,-0.25,34.996429,-0.25,1784091352.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,12,a463.anvil.rcac.purdue.edu,12,1,warm,2.809,398.0,213920.6,True,-0.25,34.996429,-0.25,1784091357.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,12,a463.anvil.rcac.purdue.edu,12,2,warm,2.881,398.0,213515.4,True,-0.25,34.996429,-0.25,1784091359.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,13,a463.anvil.rcac.purdue.edu,13,0,cold,4.782,391.6,214178.6,True,-0.25,34.996429,-0.25,1784091353.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,13,a463.anvil.rcac.purdue.edu,13,1,warm,2.797,398.6,213789.3,True,-0.25,34.996429,-0.25,1784091358.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,13,a463.anvil.rcac.purdue.edu,13,2,warm,2.851,398.7,213379.0,True,-0.25,34.996429,-0.25,1784091360.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,14,a463.anvil.rcac.purdue.edu,14,0,cold,4.796,394.1,214034.2,True,-0.25,34.996429,-0.25,1784091354.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,14,a463.anvil.rcac.purdue.edu,14,1,warm,2.802,401.8,213642.0,True,-0.25,34.996429,-0.25,1784091359.1,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,14,a463.anvil.rcac.purdue.edu,14,2,warm,2.873,402.0,213235.6,True,-0.25,34.996429,-0.25,1784091361.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,15,a463.anvil.rcac.purdue.edu,15,0,cold,5.08,393.9,213856.5,True,-0.25,34.996429,-0.25,1784091355.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,15,a463.anvil.rcac.purdue.edu,15,1,warm,2.959,401.0,213441.3,True,-0.25,34.996429,-0.25,1784091360.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,15,a463.anvil.rcac.purdue.edu,15,2,warm,3.072,401.0,213006.7,True,-0.25,34.996429,-0.25,1784091363.4,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,16,a463.anvil.rcac.purdue.edu,16,0,cold,4.597,392.4,213786.8,True,-0.25,34.996429,-0.25,1784091356.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,16,a463.anvil.rcac.purdue.edu,16,1,warm,2.742,399.6,213388.2,True,-0.25,34.996429,-0.25,1784091360.9,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,16,a463.anvil.rcac.purdue.edu,16,2,warm,2.875,399.6,212988.0,True,-0.25,34.996429,-0.25,1784091363.7,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,17,a463.anvil.rcac.purdue.edu,17,0,cold,4.658,394.1,213633.2,True,-0.25,34.996429,-0.25,1784091357.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,17,a463.anvil.rcac.purdue.edu,17,1,warm,2.797,401.2,213236.6,True,-0.25,34.996429,-0.25,1784091362.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,17,a463.anvil.rcac.purdue.edu,17,2,warm,2.904,401.2,212826.2,True,-0.25,34.996429,-0.25,1784091364.8,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,18,a463.anvil.rcac.purdue.edu,18,0,cold,4.672,391.7,213491.8,True,-0.25,34.996429,-0.25,1784091358.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,18,a463.anvil.rcac.purdue.edu,18,1,warm,2.805,399.5,213095.5,True,-0.25,34.996429,-0.25,1784091363.0,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,18,a463.anvil.rcac.purdue.edu,18,2,warm,2.902,399.5,212684.3,True,-0.25,34.996429,-0.25,1784091365.8,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,19,a463.anvil.rcac.purdue.edu,19,0,cold,4.694,393.7,213351.5,True,-0.25,34.996429,-0.25,1784091359.3,19211035,fba0f7d
ensemble_cost,kn_5yr_n1,ffmp,full,1,5,1945-10-01,1950-09-30,128,0,rest_full,19,a463.anvil.rcac.purdue.edu,19,1,warm,2.775,401.0,212956.9,True,-0.25,34.996429,-0.25,1784091364.0,19211035,fba0f7d
