n_realizations,realization_years,model_variant,scenario_years,k_concurrent,n_ranks,n_warm_evals,warm_median_s,warm_q25_s,warm_q75_s,warm_p90_s,warm_min_s,warm_max_s,cold_median_s,evals_per_node_hr,su_per_1000_evals,rss_median_mb,rss_max_mb,node_gb_at_k,node_gb_at_128,fits_128_ranks,objs_ok_frac,obj0,code_sha
10,5,trimmed,50,128,128,256,10.536000000000001,9.7715,10.69825,10.767,9.221,11.041,14.592,43735.76309794988,2.926666666666667,434.15,439.7,54.9625,54.9625,True,1.0,-0.275,fba0f7d
20,5,trimmed,100,128,128,256,18.918,18.351,19.08125,19.179499999999997,16.849,19.747,23.232,24357.754519505233,5.255,473.5,478.4,59.8,59.8,True,1.0,-0.3125,fba0f7d
50,5,trimmed,250,128,128,256,43.796,43.44125,44.208,44.5725,40.561,45.364,49.411500000000004,10521.508813590282,12.165555555555555,592.7,596.6,74.575,74.575,True,1.0,-0.3,fba0f7d
100,5,trimmed,500,128,128,256,87.1045,86.40475,87.85875,88.62450000000001,83.347,90.283,95.74799999999999,5290.19740656338,24.195694444444445,792.3,796.6,99.575,99.575,True,1.0,-0.295,fba0f7d
200,5,trimmed,1000,128,128,256,173.8235,169.9585,179.6,184.473,164.301,187.567,194.9495,2650.9649155608995,48.284305555555555,867.55,872.7,109.0875,109.0875,True,1.0,-0.30875,fba0f7d
1,10,trimmed,10,128,128,256,4.707,4.343500000000001,4.944,5.023,4.216,5.076,8.8035,97896.74952198853,1.3075,409.3,412.8,51.6,51.6,True,1.0,-0.222222,fba0f7d
10,10,trimmed,100,128,128,256,20.61,20.27075,20.80225,20.933,18.451,21.27,24.9565,22358.078602620088,5.725,481.85,486.5,60.8125,60.8125,True,1.0,-0.333333,fba0f7d
20,10,trimmed,200,128,128,256,37.601,37.33925000000001,37.9225,38.158,34.837,38.641,41.811,12254.993218265472,10.444722222222222,559.8,564.6,70.575,70.575,True,1.0,-0.377778,fba0f7d
50,10,trimmed,500,128,128,256,87.89349999999999,87.20675,88.628,89.2975,84.171,91.841,93.135,5242.708505179565,24.414861111111108,797.9,802.1,100.2625,100.2625,True,1.0,-0.344444,fba0f7d
100,10,trimmed,1000,128,128,512,173.8135,172.33575000000002,175.9655,177.7137,168.721,180.515,184.66750000000002,2651.1174333409085,48.281527777777775,1194.4,1198.8,149.85,149.85,True,1.0,-0.321111,fba0f7d
200,10,trimmed,2000,128,128,256,357.302,343.493,367.84225,374.2885,334.341,381.256,387.226,1289.6653251311216,99.25055555555555,1343.0,1350.4,168.8,168.8,True,1.0,-0.322778,fba0f7d
1,20,trimmed,20,128,128,256,8.665,8.0305,8.95625,9.054,7.634,9.204,12.6245,53179.4575879977,2.4069444444444446,406.3,409.1,51.1375,51.1375,True,1.0,-0.105263,fba0f7d
10,20,trimmed,200,128,128,256,40.0105,39.7275,40.26525,40.445499999999996,37.06,41.1,44.0555,11516.976793591683,11.114027777777778,553.8,557.9,69.7375,69.7375,True,1.0,-0.321053,fba0f7d
20,20,trimmed,400,128,128,256,73.217,72.7055,73.61275,74.3555,70.288,77.12,77.3895,6293.62033407542,20.338055555555556,711.4,715.8,89.475,89.475,True,1.0,-0.284211,fba0f7d
50,20,trimmed,1000,128,128,256,172.4185,171.24175,173.49800000000002,174.84300000000002,168.815,178.302,177.909,2672.5670389198376,47.89402777777778,1184.3,1188.5,148.5625,148.5625,True,1.0,-0.346316,fba0f7d
100,20,trimmed,2000,128,128,256,346.543,342.81075,350.863,355.8395,338.081,360.915,363.44849999999997,1329.7051159596356,96.26194444444444,1335.6,1343.2,167.9,167.9,True,1.0,-0.329474,fba0f7d
200,20,trimmed,4000,96,96,192,689.8744999999999,649.511,722.9025,736.6084,579.768,756.172,743.0174999999999,500.96068197911364,255.50907407407402,2228.9,2276.9,213.45937500000002,284.6125,False,1.0,-0.328421,fba0f7d
1,30,trimmed,30,128,128,256,12.9145,12.09825,13.1045,13.1985,11.326,14.463,16.997,35680.82388013473,3.587361111111111,442.6,445.9,55.7375,55.7375,True,1.0,-0.172414,fba0f7d
10,30,trimmed,300,128,128,256,59.486999999999995,59.04175,59.925,60.23,56.666,61.743,63.548500000000004,7746.230268798226,16.524166666666666,658.1,663.5,82.9375,82.9375,True,1.0,-0.334483,fba0f7d
20,30,trimmed,600,128,128,256,109.2585,108.64250000000001,110.085,110.73349999999999,106.167,114.49,113.503,4217.520833619353,30.34958333333333,892.3499999999999,895.8,111.975,111.975,True,1.0,-0.365517,fba0f7d
50,30,trimmed,1500,128,128,256,259.0725,257.4315,260.73675000000003,262.5295,252.78,265.857,265.43600000000004,1778.6526937440292,71.96458333333334,1113.7,1121.5,140.1875,140.1875,True,1.0,-0.350345,fba0f7d
100,30,trimmed,3000,96,96,192,516.3465,466.771,525.41175,536.347,442.952,544.083,531.072,669.3179870493942,191.23944444444444,1813.0500000000002,1821.0,170.71875,227.625,True,1.0,-0.32931,fba0f7d
200,30,trimmed,6000,64,64,128,1084.9155,1051.842,1106.57225,1137.6413,1001.261,1149.143,1202.4155,212.3667695779072,602.7308333333333,3211.05,3215.6,200.975,401.95,False,1.0,-0.328793,fba0f7d
