,C1_days_minor,C2_days_action,C3_sum_ft,C4_max_ft,C5_norm_ft,C6_flow_mg
C1_days_minor,1.0,0.9396690941066684,0.9797741560719242,0.9728390657025594,0.9797741560719242,0.9797741560719242
C2_days_action,0.9396690941066683,1.0,0.9139889919970483,0.9128344795861046,0.915913179348621,0.9139889919970483
C3_sum_ft,0.9797741560719242,0.9139889919970483,1.0,0.9953846153846154,0.9992307692307693,1.0
C4_max_ft,0.9728390657025594,0.9128344795861048,0.9953846153846154,1.0,0.9961538461538462,0.9953846153846154
C5_norm_ft,0.9797741560719242,0.915913179348621,0.9992307692307693,0.9961538461538462,1.0,0.9992307692307693
C6_flow_mg,0.9797741560719242,0.9139889919970483,1.0,0.9953846153846154,0.9992307692307693,1.0
