run,hydro,gcm,ssp,period,kind,rho1,n_wy
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp245,2020_2059,future,0.21687544936292527,39
VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp245,2060_2099,future,0.02293250222053671,39
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp370,2020_2059,future,0.01691309324853567,39
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp370,2060_2099,future,0.004574987158402515,39
VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,BCC-CSM2-MR,ssp126,1980_2019,baseline,-0.2687710807247831,39
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp245,2020_2059,future,0.03021163753514235,39
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp245,2060_2099,future,0.0529625537940973,39
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp370,2020_2059,future,0.03530133705211325,39
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp370,2060_2099,future,0.211219258883414,39
VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5,CNRM-ESM2-1,ssp126,1980_2019,baseline,0.32993956056017054,39
VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5,CNRM-ESM2-1,ssp245,2020_2059,future,0.4252417932734012,39
VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5,CNRM-ESM2-1,ssp245,2060_2099,future,0.12579826038393777,39
VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5,CNRM-ESM2-1,ssp370,2020_2059,future,0.26611462181058665,39
VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5,CNRM-ESM2-1,ssp370,2060_2099,future,0.28466171135780627,39
VIC5_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,EC-Earth3,ssp126,1980_2019,baseline,0.11637586116124926,39
VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,EC-Earth3,ssp245,2020_2059,future,0.14889307316564981,39
VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,EC-Earth3,ssp245,2060_2099,future,0.055514509116786605,39
VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,EC-Earth3,ssp370,2020_2059,future,0.31324986134078825,39
VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,EC-Earth3,ssp370,2060_2099,future,0.09333585880815691,39
VIC5_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,MPI-ESM1-2-HR,ssp126,1980_2019,baseline,-0.019169494472414426,39
VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MPI-ESM1-2-HR,ssp245,2020_2059,future,0.06891559229226667,39
VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MPI-ESM1-2-HR,ssp245,2060_2099,future,0.29317759988508757,39
VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MPI-ESM1-2-HR,ssp370,2020_2059,future,0.14134642831795619,39
VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MPI-ESM1-2-HR,ssp370,2060_2099,future,0.3820654002706361,39
VIC5_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,MRI-ESM2-0,ssp126,1980_2019,baseline,0.22487119870055491,39
VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MRI-ESM2-0,ssp245,2020_2059,future,0.10248619121202325,39
VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MRI-ESM2-0,ssp245,2060_2099,future,-0.11022647803870489,39
VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MRI-ESM2-0,ssp370,2020_2059,future,0.37580240585712393,39
VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MRI-ESM2-0,ssp370,2060_2099,future,0.49367843601160416,39
VIC5_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5,NorESM2-MM,ssp126,1980_2019,baseline,0.032313584480824296,39
VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,NorESM2-MM,ssp245,2020_2059,future,0.20708705830801757,39
VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,NorESM2-MM,ssp245,2060_2099,future,-0.024536127712822597,39
VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,NorESM2-MM,ssp370,2020_2059,future,0.10151789630014944,39
VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,NorESM2-MM,ssp370,2060_2099,future,0.10104619822728617,39
