run,hydro,gcm,ssp,period,kind,rho1,n_wy,rho1_baseline,delta_rho1
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,ACCESS-CM2,ssp370,2020_2059,future,0.01691309324853567,39,-0.0073807028113525635,0.024293796059888233
VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,ACCESS-CM2,ssp370,2060_2099,future,0.004574987158402515,39,-0.0073807028113525635,0.011955689969755079
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp245,2020_2059,future,0.03021163753514235,39,-0.2687710807247831,0.29898271825992545
VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp245,2060_2099,future,0.0529625537940973,39,-0.2687710807247831,0.32173363451888043
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,BCC-CSM2-MR,ssp370,2020_2059,future,0.03530133705211325,39,-0.2687710807247831,0.30407241777689636
VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,BCC-CSM2-MR,ssp370,2060_2099,future,0.211219258883414,39,-0.2687710807247831,0.47999033960819715
VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5,CNRM-ESM2-1,ssp245,2020_2059,future,0.4252417932734012,39,0.32993956056017054,0.09530223271323068
VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5,CNRM-ESM2-1,ssp245,2060_2099,future,0.12579826038393777,39,0.32993956056017054,-0.20414130017623278
VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5,CNRM-ESM2-1,ssp370,2020_2059,future,0.26611462181058665,39,0.32993956056017054,-0.06382493874958389
VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5,CNRM-ESM2-1,ssp370,2060_2099,future,0.28466171135780627,39,0.32993956056017054,-0.04527784920236427
VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,EC-Earth3,ssp245,2020_2059,future,0.14889307316564981,39,0.11637586116124926,0.03251721200440055
VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,EC-Earth3,ssp245,2060_2099,future,0.055514509116786605,39,0.11637586116124926,-0.060861352044462656
VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,EC-Earth3,ssp370,2020_2059,future,0.31324986134078825,39,0.11637586116124926,0.196874000179539
VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,EC-Earth3,ssp370,2060_2099,future,0.09333585880815691,39,0.11637586116124926,-0.02304000235309235
VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MPI-ESM1-2-HR,ssp245,2020_2059,future,0.06891559229226667,39,-0.019169494472414426,0.08808508676468109
VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MPI-ESM1-2-HR,ssp245,2060_2099,future,0.29317759988508757,39,-0.019169494472414426,0.312347094357502
VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MPI-ESM1-2-HR,ssp370,2020_2059,future,0.14134642831795619,39,-0.019169494472414426,0.1605159227903706
VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MPI-ESM1-2-HR,ssp370,2060_2099,future,0.3820654002706361,39,-0.019169494472414426,0.4012348947430506
VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MRI-ESM2-0,ssp245,2020_2059,future,0.10248619121202325,39,0.22487119870055491,-0.12238500748853166
VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MRI-ESM2-0,ssp245,2060_2099,future,-0.11022647803870489,39,0.22487119870055491,-0.33509767673925983
VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,MRI-ESM2-0,ssp370,2020_2059,future,0.37580240585712393,39,0.22487119870055491,0.15093120715656902
VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,MRI-ESM2-0,ssp370,2060_2099,future,0.49367843601160416,39,0.22487119870055491,0.2688072373110493
VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,NorESM2-MM,ssp245,2020_2059,future,0.20708705830801757,39,0.032313584480824296,0.17477347382719327
VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,NorESM2-MM,ssp245,2060_2099,future,-0.024536127712822597,39,0.032313584480824296,-0.056849712193646894
VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5,NorESM2-MM,ssp370,2020_2059,future,0.10151789630014944,39,0.032313584480824296,0.06920431181932515
VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5,NorESM2-MM,ssp370,2060_2099,future,0.10104619822728617,39,0.032313584480824296,0.06873261374646186
