row_index,rule,label,dominates_baseline,n_objectives_beaten,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
168,best_nyc_delivery_reliability_annual,Best nyc_delivery_reliability_annual,False,4,0.9988888888888889,0.6896044313105978,0.31444444444444447,42.65986254786426,0.7,0.8896366325579128,10.25419514731595,0.7333333333333333
25,best_nyc_delivery_deficit_p99_pct,Best nyc_delivery_deficit_p99_pct,False,5,0.9955555555555555,0.0003470742268940559,0.6733333333333333,43.580344231918794,0.8044444444444444,0.8620517702959577,5.284547383812889,0.5555555555555556
1138,best_montague_flow_reliability_annual,Best montague_flow_reliability_annual,False,6,0.6611111111111111,44.09997382548817,0.9866666666666667,2.409719986061596,0.7855555555555556,0.8014421146817106,7.753219039722874,0.91
691,best_montague_flow_deficit_p99_pct,Best montague_flow_deficit_p99_pct,False,5,0.6855555555555556,49.954507763609065,0.76,1.3131968593917434,0.8233333333333334,0.8162176750116172,6.349339434376226,0.6455555555555555
933,best_trenton_flow_reliability_annual,Best trenton_flow_reliability_annual,False,5,0.5544444444444444,30.839589877593777,0.6988888888888889,20.834488198644102,0.8722222222222222,0.6906686249737254,0.7183555710116164,0.5288888888888889
996,best_downstream_flood_exceedance_annual,Best downstream_flood_exceedance_annual,False,5,0.9244444444444444,82.84094653901437,0.7588888888888888,62.94684515413322,0.8566666666666667,0.4408790786303321,0.0,1.0
346,best_nyc_storage_min_p01_pct,Best nyc_storage_min_p01_pct,False,5,0.5311111111111111,49.98949057128947,0.6733333333333333,40.84719081073758,0.7844444444444445,0.8208736899158482,30.506133409072397,0.5388888888888889
5,best_nj_delivery_reliability_annual,Best nj_delivery_reliability_annual,False,5,0.9866666666666667,29.27901068185153,0.8055555555555556,48.53317011940843,0.82,0.7585884224887286,0.0,1.0
1097,mean_scaled,Balanced (mean scaled),False,5,0.9933333333333333,0.1744889007093521,0.6233333333333333,42.19993958437496,0.7733333333333333,0.45382991096090525,0.1226428600039627,1.0
1097,distance_to_ideal_p1,Compromise L1,False,5,0.9933333333333333,0.1744889007093521,0.6233333333333333,42.19993958437496,0.7733333333333333,0.45382991096090525,0.1226428600039627,1.0
122,distance_to_ideal_p2,Compromise L2,False,6,0.7577777777777778,29.676540330967907,0.7844444444444445,44.528476053760684,0.79,0.5705977653133829,15.767562212308743,1.0
248,distance_to_ideal_pinf,Minimax regret,False,5,0.8477777777777777,22.311049116960778,0.5788888888888889,39.46811874071427,0.7711111111111111,0.6278893111293438,15.365090817779903,0.8377777777777777
248,maximin,Best worst-case,False,5,0.8477777777777777,22.311049116960778,0.5788888888888889,39.46811874071427,0.7711111111111111,0.6278893111293438,15.365090817779903,0.8377777777777777
1097,mean_scaled_dominating,Balanced (dominating),False,5,0.9933333333333333,0.1744889007093521,0.6233333333333333,42.19993958437496,0.7733333333333333,0.45382991096090525,0.1226428600039627,1.0
67,diverse_1,Diverse 1,False,4,0.5133333333333333,27.436125614575214,0.37222222222222223,42.12140378141001,0.7222222222222222,0.8850270922162129,25.296999193906704,0.47888888888888886
416,diverse_2,Diverse 2,False,6,0.5166666666666667,49.11764386163814,0.8344444444444444,11.320593943250476,0.8711111111111111,0.4491523414260875,2.1010946047232477,0.48444444444444446
