,Balanced (dominating) (row 1097),Diverse 1 (row 67),Diverse 2 (row 416)
Balanced (dominating) (row 1097),0.0,3.9845738941674917,3.2368561770790985
Diverse 1 (row 67),3.9845738941674917,0.0,3.9127667562070463
Diverse 2 (row 416),3.2368561770790985,3.9127667562070463,0.0
