m_set,m,n,selector,seed,tail_share_min,tail_share_mean,ks_mean,L2_star_abs
m6,6,150,random,15,0.04666666666666667,0.08888888888888889,0.3971535294481326,0.2029977939545111
m6,6,150,random,16,0.06666666666666667,0.08333333333333333,0.4029367567614981,0.21266169896450518
m6,6,150,random,17,0.04666666666666667,0.10333333333333335,0.3831893518037883,0.18391887466387188
m6,6,150,random,18,0.07333333333333333,0.09444444444444444,0.3902885046476396,0.20219363067624102
m6,6,150,random,19,0.08,0.08666666666666667,0.41004635536924106,0.2081670334200292
m6,6,150,random,20,0.05333333333333334,0.10333333333333335,0.3784275286862549,0.18378665339332773
m6,6,150,random,21,0.06,0.10222222222222223,0.3936483532529169,0.19959725561061334
m6,6,150,random,22,0.05333333333333334,0.10777777777777776,0.3881671798250829,0.19142859018919944
m6,6,150,random,23,0.09333333333333334,0.10777777777777776,0.38786674787614617,0.1896545072043348
m6,6,150,random,24,0.05333333333333334,0.09222222222222222,0.4003011840394201,0.20809551740561485
m6,6,150,random,25,0.1,0.1111111111111111,0.3756403327216684,0.18444338301027227
m6,6,150,random,26,0.06666666666666667,0.09333333333333334,0.38495572908520354,0.1936937404730596
m6,6,150,random,27,0.09333333333333334,0.11,0.37651034039517256,0.1892018082526896
m6,6,150,random,28,0.04666666666666667,0.08444444444444443,0.40521934299260004,0.20579754313135515
m6,6,150,random,29,0.06,0.11111111111111112,0.3956320357495859,0.19121715832222583
m6,6,150,random,30,0.07333333333333333,0.08666666666666667,0.4118672502114656,0.2164410199981709
m6,6,150,random,31,0.08666666666666667,0.09999999999999999,0.3857086647532599,0.19205426292602598
m6,6,150,random,32,0.04666666666666667,0.09222222222222222,0.39563687181986396,0.19934795789239954
m6,6,150,random,33,0.06,0.09444444444444444,0.39071445527688925,0.2055520415173937
m6,6,150,random,34,0.08,0.10777777777777779,0.3862901558104082,0.20228898225554084
m6,6,150,random,35,0.08666666666666667,0.11,0.37863814783574967,0.18777053411757827
m6,6,150,random,36,0.06,0.09444444444444444,0.3984512144764984,0.2021241158035679
m6,6,150,random,37,0.06666666666666667,0.09999999999999999,0.3934797450299207,0.20441655410119802
m6,6,150,random,38,0.06,0.09444444444444446,0.39137015634256017,0.19699735275688063
m6,6,150,random,39,0.06666666666666667,0.09666666666666666,0.3851343158615006,0.19436008224655152
m6,6,150,random,40,0.07333333333333333,0.10777777777777779,0.40696894490570673,0.20960764705737875
m6,6,150,random,41,0.07333333333333333,0.09222222222222222,0.39017098123074545,0.19720102687869123
m6,6,150,random,42,0.06,0.0911111111111111,0.3948466428912843,0.20231299306347192
m6,6,150,random,43,0.06,0.0988888888888889,0.38450973893046614,0.19378090909390414
m6,6,150,random,44,0.08,0.10000000000000002,0.3839736379319664,0.19259205283448158
m6,6,150,random,45,0.06,0.08666666666666667,0.40502335580612026,0.2068724764219246
m6,6,150,random,46,0.06666666666666667,0.11222222222222222,0.3923162298926232,0.190560721296106
m6,6,150,random,47,0.08,0.09222222222222222,0.39901161829261134,0.20625124567173841
m6,6,150,random,48,0.06666666666666667,0.09000000000000001,0.41626183471390354,0.2170165812078245
m6,6,150,random,49,0.06,0.08111111111111112,0.39611275451404865,0.21245190858017557
m6,6,200,lhs_nn,0,0.2,0.26166666666666666,0.20125172720312515,0.048314017007534384
m6,6,200,lhs_nn,1,0.225,0.27,0.2002955952264417,0.04793870414249965
m6,6,200,lhs_nn,2,0.185,0.2658333333333333,0.20675451550137705,0.043091487533901136
m6,6,200,lhs_nn,3,0.21,0.27166666666666667,0.19521810997082945,0.04376842978048942
m6,6,200,lhs_nn,4,0.185,0.26,0.2115807137848215,0.04796420805394445
m6,6,200,lhs_nn,5,0.2,0.27,0.20618756376451056,0.046833526845394706
m6,6,200,lhs_nn,6,0.205,0.2658333333333333,0.20906524123576217,0.04893130142492284
m6,6,200,lhs_nn,7,0.205,0.2691666666666667,0.2022749069104691,0.04514823124111728
m6,6,200,lhs_nn,8,0.2,0.2625,0.2097364945025054,0.05018036498614033
m6,6,200,lhs_nn,9,0.21,0.2725,0.20227240076275577,0.04386343676946711
m6,6,200,random,0,0.075,0.09583333333333334,0.3875371747063059,0.1941091174375446
m6,6,200,random,1,0.09,0.10916666666666668,0.3752167539089904,0.17932667385580575
m6,6,200,random,2,0.095,0.11666666666666665,0.37666797796511164,0.18268482085662163
m6,6,200,random,3,0.05,0.09250000000000001,0.39783856171637,0.20169497919691246
m6,6,200,random,4,0.1,0.11166666666666665,0.36951193898753626,0.18638733796833912
m6,6,200,random,5,0.055,0.1025,0.3800519484149191,0.188537710198177
m6,6,200,random,6,0.075,0.11583333333333334,0.3638692315926875,0.17564636337564718
m6,6,200,random,7,0.09,0.10833333333333334,0.3763347491997666,0.18751632331727927
m6,6,200,random,8,0.07,0.08250000000000002,0.4189561229978364,0.22021433609595145
m6,6,200,random,9,0.085,0.09500000000000001,0.4009496156643382,0.21158229777782359
m6,6,200,random,10,0.085,0.11083333333333333,0.3898503943142424,0.1951242869066223
m6,6,200,random,11,0.1,0.12083333333333333,0.3767510649680479,0.19233295276071918
m6,6,200,random,12,0.065,0.10416666666666667,0.38555248717660384,0.18858904569924806
m6,6,200,random,13,0.08,0.09499999999999999,0.38563663911898405,0.18892286152416934
m6,6,200,random,14,0.075,0.09083333333333334,0.37950534038999795,0.19472527753988
m6,6,200,random,15,0.065,0.08833333333333333,0.3966481886140327,0.21023545404638533
m6,6,200,random,16,0.07,0.10416666666666667,0.3754718331247872,0.1809344438425457
m6,6,200,random,17,0.085,0.09749999999999999,0.40542645303754604,0.20570177104340093
m6,6,200,random,18,0.07,0.10583333333333333,0.38888962070645133,0.19023123992234162
m6,6,200,random,19,0.075,0.09166666666666667,0.38999080369808875,0.20402049734664937
m6,6,200,random,20,0.085,0.105,0.3887128622438147,0.18306316508907663
m6,6,200,random,21,0.09,0.10833333333333334,0.37554804893934324,0.18635386596343734
m6,6,200,random,22,0.085,0.10083333333333333,0.39382190088034835,0.19986935330239708
m6,6,200,random,23,0.08,0.09583333333333334,0.37646198824413646,0.19907866468312196
m6,6,200,random,24,0.09,0.10416666666666667,0.38813520456869394,0.19671450623505948
m6,6,200,random,25,0.075,0.09500000000000001,0.38333670641342943,0.20116201882996237
m6,6,200,random,26,0.075,0.11416666666666668,0.36704736580106107,0.18500184578515452
m6,6,200,random,27,0.095,0.10166666666666667,0.38112712762766,0.19831453069185784
m6,6,200,random,28,0.095,0.10916666666666665,0.37168281922459684,0.18032434638801642
m6,6,200,random,29,0.07,0.09583333333333333,0.3905910978810032,0.19611622698211217
m6,6,200,random,30,0.1,0.1175,0.3809706747891837,0.18032875645355967
m6,6,200,random,31,0.07,0.10500000000000002,0.3856057604856628,0.18799441916905507
m6,6,200,random,32,0.1,0.11166666666666665,0.38865589405070095,0.19904105663053082
m6,6,200,random,33,0.095,0.1075,0.3845187056081238,0.2002326758671012
m6,6,200,random,34,0.075,0.105,0.3646168955341211,0.18555092639743706
m6,6,200,random,35,0.08,0.09916666666666668,0.39089763979018116,0.19534935011109703
m6,6,200,random,36,0.09,0.10416666666666667,0.3868091677261997,0.1933373166471435
m6,6,200,random,37,0.075,0.08750000000000001,0.402708211903209,0.2057119525061775
m6,6,200,random,38,0.09,0.10166666666666667,0.377689727915399,0.19228215590197859
m6,6,200,random,39,0.105,0.11333333333333334,0.37231984449777755,0.1826904860116055
m6,6,200,random,40,0.095,0.12,0.36660613103766254,0.18344519699555015
m6,6,200,random,41,0.065,0.09583333333333334,0.39552236147375264,0.2012308716003622
m6,6,200,random,42,0.065,0.09083333333333332,0.39417408138655535,0.19430205837295356
m6,6,200,random,43,0.08,0.10833333333333332,0.39207076680384434,0.20278464851036015
m6,6,200,random,44,0.09,0.10083333333333333,0.3900060972683394,0.19462703308408025
m6,6,200,random,45,0.09,0.10583333333333332,0.3863477407152555,0.1989485359257222
m6,6,200,random,46,0.08,0.09333333333333334,0.3874801506475169,0.20158553421582154
m6,6,200,random,47,0.065,0.09416666666666668,0.3907480186415421,0.19824796643182704
m6,6,200,random,48,0.07,0.08833333333333333,0.39261512729399334,0.20337386979270045
m6,6,200,random,49,0.09,0.10333333333333333,0.38644326978233656,0.19866050713184852
m6,6,300,lhs_nn,0,0.19333333333333333,0.2483333333333333,0.21833679322561053,0.05555968415772712
m6,6,300,lhs_nn,1,0.18333333333333332,0.24333333333333332,0.21959651830862115,0.05712392681336241
m6,6,300,lhs_nn,2,0.19,0.25222222222222224,0.22050988157158838,0.053328991336033506
m6,6,300,lhs_nn,3,0.17666666666666667,0.24555555555555553,0.22233051482540808,0.05626267620056729
m6,6,300,lhs_nn,4,0.19666666666666666,0.24888888888888885,0.21490130135884958,0.054619265056842475
m6,6,300,lhs_nn,5,0.18333333333333332,0.2422222222222222,0.22119313806260132,0.05658940086750163
m6,6,300,lhs_nn,6,0.19666666666666666,0.2588888888888889,0.2102774378853208,0.04933555942345814
m6,6,300,lhs_nn,7,0.19,0.24666666666666667,0.21491952889998767,0.05467467076988019
m6,6,300,lhs_nn,8,0.18666666666666668,0.25277777777777777,0.2214375129719469,0.0529526642697943
m6,6,300,lhs_nn,9,0.19333333333333333,0.24888888888888885,0.21939877046047732,0.05577384317810612
m6,6,300,random,0,0.09,0.105,0.3688281852170377,0.1859988113632669
m6,6,300,random,1,0.08333333333333333,0.0911111111111111,0.39098247432192496,0.19900856098641387
m6,6,300,random,2,0.10333333333333333,0.11777777777777777,0.3707271569636679,0.17945018156270442
m6,6,300,random,3,0.08333333333333333,0.10444444444444445,0.3887330637243786,0.197880409687592
m6,6,300,random,4,0.08666666666666667,0.10444444444444445,0.3835266412694905,0.1922910473056927
m6,6,300,random,5,0.07,0.09166666666666667,0.3809515731473893,0.19928094993339363
m6,6,300,random,6,0.07,0.09277777777777778,0.3910330883196557,0.19774544806904346
m6,6,300,random,7,0.07,0.09055555555555554,0.38839237850431463,0.19632112325738393
m6,6,300,random,8,0.06666666666666667,0.09277777777777779,0.3912470905989331,0.1963136424590536
m6,6,300,random,9,0.08,0.0977777777777778,0.38357856862501816,0.1974066447164268
m6,6,300,random,10,0.06666666666666667,0.09444444444444444,0.3813773374276055,0.20270530199546102
m6,6,300,random,11,0.09333333333333334,0.10222222222222223,0.3795322390150521,0.19541985716332488
m6,6,300,random,12,0.09333333333333334,0.10333333333333333,0.3770784480917769,0.19175795769527484
m6,6,300,random,13,0.06666666666666667,0.08777777777777777,0.3921077571738694,0.2035546401688508
m6,6,300,random,14,0.07333333333333333,0.08777777777777779,0.38611154614806664,0.19458840975204048
m6,6,300,random,15,0.06,0.10055555555555555,0.388454657335401,0.2020032612953116
m6,6,300,random,16,0.08666666666666667,0.09444444444444444,0.38539733010194177,0.19224463115162901
m6,6,300,random,17,0.08,0.0911111111111111,0.39277029079095344,0.2047485156293489
m6,6,300,random,18,0.05333333333333334,0.08388888888888889,0.39575272132212347,0.21008401247904787
m6,6,300,random,19,0.09333333333333334,0.10944444444444444,0.37480547444801116,0.18828335702353274
m6,6,300,random,20,0.07,0.09333333333333334,0.3827229041073965,0.19046805202812112
m6,6,300,random,21,0.07666666666666666,0.10444444444444444,0.3822077006315398,0.19137285730719186
m6,6,300,random,22,0.07,0.09888888888888887,0.38652415386942224,0.19082141814370532
m6,6,300,random,23,0.08,0.10111111111111111,0.38548881097131565,0.19457843018015747
m6,6,300,random,24,0.08666666666666667,0.09555555555555556,0.4012589707869589,0.20475387836722897
m6,6,300,random,25,0.08666666666666667,0.09333333333333332,0.3946963461670086,0.20471678387197265
m6,6,300,random,26,0.07666666666666666,0.10166666666666667,0.37562435204549044,0.18908749645604847
m6,6,300,random,27,0.07666666666666666,0.10277777777777779,0.3824088721016858,0.19361280079132143
m6,6,300,random,28,0.07666666666666666,0.09777777777777778,0.37993414819088595,0.1951846646505118
m6,6,300,random,29,0.07333333333333333,0.10833333333333334,0.3841158195797463,0.19787211963629564
m6,6,300,random,30,0.08333333333333333,0.09666666666666668,0.3857566161062074,0.1981264889760393
m6,6,300,random,31,0.09,0.10111111111111111,0.3906770302079536,0.20250666789741512
m6,6,300,random,32,0.08,0.09722222222222221,0.38866334457936147,0.19791503064860783
m6,6,300,random,33,0.07333333333333333,0.08333333333333333,0.3950345652213992,0.20746296511267912
m6,6,300,random,34,0.08666666666666667,0.10111111111111111,0.3908751598073283,0.19879211686252624
m6,6,300,random,35,0.07666666666666666,0.0938888888888889,0.38557584575105874,0.19835374386974228
m6,6,300,random,36,0.07,0.085,0.39737467133607113,0.20612144761400422
m6,6,300,random,37,0.07,0.08611111111111112,0.3882125797548584,0.19531609134866101
m6,6,300,random,38,0.07,0.09222222222222222,0.39455790618085723,0.2069335174535811
m6,6,300,random,39,0.07333333333333333,0.09166666666666667,0.38216888108601527,0.20262729214673758
m6,6,300,random,40,0.08,0.10555555555555556,0.37622403245843183,0.19229080762664774
m6,6,300,random,41,0.08333333333333333,0.09333333333333332,0.3869996875038098,0.1986503904581173
m6,6,300,random,42,0.09333333333333334,0.10944444444444446,0.37832216519064327,0.18927904356974962
m6,6,300,random,43,0.07666666666666666,0.0988888888888889,0.3775111797184172,0.19390237591500192
m6,6,300,random,44,0.07333333333333333,0.10222222222222221,0.37657345623878496,0.1860916376388182
m6,6,300,random,45,0.08333333333333333,0.10111111111111111,0.37440827643665947,0.18889882216710185
m6,6,300,random,46,0.08333333333333333,0.10111111111111111,0.3791373395185331,0.1870167661233094
m6,6,300,random,47,0.08,0.10055555555555555,0.37872052230149805,0.19706718051485997
m6,6,300,random,48,0.09,0.09999999999999999,0.37651087588577664,0.19452445604410443
m6,6,300,random,49,0.07666666666666666,0.10055555555555556,0.38885525834426105,0.19799948149393598
full,8,100,lhs_nn,0,0.13,0.25125,0.23940097485664835,0.025774119768106053
full,8,100,lhs_nn,1,0.15,0.26,0.21752404755767968,0.021986677417509565
full,8,100,lhs_nn,2,0.15,0.2625,0.22099820571844508,0.022422284020739675
full,8,100,lhs_nn,3,0.14,0.2525,0.22974730741922028,0.020460683470905853
full,8,100,lhs_nn,4,0.15,0.265,0.23057306993075483,0.021740906004648442
full,8,100,lhs_nn,5,0.12,0.255,0.23355828055815495,0.02644306586384227
full,8,100,lhs_nn,6,0.13,0.25125,0.2329468680094754,0.025074904436346586
full,8,100,lhs_nn,7,0.18,0.26375000000000004,0.2250189984628749,0.024459849647951257
full,8,100,lhs_nn,8,0.13,0.26875,0.23193780535862016,0.023276232023592917
full,8,100,lhs_nn,9,0.16,0.25875,0.2198093519603921,0.02190543112988301
full,8,100,random,0,0.06,0.11125000000000002,0.3918304400191305,0.12493789563905354
full,8,100,random,1,0.07,0.1,0.3899842493195562,0.13034865077585453
full,8,100,random,2,0.08,0.08499999999999999,0.40533247053536425,0.1261439813610135
full,8,100,random,3,0.08,0.12625000000000003,0.38023680414741934,0.11428590977274003
full,8,100,random,4,0.04,0.09875,0.41105536117560904,0.1285732838349223
full,8,100,random,5,0.04,0.07375000000000001,0.40678836348156455,0.13625602335103904
full,8,100,random,6,0.06,0.10375,0.38705158489400404,0.12817752534804386
full,8,100,random,7,0.06,0.10625000000000001,0.3933244893779457,0.13314543702282378
full,8,100,random,8,0.08,0.12,0.37419394493328717,0.11077625013373954
full,8,100,random,9,0.05,0.1,0.38907187571577095,0.1237094203522305
full,8,100,random,10,0.09,0.11375,0.3853953163807493,0.1353094554790455
full,8,100,random,11,0.06,0.11000000000000001,0.37643749317999625,0.13397900903886975
full,8,100,random,12,0.07,0.11,0.382182787555379,0.12040929421528866
full,8,100,random,13,0.06,0.07750000000000001,0.41556271901672515,0.14520861500698679
full,8,100,random,14,0.07,0.10125,0.39355070826798677,0.13238157867990633
full,8,100,random,15,0.06,0.095,0.41379960459331133,0.1363511797915329
full,8,100,random,16,0.05,0.09375,0.43107800349216674,0.1528433771961908
full,8,100,random,17,0.08,0.11625,0.3887254142332286,0.135097988640825
full,8,100,random,18,0.06,0.08625000000000001,0.4133796626051953,0.1441210979829475
full,8,100,random,19,0.08,0.10750000000000001,0.38530051328892123,0.12064518138375838
full,8,100,random,20,0.05,0.10500000000000001,0.3940793230690581,0.12707393253947435
full,8,100,random,21,0.07,0.09875,0.4156516127369435,0.15118321535830467
full,8,100,random,22,0.05,0.10500000000000001,0.4052867353333487,0.13280814458040685
full,8,100,random,23,0.09,0.10375000000000001,0.40468735016810137,0.13440569708037298
full,8,100,random,24,0.06,0.095,0.3960868556729544,0.1441332529055025
full,8,100,random,25,0.06,0.10375000000000001,0.38928145352423627,0.12052109429337184
full,8,100,random,26,0.06,0.09375,0.4012998473431786,0.13101687378589869
full,8,100,random,27,0.06,0.08750000000000001,0.3980260362577971,0.1346923700497166
full,8,100,random,28,0.07,0.11125000000000002,0.39218329064676893,0.13885487685131495
full,8,100,random,29,0.08,0.11125,0.38144895595294215,0.11602755416647213
full,8,100,random,30,0.09,0.11750000000000001,0.3776616473779666,0.11539994947375581
full,8,100,random,31,0.07,0.11,0.4188177535707846,0.1463456397227796
full,8,100,random,32,0.09,0.11374999999999999,0.39922225640156295,0.12137270054309837
full,8,100,random,33,0.06,0.08875,0.4066441850448388,0.13768014050227018
full,8,100,random,34,0.06,0.09875,0.39981650172859495,0.13507015705622893
full,8,100,random,35,0.05,0.10750000000000001,0.3966283588205108,0.11479011062698954
full,8,100,random,36,0.05,0.11124999999999999,0.3861739334734301,0.11947132906284312
full,8,100,random,37,0.06,0.10250000000000001,0.3965200780474989,0.13153359375274581
full,8,100,random,38,0.1,0.11624999999999999,0.4019253073143042,0.13559672844949328
full,8,100,random,39,0.07,0.10125,0.4078297373896212,0.14099319289642254
full,8,100,random,40,0.05,0.085,0.4108347594641043,0.14108735261717692
full,8,100,random,41,0.06,0.09000000000000001,0.40778885503922635,0.13961753591195686
full,8,100,random,42,0.08,0.11000000000000001,0.40112093735234644,0.131982044494611
full,8,100,random,43,0.08,0.10875000000000001,0.3884248033630572,0.11612857513296644
full,8,100,random,44,0.06,0.0975,0.3987778422418432,0.13837470806203875
full,8,100,random,45,0.04,0.09125,0.4079975816274244,0.1489172805190479
full,8,100,random,46,0.07,0.10500000000000001,0.3972686564706638,0.13653483684363613
full,8,100,random,47,0.06,0.10125,0.4080473181816805,0.14278485454564338
full,8,100,random,48,0.06,0.1,0.39590830090761264,0.13679333113564085
full,8,100,random,49,0.06,0.10500000000000001,0.3976313521865514,0.12102981116930701
full,8,150,lhs_nn,0,0.14666666666666667,0.25416666666666665,0.23106735154574798,0.027973456170044254
full,8,150,lhs_nn,1,0.17333333333333334,0.25166666666666665,0.238506827789762,0.024837972681542614
full,8,150,lhs_nn,2,0.16666666666666666,0.2583333333333333,0.23062540680510246,0.02301077280125801
full,8,150,lhs_nn,3,0.18,0.2533333333333333,0.23400679897995974,0.026670611910247312
full,8,150,lhs_nn,4,0.14666666666666667,0.2475,0.22963895933841155,0.025428851360392257
full,8,150,lhs_nn,5,0.17333333333333334,0.25666666666666665,0.23023732652571544,0.02373836774194958
full,8,150,lhs_nn,6,0.15333333333333332,0.2425,0.24145381608511252,0.029319102876279618
full,8,150,lhs_nn,7,0.18666666666666668,0.2516666666666667,0.22578708588606916,0.02232747465233413
full,8,150,lhs_nn,8,0.12666666666666668,0.23583333333333334,0.2395364492913044,0.027860430177889205
full,8,150,lhs_nn,9,0.19333333333333333,0.2525,0.2308747639030374,0.025028607260953475
full,8,150,random,0,0.08,0.09583333333333334,0.39272621351322506,0.12767768021930334
full,8,150,random,1,0.08,0.12,0.3835414484086672,0.12014596017646186
full,8,150,random,2,0.08,0.09916666666666667,0.3979050971968456,0.13788447720676347
full,8,150,random,3,0.06666666666666667,0.0975,0.39759976986358947,0.13868328248721223
full,8,150,random,4,0.08666666666666667,0.10416666666666667,0.38553089766592474,0.12764804362295543
full,8,150,random,5,0.08666666666666667,0.10916666666666666,0.3765518884792327,0.12048335892339983
full,8,150,random,6,0.03333333333333333,0.09333333333333332,0.39590067431336096,0.13685376810944772
full,8,150,random,7,0.08,0.09916666666666665,0.39504447654445973,0.13785714464199234
full,8,150,random,8,0.05333333333333334,0.0975,0.39145570279483244,0.13393112580997077
full,8,150,random,9,0.04666666666666667,0.0775,0.4140727404226997,0.14689718552107423
full,8,150,random,10,0.08,0.11416666666666667,0.3756240571655632,0.12156499912487152
full,8,150,random,11,0.08666666666666667,0.09916666666666667,0.40463525782827925,0.13275498855741247
full,8,150,random,12,0.08,0.10833333333333334,0.3908819653398748,0.12655370587042256
full,8,150,random,13,0.06666666666666667,0.08583333333333333,0.41103676462256,0.14624763555257483
full,8,150,random,14,0.05333333333333334,0.10416666666666667,0.3933457848485646,0.132132266744434
full,8,150,random,15,0.03333333333333333,0.08583333333333334,0.4099678607322774,0.14363239497353883
full,8,150,random,16,0.06666666666666667,0.09166666666666667,0.3993116574846351,0.1410972869651901
full,8,150,random,17,0.04666666666666667,0.10666666666666666,0.3855276329679649,0.11819056249777289
full,8,150,random,18,0.06,0.08916666666666667,0.3957502628885543,0.14078210299617674
full,8,150,random,19,0.08,0.09,0.40719446082312666,0.13512455267835688
full,8,150,random,20,0.05333333333333334,0.10333333333333333,0.38573405404649097,0.12558736520628364
full,8,150,random,21,0.06,0.105,0.3945205653686002,0.1372588760656048
full,8,150,random,22,0.05333333333333334,0.10500000000000001,0.39786443509001446,0.1277661466980265
full,8,150,random,23,0.09333333333333334,0.10750000000000001,0.3933922848364509,0.12523230241383307
full,8,150,random,24,0.05333333333333334,0.10083333333333334,0.3958127644208248,0.13970744714421887
full,8,150,random,25,0.09333333333333334,0.10666666666666666,0.38849175539378694,0.12807774096439767
full,8,150,random,26,0.06666666666666667,0.0975,0.3910174860478387,0.13545257497185376
full,8,150,random,27,0.08,0.10583333333333333,0.3864133282486165,0.1289987850658727
full,8,150,random,28,0.04666666666666667,0.08583333333333333,0.4132039207216479,0.14198464855118845
full,8,150,random,29,0.06,0.10833333333333334,0.39727439136333653,0.12679794600876823
full,8,150,random,30,0.07333333333333333,0.08583333333333334,0.41749701625508706,0.1512463451748796
full,8,150,random,31,0.07333333333333333,0.095,0.39422744599282117,0.13351026388335446
full,8,150,random,32,0.04666666666666667,0.09,0.40166376831782513,0.13957870385452495
full,8,150,random,33,0.06,0.095,0.3938074886585995,0.13535944413717865
full,8,150,random,34,0.08,0.10833333333333334,0.3894451449771939,0.12964781291812544
full,8,150,random,35,0.06,0.10583333333333333,0.3855620112333502,0.12318569690801114
full,8,150,random,36,0.06,0.08833333333333335,0.41110745100489593,0.14685466705423847
full,8,150,random,37,0.05333333333333334,0.0925,0.4042384552108206,0.1502157096864931
full,8,150,random,38,0.06,0.10500000000000001,0.38795323135399035,0.12414814009680925
full,8,150,random,39,0.06666666666666667,0.10083333333333334,0.39110152816055294,0.1250079921699402
full,8,150,random,40,0.07333333333333333,0.10833333333333334,0.4073977377475509,0.1404586652905277
full,8,150,random,41,0.07333333333333333,0.095,0.398015330271383,0.13335574756665494
full,8,150,random,42,0.06,0.09583333333333334,0.3932265046199265,0.13546904686156364
full,8,150,random,43,0.06,0.09666666666666666,0.3962469920210571,0.13494067958327444
full,8,150,random,44,0.08,0.105,0.3813467805578803,0.11797714847473088
full,8,150,random,45,0.06,0.09666666666666666,0.3951202502569193,0.13766701510958307
full,8,150,random,46,0.06666666666666667,0.11,0.3934687516451219,0.13008761463735463
full,8,150,random,47,0.08,0.0975,0.40002516461551574,0.13532450459537018
full,8,150,random,48,0.06666666666666667,0.09083333333333334,0.4141365019574869,0.14269773775143993
full,8,150,random,49,0.06,0.08833333333333335,0.39406249413555394,0.14509731099549156
full,8,200,lhs_nn,0,0.155,0.244375,0.23779216638693945,0.026252550639163732
full,8,200,lhs_nn,1,0.18,0.241875,0.23500067464843338,0.02855401741266253
full,8,200,lhs_nn,2,0.145,0.246875,0.23346966851799922,0.028051438593456848
full,8,200,lhs_nn,3,0.165,0.23875,0.23742320402181885,0.03110233957556622
full,8,200,lhs_nn,4,0.165,0.241875,0.23528733677793695,0.027852995027165296
full,8,200,lhs_nn,5,0.165,0.244375,0.23525567378620643,0.028464363166579524
full,8,200,lhs_nn,6,0.155,0.24625,0.23884942782192453,0.027053735832856394
full,8,200,lhs_nn,7,0.145,0.239375,0.2427640117118672,0.028028592648235023
full,8,200,lhs_nn,8,0.16,0.24375,0.23517617587275938,0.02963105508149524
full,8,200,lhs_nn,9,0.18,0.2425,0.2351652177689002,0.02594166497262937
full,8,200,random,0,0.075,0.094375,0.3924185221576769,0.1322372731332863
full,8,200,random,1,0.09,0.11000000000000001,0.380645396312314,0.12083944484281814
full,8,200,random,2,0.095,0.115,0.3790548064813332,0.12144715750822441
full,8,200,random,3,0.05,0.09375,0.401361268806112,0.13487915701903244
full,8,200,random,4,0.1,0.111875,0.372837445608614,0.1246419044285459
full,8,200,random,5,0.055,0.1,0.3918482446083246,0.12893920211967133
full,8,200,random,6,0.075,0.10875000000000001,0.37957796852192555,0.12493192650725743
full,8,200,random,7,0.09,0.10625000000000001,0.3821321495584941,0.12600982605839633
full,8,200,random,8,0.07,0.0925,0.40604089953928174,0.14032684617840288
full,8,200,random,9,0.085,0.0975,0.40360583525241844,0.1391326658111343
full,8,200,random,10,0.065,0.10250000000000001,0.3943957649204715,0.13732511425429353
full,8,200,random,11,0.085,0.1125,0.38948523231471593,0.12782671047513877
full,8,200,random,12,0.065,0.10125,0.3893019624151153,0.12883014017677555
full,8,200,random,13,0.08,0.09875,0.3841595409959721,0.12170493576374766
full,8,200,random,14,0.075,0.098125,0.38157047670593414,0.12515901330123555
full,8,200,random,15,0.065,0.08875,0.3992349660960778,0.14426399453780414
full,8,200,random,16,0.07,0.109375,0.3807242913357387,0.12123095490276223
full,8,200,random,17,0.085,0.096875,0.4067476770271243,0.13681367181638807
full,8,200,random,18,0.07,0.10874999999999999,0.38572842538695695,0.12642525134679214
full,8,200,random,19,0.075,0.09312500000000001,0.39789986021310314,0.14030862727888552
full,8,200,random,20,0.085,0.110625,0.3887628001895278,0.12009394311613093
full,8,200,random,21,0.09,0.116875,0.3759279446737376,0.11984601839091805
full,8,200,random,22,0.085,0.10187500000000001,0.39374858457588036,0.13070585562167297
full,8,200,random,23,0.08,0.096875,0.38580517484534516,0.13533408093130972
full,8,200,random,24,0.085,0.100625,0.3977092937744179,0.1377107366586585
full,8,200,random,25,0.075,0.09875,0.3854908933587697,0.13310998810590885
full,8,200,random,26,0.055,0.10312500000000001,0.38337802987250424,0.1309614766076944
full,8,200,random,27,0.09,0.10187500000000001,0.3884205029120678,0.13405662199846155
full,8,200,random,28,0.075,0.104375,0.38294942564531964,0.11993483555817204
full,8,200,random,29,0.07,0.094375,0.3984967970246175,0.13258455635408903
full,8,200,random,30,0.1,0.115,0.38762564630867613,0.12326815671076065
full,8,200,random,31,0.07,0.10062499999999999,0.3934424701654099,0.12843653582080308
full,8,200,random,32,0.08,0.10500000000000001,0.3977407878561693,0.137599872337444
full,8,200,random,33,0.095,0.10625000000000001,0.3896388773533468,0.13787519239111043
full,8,200,random,34,0.075,0.101875,0.37685619389413655,0.13019297331516325
full,8,200,random,35,0.08,0.0975,0.3947183640002128,0.13115351000430142
full,8,200,random,36,0.08,0.09875,0.39980732016665266,0.13501760220567918
full,8,200,random,37,0.075,0.0875,0.4071546694277287,0.14108625603463182
full,8,200,random,38,0.075,0.099375,0.3866772513968569,0.12970100175384983
full,8,200,random,39,0.1,0.110625,0.3794283224424697,0.12127901508920443
full,8,200,random,40,0.09,0.11374999999999999,0.379311243833227,0.124703068297339
full,8,200,random,41,0.065,0.09625,0.39815921103370766,0.1374804270001859
full,8,200,random,42,0.065,0.095,0.3945051404890185,0.13149579042157597
full,8,200,random,43,0.08,0.110625,0.39457801748817867,0.13045787028971625
full,8,200,random,44,0.075,0.095,0.3981191020659864,0.13536252233037807
