m_set,m,n,selector,seed,tail_share_min,tail_share_mean,ks_mean,L2_star_abs
m4,4,150,random,6,0.03333333333333333,0.08499999999999999,0.4363120977111985,0.30659946284924383
m4,4,150,random,7,0.09333333333333334,0.10166666666666666,0.4358287769183169,0.2987073438123978
m4,4,150,random,8,0.06666666666666667,0.09833333333333334,0.4216060809252957,0.2944043756176162
m4,4,150,random,9,0.07333333333333333,0.08499999999999999,0.4365608724266977,0.3048108523167513
m4,4,150,random,10,0.08666666666666667,0.10333333333333333,0.40570068785131685,0.27569459782606587
m4,4,150,random,11,0.09333333333333334,0.1,0.4283997417423666,0.27861000564664024
m4,4,150,random,12,0.1,0.12000000000000001,0.4113946413303089,0.2781462033801763
m4,4,150,random,13,0.06666666666666667,0.08499999999999999,0.4381801325108888,0.3206000393075705
m4,4,150,random,14,0.06666666666666667,0.10333333333333333,0.42381745703612134,0.2899900671271545
m4,4,150,random,15,0.04666666666666667,0.085,0.4327518806840446,0.31123257562865075
m4,4,150,random,16,0.06666666666666667,0.09,0.4304612509081972,0.31637097388895835
m4,4,150,random,17,0.04666666666666667,0.10166666666666668,0.4115721645515556,0.27804314566590066
m4,4,150,random,18,0.07333333333333333,0.08666666666666667,0.42555293046215376,0.29983572646640033
m4,4,150,random,19,0.08,0.08666666666666667,0.43415331633411247,0.3005203698825681
m4,4,150,random,20,0.05333333333333334,0.09500000000000001,0.41798180391471884,0.2889055855404332
m4,4,150,random,21,0.06,0.09833333333333334,0.4286460496970259,0.2916760799895254
m4,4,150,random,22,0.05333333333333334,0.10666666666666667,0.42086809830295835,0.286912074508125
m4,4,150,random,23,0.09333333333333334,0.11166666666666666,0.412876117205498,0.2760808541392406
m4,4,150,random,24,0.05333333333333334,0.08666666666666667,0.43680489241320025,0.3098352525890061
m4,4,150,random,25,0.1,0.11166666666666666,0.4045592452927343,0.2715206785858927
m4,4,150,random,26,0.06666666666666667,0.09,0.4248216650342399,0.29657966453629275
m4,4,150,random,27,0.1,0.11166666666666666,0.40600589903928397,0.28749631003783416
m4,4,150,random,28,0.05333333333333334,0.09,0.4402770417519487,0.30492102830660744
m4,4,150,random,29,0.09333333333333334,0.12,0.41670356005632647,0.28187844493319475
m4,4,150,random,30,0.07333333333333333,0.08666666666666667,0.4459326601078091,0.32006261805574726
m4,4,150,random,31,0.08666666666666667,0.09666666666666666,0.43017961353190426,0.29906272824776575
m4,4,150,random,32,0.04666666666666667,0.085,0.4347832724655195,0.3114843785077769
m4,4,150,random,33,0.07333333333333333,0.10666666666666667,0.40814265452288545,0.2986860421348637
m4,4,150,random,34,0.08,0.105,0.42154693025357926,0.29834586943328184
m4,4,150,random,35,0.08666666666666667,0.11166666666666666,0.40563263773710867,0.2698698687867091
m4,4,150,random,36,0.06,0.095,0.432068700492231,0.3023805852296488
m4,4,150,random,37,0.06666666666666667,0.10666666666666666,0.41491470908637124,0.2930353037326527
m4,4,150,random,38,0.06,0.09000000000000001,0.41530872019676957,0.2822891289749077
m4,4,150,random,39,0.06666666666666667,0.09166666666666666,0.412193501652736,0.29517027034116416
m4,4,150,random,40,0.09333333333333334,0.10666666666666667,0.4357499496995648,0.30276665818598053
m4,4,150,random,41,0.07333333333333333,0.09666666666666666,0.4244179917051414,0.2965938936124037
m4,4,150,random,42,0.09333333333333334,0.09833333333333334,0.43066121692731885,0.29700786112213606
m4,4,150,random,43,0.06,0.09333333333333334,0.41946265087048257,0.28419551159136125
m4,4,150,random,44,0.08,0.09166666666666667,0.4323553703715872,0.2991939583185824
m4,4,150,random,45,0.06,0.08166666666666667,0.4371451750878689,0.3091375558328299
m4,4,150,random,46,0.06666666666666667,0.10833333333333334,0.42610841612136946,0.2927053579609095
m4,4,150,random,47,0.08,0.09333333333333334,0.4251836258584684,0.3070188205615938
m4,4,150,random,48,0.06666666666666667,0.08666666666666667,0.45573214071342044,0.3203027916150197
m4,4,150,random,49,0.07333333333333333,0.09000000000000001,0.4212058721042011,0.30486047091649554
m4,4,200,lhs_nn,0,0.19,0.31125,0.17623925806949214,0.051564947324282726
m4,4,200,lhs_nn,1,0.215,0.3275,0.1568664354019511,0.04087518197352564
m4,4,200,lhs_nn,2,0.215,0.32125,0.17046478662827766,0.05133320110150279
m4,4,200,lhs_nn,3,0.215,0.32875,0.1595936693614673,0.042094246949127626
m4,4,200,lhs_nn,4,0.245,0.33375,0.1640968601145592,0.042600066983977634
m4,4,200,lhs_nn,5,0.215,0.31625000000000003,0.165818003859041,0.03961093037752213
m4,4,200,lhs_nn,6,0.215,0.31125,0.17421478662827763,0.0506799240286502
m4,4,200,lhs_nn,7,0.2,0.325,0.17047523792541158,0.04795135024830113
m4,4,200,lhs_nn,8,0.215,0.315,0.17658634903652273,0.05036452045541098
m4,4,200,lhs_nn,9,0.22,0.32249999999999995,0.16423786397667794,0.046653731432146496
m4,4,200,random,0,0.075,0.09000000000000001,0.4296861441683358,0.3012384466748297
m4,4,200,random,1,0.09,0.10500000000000001,0.42456959189080423,0.28407142962293447
m4,4,200,random,2,0.095,0.11875,0.40678314889102907,0.2731982110056354
m4,4,200,random,3,0.05,0.085,0.4394793869976066,0.3061912348523307
m4,4,200,random,4,0.105,0.11249999999999999,0.3961193942852837,0.2717706634854898
m4,4,200,random,5,0.055,0.0975,0.4220956839352755,0.2893933486565752
m4,4,200,random,6,0.075,0.10625000000000001,0.4009089833913393,0.2662310198395614
m4,4,200,random,7,0.095,0.10375000000000001,0.41925057533445226,0.29121937638735995
m4,4,200,random,8,0.07,0.08125000000000002,0.44397811239640617,0.3160208150240678
m4,4,200,random,9,0.09,0.09875,0.4282590459964112,0.3069811535198065
m4,4,200,random,10,0.085,0.11374999999999999,0.4244052545845317,0.2865307386767193
m4,4,200,random,11,0.1,0.1175,0.40562270611724427,0.28952432750837104
m4,4,200,random,12,0.065,0.11375000000000002,0.4099119123161874,0.27348514359372544
m4,4,200,random,13,0.08,0.0925,0.41957936515604877,0.2879544465962505
m4,4,200,random,14,0.075,0.08875000000000001,0.41481404164063246,0.2958729915403273
m4,4,200,random,15,0.065,0.085,0.43170932053655603,0.3177476916421712
m4,4,200,random,16,0.07,0.10125,0.41500981022981465,0.2838353311630419
m4,4,200,random,17,0.085,0.0975,0.4413309062761088,0.31100778171085214
m4,4,200,random,18,0.07,0.10500000000000001,0.4253915722532361,0.2844015842208782
m4,4,200,random,19,0.075,0.09000000000000001,0.42281292438604445,0.3008691130787523
m4,4,200,random,20,0.085,0.10625000000000001,0.42045793144390037,0.26759110829117627
m4,4,200,random,21,0.095,0.115,0.3962484383721958,0.2756250995858053
m4,4,200,random,22,0.085,0.1,0.4265603289623942,0.2968455626461128
m4,4,200,random,23,0.08,0.09250000000000001,0.4072205534365243,0.30367650291002485
m4,4,200,random,24,0.09,0.10375,0.4151706373775262,0.29577371713540934
m4,4,200,random,25,0.075,0.08875000000000001,0.4207871218581264,0.30936816503314146
m4,4,200,random,26,0.075,0.10500000000000001,0.407742044413414,0.2813063248847062
m4,4,200,random,27,0.095,0.10125,0.41247539359353275,0.29543543629239066
m4,4,200,random,28,0.095,0.11249999999999999,0.4079621370741914,0.2753007839727934
m4,4,200,random,29,0.07,0.09125,0.419944314289976,0.28940451278433005
m4,4,200,random,30,0.115,0.1175,0.40554136209215985,0.27054407530143715
m4,4,200,random,31,0.07,0.11,0.4159804704688195,0.2829902357878239
m4,4,200,random,32,0.1,0.11499999999999999,0.4071488420873602,0.2903300668315475
m4,4,200,random,33,0.095,0.10750000000000001,0.41148339258385735,0.29470056101882103
m4,4,200,random,34,0.075,0.10250000000000001,0.39440789001546206,0.2784579468251838
m4,4,200,random,35,0.08,0.09625000000000002,0.42930987295425,0.3043943723641957
m4,4,200,random,36,0.095,0.10250000000000001,0.4196033801455581,0.2943118213742116
m4,4,200,random,37,0.075,0.08750000000000001,0.44143745297529,0.31210198817285323
m4,4,200,random,38,0.09,0.0975,0.4056820005013595,0.2850299853800222
m4,4,200,random,39,0.105,0.1125,0.40969449357811827,0.2875183027494633
m4,4,200,random,40,0.095,0.11624999999999999,0.3947286780819589,0.2816603233459591
m4,4,200,random,41,0.07,0.1,0.4266007487312692,0.3037167467590843
m4,4,200,random,42,0.065,0.09,0.42649391862795916,0.2881813850419313
m4,4,200,random,43,0.095,0.11875,0.4248011800770667,0.29681633655785833
m4,4,200,random,44,0.09,0.1025,0.42960890904918336,0.2897200493274378
m4,4,200,random,45,0.105,0.11249999999999999,0.41203363738696897,0.29419830970996996
m4,4,200,random,46,0.085,0.0975,0.41871195129653127,0.2942551923986719
m4,4,200,random,47,0.065,0.085,0.43245867606032173,0.3008284425744562
m4,4,200,random,48,0.07,0.08625000000000001,0.42475804269855577,0.30109837266241485
m4,4,200,random,49,0.09,0.105,0.41373220194220606,0.2938741254845289
m4,4,300,lhs_nn,0,0.22,0.3025,0.1845878430359783,0.05583182598600849
m4,4,300,lhs_nn,1,0.21,0.30333333333333334,0.18106178904525944,0.053248737812232154
m4,4,300,lhs_nn,2,0.21,0.3025,0.18417914112779288,0.05642152294155718
m4,4,300,lhs_nn,3,0.20666666666666667,0.29416666666666663,0.19373017096647227,0.06339704528114826
m4,4,300,lhs_nn,4,0.21,0.2975,0.18512178222671372,0.058457268633637996
m4,4,300,lhs_nn,5,0.19333333333333333,0.29666666666666663,0.19135055816078425,0.057826109923258956
m4,4,300,lhs_nn,6,0.21333333333333335,0.29833333333333334,0.19096874811156633,0.05968953541068794
m4,4,300,lhs_nn,7,0.23333333333333334,0.30666666666666664,0.17900553922351198,0.05011268503140972
m4,4,300,lhs_nn,8,0.22,0.30833333333333335,0.1849402074249128,0.05249942367671766
m4,4,300,lhs_nn,9,0.19666666666666666,0.2925,0.19429232386135475,0.06681536553461749
m4,4,300,random,0,0.09,0.10583333333333333,0.4096814726961689,0.2886089823362283
m4,4,300,random,1,0.08333333333333333,0.09166666666666667,0.42845251836291337,0.29667964424749665
m4,4,300,random,2,0.10333333333333333,0.1175,0.40893964057225923,0.2732596760915594
m4,4,300,random,3,0.08333333333333333,0.10333333333333333,0.4195834417606329,0.29060546103688967
m4,4,300,random,4,0.08666666666666667,0.10250000000000001,0.4198461941867454,0.2920332476720858
m4,4,300,random,5,0.07,0.085,0.4195432408420945,0.3055876072760429
m4,4,300,random,6,0.07,0.0925,0.4254400267328642,0.29325025057446547
m4,4,300,random,7,0.07333333333333333,0.09416666666666665,0.4128448725238091,0.2901097952087153
m4,4,300,random,8,0.08,0.09833333333333334,0.427473086649042,0.2970304370552969
m4,4,300,random,9,0.08,0.09833333333333334,0.41552560288688456,0.29060171087816405
m4,4,300,random,10,0.06666666666666667,0.08916666666666667,0.4237669041849757,0.30730264324204115
m4,4,300,random,11,0.09666666666666666,0.10250000000000001,0.41924321580531954,0.3004357867665253
m4,4,300,random,12,0.09333333333333334,0.10083333333333333,0.4115386670158469,0.29021450134563803
m4,4,300,random,13,0.07666666666666666,0.08833333333333333,0.43006314252753997,0.3041422139330845
m4,4,300,random,14,0.07666666666666666,0.08833333333333333,0.4242128712657709,0.30057577895967375
m4,4,300,random,15,0.06,0.08916666666666667,0.43043326753229355,0.3085168310982315
