selector,seed,axis,ks_to_uniform,star_1d,max_gap,tail_share_p90
lhs_nn,0,drought_deficit_volume,0.21828316046691254,0.12724637759230445,0.11046367513090782,0.2
lhs_nn,0,drought_duration,0.23227602430895888,0.141582715827199,0.07861203685551832,0.13
lhs_nn,0,drought_peak_depth,0.17951119785946107,0.09315024966954709,0.08125622382957458,0.31
lhs_nn,0,drought_onset_rate,0.3182316933494247,0.20430324014288936,0.07946981465068048,0.36
lhs_nn,0,drought_recovery_rate,0.3526363223057179,0.22439207501062658,0.09881365278929832,0.24
lhs_nn,0,flood_peak_magnitude,0.13252532286534413,0.08292353393003354,0.12945702768819656,0.31
lhs_nn,0,flood_pulse_duration,0.21666666666666673,0.12533658388219557,0.11111111111111116,0.25
lhs_nn,0,flood_rise_rate,0.2650774110307008,0.1474414168184008,0.058417581671730834,0.21
lhs_nn,1,drought_deficit_volume,0.22822682335603484,0.12523314242325134,0.12094393253505997,0.21
lhs_nn,1,drought_duration,0.22425602822975876,0.12308674732857662,0.19623603215055863,0.15
lhs_nn,1,drought_peak_depth,0.1237362821404153,0.07510981820600797,0.07220806550050872,0.32
lhs_nn,1,drought_onset_rate,0.285152307028806,0.19230073810731574,0.0725605463267407,0.37
lhs_nn,1,drought_recovery_rate,0.262745732639936,0.18541475956835524,0.17707204332514825,0.29
lhs_nn,1,flood_peak_magnitude,0.15343269455655983,0.09349410677715288,0.1125685217648027,0.26
lhs_nn,1,flood_pulse_duration,0.19999999999999996,0.11303337210698677,0.05555555555555558,0.28
lhs_nn,1,flood_rise_rate,0.26264251250992665,0.1578841869303056,0.055775236357961666,0.2
lhs_nn,2,drought_deficit_volume,0.20108226051537037,0.13226811324677173,0.12094393253505997,0.24
lhs_nn,2,drought_duration,0.2150480297980787,0.13035299707152204,0.1568319937267203,0.15
lhs_nn,2,drought_peak_depth,0.15687504290781995,0.08855788802188341,0.10155454972257005,0.27
lhs_nn,2,drought_onset_rate,0.2899304788739568,0.18139941254216593,0.05231680809698114,0.42
lhs_nn,2,drought_recovery_rate,0.27263632230571794,0.18627336372398476,0.07655718487188767,0.3
lhs_nn,2,flood_peak_magnitude,0.15069273608334566,0.09085920615409743,0.068898329994723,0.28
lhs_nn,2,flood_pulse_duration,0.2155555555555556,0.12274635093014467,0.05555555555555558,0.27
lhs_nn,2,flood_rise_rate,0.2661652197077157,0.15182780396950196,0.07035511141498185,0.17
lhs_nn,3,drought_deficit_volume,0.20828316046691253,0.11658639604416067,0.12094393253505997,0.2
lhs_nn,3,drought_duration,0.20504802979807868,0.11716199435649768,0.1176239952950403,0.17
lhs_nn,3,drought_peak_depth,0.145541417473434,0.07727338550228734,0.06146311296973306,0.3
lhs_nn,3,drought_onset_rate,0.3145795642386046,0.19168083928872326,0.09866847172903614,0.39
lhs_nn,3,drought_recovery_rate,0.29325252290830683,0.1864638875857562,0.06737546828835383,0.28
lhs_nn,3,flood_peak_magnitude,0.14343269455655983,0.09443134542211679,0.11084778563477682,0.27
lhs_nn,3,flood_pulse_duration,0.2155555555555556,0.11627181860824826,0.05555555555555558,0.27
lhs_nn,3,flood_rise_rate,0.31228551435631,0.17980803532800124,0.06241802177012756,0.14
lhs_nn,4,drought_deficit_volume,0.2682831604669126,0.14953646832876744,0.13333387180791256,0.15
lhs_nn,4,drought_duration,0.19504802979807867,0.11551488879412274,0.1176239952950402,0.19
lhs_nn,4,drought_peak_depth,0.15730104734365202,0.08502227491988883,0.09863637448163542,0.3
lhs_nn,4,drought_onset_rate,0.33643773099951774,0.20645417885322795,0.07713819078830997,0.38
lhs_nn,4,drought_recovery_rate,0.28367910552486725,0.1819628362444643,0.07672545645685336,0.3
lhs_nn,4,flood_peak_magnitude,0.16971605278947,0.0989088896487639,0.13013552786561178,0.28
lhs_nn,4,flood_pulse_duration,0.1955555555555556,0.09913514905308948,0.05555555555555558,0.3
lhs_nn,4,flood_rise_rate,0.23856387696798476,0.14640823977897813,0.08325917316673193,0.22
lhs_nn,5,drought_deficit_volume,0.22828316046691255,0.14061921691588597,0.12094393253505997,0.18
lhs_nn,5,drought_duration,0.2618800235247989,0.15406696593100938,0.1764359929425603,0.12
lhs_nn,5,drought_peak_depth,0.11834500337424746,0.06529845164536051,0.07220806550050872,0.32
lhs_nn,5,drought_onset_rate,0.3245795642386046,0.20551413539968355,0.0662508275053374,0.34
lhs_nn,5,drought_recovery_rate,0.3068549849917169,0.20888693047910492,0.07025775319567207,0.24
lhs_nn,5,flood_peak_magnitude,0.1606824379570937,0.07911955298372438,0.1125685217648027,0.37
lhs_nn,5,flood_pulse_duration,0.1955555555555556,0.0971094584146185,0.05555555555555558,0.3
lhs_nn,5,flood_rise_rate,0.27228551435631,0.1598715628863451,0.07921215026882465,0.17
lhs_nn,6,drought_deficit_volume,0.23407806871314274,0.13652882833142668,0.12409464285896787,0.19
lhs_nn,6,drought_duration,0.24386002744559887,0.13920372245706186,0.1960399921584004,0.13
lhs_nn,6,drought_peak_depth,0.16208608860834534,0.09171642712912817,0.07798237216435702,0.29
lhs_nn,6,drought_onset_rate,0.3284789796710412,0.20820099735265835,0.08907807913049243,0.35
lhs_nn,6,drought_recovery_rate,0.3057610404622084,0.20074539323013418,0.09583559325447033,0.25
lhs_nn,6,flood_peak_magnitude,0.13307680824270937,0.07737812704249084,0.07970213440333365,0.32
lhs_nn,6,flood_pulse_duration,0.2055555555555556,0.1123404218007501,0.11111111111111116,0.26
lhs_nn,6,flood_rise_rate,0.25067837537720167,0.14095775055113371,0.08318109415490982,0.22
lhs_nn,7,drought_deficit_volume,0.19727044796341542,0.121706461602364,0.10400898956399152,0.23
lhs_nn,7,drought_duration,0.21108802195647902,0.12295234056323694,0.0784159968633601,0.18
