solution_id,sat_multivariate_sow,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__trenton_flow_reliability_annual,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__nj_delivery_reliability_annual,laplace__nyc_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__montague_flow_deficit_p99_pct,laplace__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__nyc_storage_min_p01_pct,laplace__nj_delivery_reliability_annual,maximin__nyc_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__montague_flow_deficit_p99_pct,maximin__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__nyc_storage_min_p01_pct,maximin__nj_delivery_reliability_annual,regret_mean__nyc_delivery_reliability_annual,regret_q90__nyc_delivery_reliability_annual,regret_cond__nyc_delivery_reliability_annual,gain_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_q90__montague_flow_reliability_annual,regret_cond__montague_flow_reliability_annual,gain_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_q90__montague_flow_deficit_p99_pct,regret_cond__montague_flow_deficit_p99_pct,gain_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__trenton_flow_reliability_annual,regret_cond__trenton_flow_reliability_annual,gain_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_q90__downstream_flood_exceedance_annual,regret_cond__downstream_flood_exceedance_annual,gain_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_q90__nyc_storage_min_p01_pct,regret_cond__nyc_storage_min_p01_pct,gain_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_cond__nj_delivery_reliability_annual,gain_mean__nj_delivery_reliability_annual,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__nj_delivery_reliability_annual,party_harm_freq__nyc,party_harm_freq__nj,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,no_harm_freq,no_harm_freq_tau,n_degraded_mean
81,0.0,1.0,1.0,0.245,0.0,0.06,0.375,0.285,1.0,0.916330612244898,27.815042867733688,0.6898938775510203,36.53566045992593,0.6957142857142858,1.7826986335796255,20.303526561834456,1.0,0.7338775510204082,29.658594402468523,0.4,38.89263606493037,0.3706122448979592,5.223283570449826,2.042068707009549,1.0,0.0,0.0,,0.5390081632653061,0.0,0.0,,7.692670205760112,0.0,0.0,,0.21545306122448976,22.023628727103304,24.882789755013984,22.023628727103304,0.0,0.010967346938775506,0.02873469387755096,0.01661719233147804,0.0018204081632653064,0.13133137879888548,0.2058504380490896,0.13133137879888548,0.0,0.0,0.0,,7.761988628120996,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.66,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,2.66
82,0.0,1.0,0.98,0.12,0.0,0.055,0.18,0.195,0.52,0.9968693877551021,4.225730496425559,0.6730530612244898,41.63416274406247,0.727069387755102,2.389614502890895,16.048299883843853,0.7197918367346938,0.9714285714285714,69.23700423725006,0.44326530612244897,56.4175991907628,0.44571428571428573,6.432103462232724,0.0,0.4310204081632653,0.0,0.0,,0.6195469387755103,0.41312484742204264,0.0,13.77082824740142,31.695107424490278,0.0,0.0,,0.19861224489795914,27.122131011239855,28.22784642816587,27.122131011239855,0.0,4.081632653061273e-05,0.0,0.0020408163265306367,0.022248979591836738,0.738247248110155,1.1490031734991764,0.738247248110155,0.0,0.24187885483085295,0.3576673239933084,1.5605087408442126,3.748640804961245,0.0,0.0,,0.21295102040816327,0.0,0.03,0.0,1.0,0.02,1.0,0.155,0.0,0.175,0.0,1.0,1.0,0.0,0.0,2.205
83,0.0,0.57,0.0,1.0,0.995,0.28,0.285,0.035,0.685,0.6583020408163265,48.67371580775673,0.9829591836734692,2.678450795184984,0.8014122448979591,2.1688948189125004,14.35275566318522,0.7906122448979592,0.36979591836734693,61.04858722147189,0.916734693877551,31.322947540369693,0.5624489795918367,5.991078052220696,0.0,0.5363265306122449,0.0,0.0,,0.28097959183673465,13.166002734262927,13.392553932611232,13.166002734262927,0.0,0.0,0.0,,0.5085183673469388,0.0,0.0,,11.83358093763764,0.0,0.0,,0.09655102040816327,0.5175275641317604,0.8100848311225404,0.5175275641317604,0.0,0.19969043434463657,0.8297817269981176,0.9287927178820305,2.0109081638163953,0.0,0.0,,0.28377142857142856,0.0,1.0,0.0,0.0,0.0,1.0,0.215,0.0,1.0,0.0,0.0,1.0,0.0,0.03,2.215
84,0.0,0.91,1.0,0.005,0.0,0.02,0.38,0.6,0.785,0.8028571428571429,29.90249026793806,0.5267020408163267,38.4549929501914,0.6533714285714286,1.796259213247878,26.840101540262037,0.8303836734693877,0.5493877551020409,29.903345530424275,0.24244897959183673,39.780606985036265,0.32081632653061226,5.253510534065535,8.772133441185455,0.5812244897959183,0.0,0.0,,0.425534693877551,0.0,0.0,,5.605222805555738,0.0,0.0,,0.05226122448979592,23.942961217368776,26.641873614877763,23.942961217368776,0.0,0.05148979591836735,0.07926530612244898,0.05148979591836735,0.0,0.1448919584671379,0.22413457262222747,0.1448919584671379,0.0,0.0,0.0,,14.298563606548571,0.0,0.0,,0.32354285714285713,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,3.0
85,0.0,1.0,1.0,0.04,0.0,0.055,0.16,0.735,1.0,0.8949632653061224,29.41361937712101,0.5921714285714286,40.30569111038458,0.6908081632653061,2.4291456782928775,28.539658531511222,1.0,0.6979591836734694,29.93371292035267,0.31510204081632653,45.20827955153507,0.3722448979591837,6.488392501392135,13.10049139432178,1.0,0.0,0.0,,0.5176408163265306,0.0,0.0,,6.094093696372792,0.0,0.0,,0.11773061224489796,25.79365937756196,27.771408390921554,25.79365937756196,0.0,0.014681632653061225,0.03273469387755106,0.017478134110787174,0.00062857142857143,0.7777784235121377,1.1978887588385472,0.7777784235121377,0.0,0.0,0.0,,15.998120597797758,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.84,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.005,2.84
86,0.0,1.0,0.995,0.0,0.0,0.005,0.555,0.055,1.0,0.9470244897959184,8.590967436103314,0.3877795918367347,42.86474920208628,0.6495142857142856,1.1704202818832723,14.730679519436608,1.0,0.793469387755102,49.19498724674797,0.16489795918367348,49.353320082644935,0.3240816326530612,3.6350721093760185,0.0,1.0,0.0,0.0,,0.5697020408163265,0.05709508248388616,0.0,11.419016496777232,26.97384071987437,0.08666122448979592,0.10530612244897958,0.08666122448979592,0.0,28.352717469263652,30.926225066908074,28.352717469263652,0.0,0.05534693877551021,0.07918367346938782,0.05534693877551021,0.0,0.0,0.0,,0.48094697289746774,0.10086012485706135,0.06516941731168453,0.8068809988564908,2.290001710580208,0.0,0.0,,0.4931591836734694,0.0,0.005,1.0,1.0,1.0,0.0,0.125,0.0,0.13,0.0,1.0,0.0,0.0,0.0,3.13
87,0.0,0.86,1.0,0.0,0.0,0.215,0.28,0.385,0.595,0.7883183673469388,28.13293132989794,0.5471387755102041,34.75321695629875,0.7684204081632653,2.16130850249296,20.966470609772042,0.7507551020408164,0.5363265306122449,28.13293133063509,0.30448979591836733,39.62991874348822,0.47591836734693876,5.990936525526142,1.2774040858948352,0.48244897959183675,0.0,0.0,,0.4109959183673469,0.0,0.0,,7.374781743595865,0.0,0.0,,0.07269795918367347,20.24118522347612,22.0115188209879,20.24118522347612,0.0,0.0,0.0,,0.0635591836734694,0.50994124771222,0.7994834016314608,0.50994124771222,0.0,0.0,0.0,,8.424932676058578,0.0,0.0,,0.24391428571428572,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,2.0
88,0.0,0.315,1.0,0.635,0.0,0.07,0.375,0.265,1.0,0.5648734693877552,19.913295148403016,0.8127020408163265,35.91310399214951,0.7307061224489795,1.811594030954145,19.098385386643724,1.0,0.27510204081632655,19.997236336346724,0.5755102040816327,40.14319791854976,0.44,5.3068973298174775,0.002571125657932856,1.0,0.0,0.0,,0.18755102040816327,0.0,0.0,,15.594417925090784,0.0,0.0,,0.3382612244897959,21.401072259326885,23.563572811748756,21.401072259326885,0.0,0.0,0.0,,0.025844897959183676,0.16022677617340478,0.2555807188547731,0.16022677617340478,0.0,0.0,0.0,,6.556847452930258,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,2.0
89,0.0,0.89,1.0,0.97,0.185,0.06,0.275,0.0,1.0,0.8048693877551021,19.90288185396919,0.9273224489795919,35.572849089112324,0.7184979591836735,2.1971778243931097,13.097338550230115,1.0,0.5551020408163265,27.77157262110324,0.763265306122449,47.485501993285936,0.4236734693877551,6.017315250764201,0.0,1.0,0.0,0.0,,0.4275469387755102,0.0,0.0,,15.60483121952461,0.0,0.0,,0.45288163265306125,21.29377043156152,27.100456921367524,22.181010866209917,0.2329530752718168,0.0006040816326530607,0.0,0.009293563579277856,0.014240816326530608,0.5458105696123695,0.8375604358378271,0.5458105696123695,0.0,1.032545350817265,3.681938307062877,2.7534542688460406,1.5883459673339195,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,0.96,0.065,1.0,0.375,0.0,0.375,0.0,0.96,1.0,0.0,0.07,2.4
90,0.0,0.965,0.65,1.0,0.625,0.07,0.42,0.0,1.0,0.8667469387755102,34.711552920904396,0.9601714285714286,23.731831105186323,0.7450408163265305,1.6457291276192618,2.753335913931211,1.0,0.6171428571428571,89.18965455194146,0.8220408163265306,75.12116678897084,0.4946938775510204,4.931352317603741,0.0,1.0,0.0,0.0,,0.48942448979591846,13.429224318003484,46.34281761048889,33.15857856297157,14.225384470592886,0.0,0.0,,0.485730612244898,14.537002180065567,46.126827877038544,33.418395816242686,5.31720280770187,0.0,0.0,,0.040179591836734696,0.009223025946436689,0.031349919018311294,0.022772903571448615,0.01486115310791492,9.78820201978225,15.415749611891338,10.639350021502446,0.0,0.0,0.0,,0.4931591836734694,0.0,0.405,0.0,0.435,0.0,0.405,0.92,0.0,1.0,0.0,0.435,0.405,0.0,0.0,2.165
