,Balanced (dominating) (row 3486),Diverse 1 (row 1974),Diverse 2 (row 1892)
Balanced (dominating) (row 3486),0.0,3.5961992406981844,3.3133934206951254
Diverse 1 (row 1974),3.5961992406981844,0.0,2.872738621879664
Diverse 2 (row 1892),3.3133934206951254,2.872738621879664,0.0
