row_index,rule,label,dominates_baseline,n_objectives_beaten,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_exceedance_annual,nyc_storage_min_p01_pct,nj_delivery_reliability_annual
31,best_nyc_delivery_reliability_annual,Best nyc_delivery_reliability_annual,False,3,0.9833333333333333,63.9891182525657,0.5655555555555556,43.99011738603855,0.7755555555555556,1.4112792418707123,0.0,1.0
674,best_nyc_delivery_deficit_p99_pct,Best nyc_delivery_deficit_p99_pct,False,5,0.7122222222222222,8.877651126624752,0.3488888888888889,45.19696074315551,0.7822222222222223,0.9926302401610153,0.035562025862031436,1.0
1182,best_montague_flow_reliability_annual,Best montague_flow_reliability_annual,False,6,0.6611111111111111,48.415856872439065,0.9688888888888889,7.220356862002729,0.8144444444444444,1.4301381430489848,1.6923135361217017,0.8966666666666666
521,best_montague_flow_deficit_p99_pct,Best montague_flow_deficit_p99_pct,False,5,0.5677777777777778,49.885707829063264,0.9666666666666667,6.9826837940206685,0.8555555555555555,1.3043887313933595,0.0,0.8122222222222222
2491,best_trenton_flow_reliability_annual,Best trenton_flow_reliability_annual,False,5,0.5311111111111111,52.61725125988819,0.7155555555555555,15.270574340532864,0.8888888888888888,1.1615610658980982,0.0,0.5522222222222222
4254,best_downstream_flood_exceedance_annual,Best downstream_flood_exceedance_annual,False,5,0.93,82.66818750243942,0.7233333333333334,55.65604104111816,0.8555555555555555,0.8099392162002953,0.0,1.0
4898,best_nyc_storage_min_p01_pct,Best nyc_storage_min_p01_pct,False,5,0.6244444444444445,49.2149120886925,0.7066666666666667,44.969388404561606,0.8344444444444444,1.3598846676053573,27.53648934656584,1.0
0,best_nj_delivery_reliability_annual,Best nj_delivery_reliability_annual,False,4,0.9788888888888889,49.705535317235736,0.42444444444444446,46.88186960893363,0.7733333333333333,0.8788198466005048,0.0,1.0
3486,mean_scaled,Balanced (mean scaled),False,6,0.6088888888888889,47.835237294276965,0.8066666666666666,39.52221062152219,0.8422222222222222,0.8906255037850204,16.355092350256758,1.0
3486,distance_to_ideal_p1,Compromise L1,False,6,0.6088888888888889,47.835237294276965,0.8066666666666666,39.52221062152219,0.8422222222222222,0.8906255037850204,16.355092350256758,1.0
5220,distance_to_ideal_p2,Compromise L2,False,6,0.6422222222222222,42.585309709486886,0.6944444444444444,43.99386537584011,0.8211111111111111,0.8908100336983656,21.67819997867794,1.0
1506,distance_to_ideal_pinf,Minimax regret,False,5,0.72,48.08397078691516,0.7622222222222222,37.14728727524169,0.8022222222222222,1.1948358872136775,18.426957262060647,1.0
1506,maximin,Best worst-case,False,5,0.72,48.08397078691516,0.7622222222222222,37.14728727524169,0.8022222222222222,1.1948358872136775,18.426957262060647,1.0
3486,mean_scaled_dominating,Balanced (dominating),False,6,0.6088888888888889,47.835237294276965,0.8066666666666666,39.52221062152219,0.8422222222222222,0.8906255037850204,16.355092350256758,1.0
1974,diverse_1,Diverse 1,False,2,0.9833333333333333,44.00440174385056,0.31666666666666665,43.967322691910006,0.7811111111111111,1.4787282173151663,0.0,0.53
1892,diverse_2,Diverse 2,False,4,0.9011111111111111,88.34772118815677,0.8033333333333333,64.2849695697111,0.8711111111111111,0.82667406924336,0.0,0.3411111111111111
