path,policy_id,policy_label,objective,value_median,value_min,value_max,max_abs_dev,max_rel_dev,n_unique,deterministic
historic_full,1,perturbed_1,downstream_flood_days_annual,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.0,0.0,1,True
historic_full,1,perturbed_1,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
historic_full,2,perturbed_2,nyc_delivery_reliability_annual,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.0,0.0,1,True
historic_full,2,perturbed_2,nyc_delivery_deficit_p99_pct,50.10097141985866,50.10097141985866,50.10097141985866,0.0,0.0,1,True
historic_full,2,perturbed_2,montague_flow_reliability_annual,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.0,0.0,1,True
historic_full,2,perturbed_2,montague_flow_deficit_p99_pct,29.618874569469398,29.618874569469398,29.618874569469398,0.0,0.0,1,True
historic_full,2,perturbed_2,trenton_flow_reliability_annual,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.0,0.0,1,True
historic_full,2,perturbed_2,downstream_flood_days_annual,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.0,0.0,1,True
historic_full,2,perturbed_2,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
historic_full,3,perturbed_3,nyc_delivery_reliability_annual,0.6447368421052632,0.6447368421052632,0.6447368421052632,0.0,0.0,1,True
historic_full,3,perturbed_3,nyc_delivery_deficit_p99_pct,48.76620733061851,48.76620733061851,48.76620733061851,0.0,0.0,1,True
historic_full,3,perturbed_3,montague_flow_reliability_annual,0.7631578947368421,0.7631578947368421,0.7631578947368421,0.0,0.0,1,True
historic_full,3,perturbed_3,montague_flow_deficit_p99_pct,28.521948527882806,28.521948527882806,28.521948527882806,0.0,0.0,1,True
historic_full,3,perturbed_3,trenton_flow_reliability_annual,0.8552631578947368,0.8552631578947368,0.8552631578947368,0.0,0.0,1,True
historic_full,3,perturbed_3,downstream_flood_days_annual,0.14473684210526316,0.14473684210526316,0.14473684210526316,0.0,0.0,1,True
historic_full,3,perturbed_3,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_trimmed,0,baseline,nyc_delivery_reliability_annual,0.33877551020408164,0.33877551020408164,0.33877551020408164,0.0,0.0,1,True
ensemble_trimmed,0,baseline,nyc_delivery_deficit_p99_pct,39.17613105029435,39.17613105029435,39.17613105029435,0.0,0.0,1,True
ensemble_trimmed,0,baseline,montague_flow_reliability_annual,0.42448979591836733,0.42448979591836733,0.42448979591836733,0.0,0.0,1,True
ensemble_trimmed,0,baseline,montague_flow_deficit_p99_pct,17.9946506315202,17.9946506315202,17.994650631520365,1.6342482922482304e-13,9.081856190003551e-15,2,True
ensemble_trimmed,0,baseline,trenton_flow_reliability_annual,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,1,True
ensemble_trimmed,0,baseline,downstream_flood_days_annual,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,1,True
ensemble_trimmed,0,baseline,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_trimmed,1,perturbed_1,nyc_delivery_reliability_annual,0.2816326530612245,0.2816326530612245,0.2816326530612245,0.0,0.0,1,True
ensemble_trimmed,1,perturbed_1,nyc_delivery_deficit_p99_pct,40.07377692862569,40.07377692862569,40.073776928628504,2.8137492336099967e-12,7.021422609157825e-14,3,True
ensemble_trimmed,1,perturbed_1,montague_flow_reliability_annual,0.39591836734693875,0.39591836734693875,0.39591836734693875,0.0,0.0,1,True
ensemble_trimmed,1,perturbed_1,montague_flow_deficit_p99_pct,18.614303588869003,18.61430358886816,18.61430358886954,1.3784529073745944e-12,7.405342352957447e-14,4,True
ensemble_trimmed,1,perturbed_1,trenton_flow_reliability_annual,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,1,True
ensemble_trimmed,1,perturbed_1,downstream_flood_days_annual,0.11836734693877551,0.11836734693877551,0.11836734693877551,0.0,0.0,1,True
ensemble_trimmed,1,perturbed_1,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,nyc_delivery_reliability_annual,0.3551020408163265,0.3551020408163265,0.3551020408163265,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,nyc_delivery_deficit_p99_pct,36.56572940806489,36.56572940806489,36.56572940806489,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,montague_flow_reliability_annual,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,montague_flow_deficit_p99_pct,19.318718940322636,19.318718940322636,19.318718940322732,9.592326932761353e-14,4.965301768917993e-15,2,True
ensemble_trimmed,2,perturbed_2,trenton_flow_reliability_annual,0.7795918367346939,0.7795918367346939,0.7795918367346939,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,downstream_flood_days_annual,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,1,True
ensemble_trimmed,2,perturbed_2,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,nyc_delivery_reliability_annual,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,nyc_delivery_deficit_p99_pct,37.791329584761804,37.791329584761804,37.791329584761804,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,montague_flow_reliability_annual,0.40408163265306124,0.40408163265306124,0.40408163265306124,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,montague_flow_deficit_p99_pct,18.770677193868806,18.770677193868806,18.77067719386886,5.3290705182007514e-14,2.839040095975558e-15,2,True
ensemble_trimmed,3,perturbed_3,trenton_flow_reliability_annual,0.7795918367346939,0.7795918367346939,0.7795918367346939,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,downstream_flood_days_annual,0.10612244897959183,0.10612244897959183,0.10612244897959183,0.0,0.0,1,True
ensemble_trimmed,3,perturbed_3,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_full,0,baseline,nyc_delivery_reliability_annual,0.33877551020408164,0.33877551020408164,0.33877551020408164,0.0,0.0,1,True
ensemble_full,0,baseline,nyc_delivery_deficit_p99_pct,39.17613105029435,39.17613105029435,39.17613105029435,0.0,0.0,1,True
ensemble_full,0,baseline,montague_flow_reliability_annual,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.0,1,True
ensemble_full,0,baseline,montague_flow_deficit_p99_pct,17.994650631520365,17.9946506315202,17.994650631520365,1.6342482922482304e-13,9.081856190003467e-15,2,True
ensemble_full,0,baseline,trenton_flow_reliability_annual,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,1,True
ensemble_full,0,baseline,downstream_flood_days_annual,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,1,True
ensemble_full,0,baseline,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_full,1,perturbed_1,nyc_delivery_reliability_annual,0.2816326530612245,0.2816326530612245,0.2816326530612245,0.0,0.0,1,True
ensemble_full,1,perturbed_1,nyc_delivery_deficit_p99_pct,40.07377692862569,40.07377692862569,40.07377692862569,0.0,0.0,1,True
ensemble_full,1,perturbed_1,montague_flow_reliability_annual,0.40408163265306124,0.40408163265306124,0.40408163265306124,0.0,0.0,1,True
ensemble_full,1,perturbed_1,montague_flow_deficit_p99_pct,18.614303588869,18.614303588868502,18.614303588869,4.973799150320701e-13,2.6720307459124816e-14,2,True
ensemble_full,1,perturbed_1,trenton_flow_reliability_annual,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,1,True
ensemble_full,1,perturbed_1,downstream_flood_days_annual,0.11836734693877551,0.11836734693877551,0.11836734693877551,0.0,0.0,1,True
ensemble_full,1,perturbed_1,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_full,2,perturbed_2,nyc_delivery_reliability_annual,0.3551020408163265,0.3551020408163265,0.3551020408163265,0.0,0.0,1,True
ensemble_full,2,perturbed_2,nyc_delivery_deficit_p99_pct,36.56572940806489,36.56572940806489,36.56572940806489,0.0,0.0,1,True
ensemble_full,2,perturbed_2,montague_flow_reliability_annual,0.42448979591836733,0.42448979591836733,0.42448979591836733,0.0,0.0,1,True
ensemble_full,2,perturbed_2,montague_flow_deficit_p99_pct,19.318718940322732,19.318718940322636,19.318718940322732,9.592326932761353e-14,4.9653017689179685e-15,2,True
ensemble_full,2,perturbed_2,trenton_flow_reliability_annual,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.0,0.0,1,True
ensemble_full,2,perturbed_2,downstream_flood_days_annual,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.0,1,True
ensemble_full,2,perturbed_2,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
ensemble_full,3,perturbed_3,nyc_delivery_reliability_annual,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,0.0,1,True
ensemble_full,3,perturbed_3,nyc_delivery_deficit_p99_pct,37.791329584761804,37.791329584761804,37.791329584761804,0.0,0.0,1,True
ensemble_full,3,perturbed_3,montague_flow_reliability_annual,0.40408163265306124,0.40408163265306124,0.40408163265306124,0.0,0.0,1,True
ensemble_full,3,perturbed_3,montague_flow_deficit_p99_pct,18.770677193868806,18.770677193868806,18.770677193868863,5.684341886080802e-14,3.0283094357072617e-15,2,True
ensemble_full,3,perturbed_3,trenton_flow_reliability_annual,0.7795918367346939,0.7795918367346939,0.7795918367346939,0.0,0.0,1,True
ensemble_full,3,perturbed_3,downstream_flood_days_annual,0.10612244897959183,0.10612244897959183,0.10612244897959183,0.0,0.0,1,True
ensemble_full,3,perturbed_3,nyc_storage_min_p01_pct,0.0,0.0,0.0,0.0,0.0,1,True
