criterion,design,axis,depth,best_policy,any_policy
nyc_supply,hazard_filling_stationary,montague_flow_reliability_annual,3,0.98,0.985
nyc_supply,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.9
nyc_supply,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.87,0.895
nyc_supply,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.39,0.445
nyc_supply,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.165,0.215
nyc_supply,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.165,0.215
nyc_supply,historic,nyc_delivery_reliability_annual,1,1.0,1.0
nyc_supply,historic,nyc_delivery_deficit_p99_pct,2,0.98,0.98
nyc_supply,historic,montague_flow_reliability_annual,3,0.165,0.165
nyc_supply,historic,montague_flow_deficit_p99_pct,4,0.085,0.085
nyc_supply,historic,nj_delivery_reliability_annual,5,0.085,0.085
nyc_supply,historic,nyc_storage_min_p01_pct,6,0.0,0.0
nyc_supply,historic,downstream_flood_exceedance_annual,7,0.0,0.0
nyc_supply,historic,trenton_flow_reliability_annual,8,0.0,0.0
downstream,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
downstream,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
downstream,fixed_probabilistic,montague_flow_reliability_annual,3,1.0,1.0
downstream,fixed_probabilistic,montague_flow_deficit_p99_pct,4,1.0,1.0
downstream,fixed_probabilistic,nj_delivery_reliability_annual,5,1.0,1.0
downstream,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.78,0.82
downstream,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.165,0.295
downstream,fixed_probabilistic,trenton_flow_reliability_annual,8,0.1,0.185
downstream,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.17,0.17
downstream,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.17,0.17
downstream,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
downstream,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
downstream,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
downstream,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
downstream,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
downstream,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
downstream,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
downstream,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
downstream,hazard_filling_stationary,montague_flow_reliability_annual,3,1.0,1.0
downstream,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.98,0.99
downstream,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.98,0.985
downstream,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.8,0.8
downstream,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.33,0.435
downstream,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.245,0.3
downstream,historic,nyc_delivery_reliability_annual,1,1.0,1.0
downstream,historic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
downstream,historic,montague_flow_reliability_annual,3,0.47,0.475
downstream,historic,montague_flow_deficit_p99_pct,4,0.455,0.455
downstream,historic,nj_delivery_reliability_annual,5,0.455,0.455
downstream,historic,nyc_storage_min_p01_pct,6,0.025,0.025
downstream,historic,downstream_flood_exceedance_annual,7,0.0,0.0
downstream,historic,trenton_flow_reliability_annual,8,0.0,0.0
compromise,fixed_probabilistic,nyc_delivery_reliability_annual,1,1.0,1.0
compromise,fixed_probabilistic,nyc_delivery_deficit_p99_pct,2,1.0,1.0
compromise,fixed_probabilistic,montague_flow_reliability_annual,3,0.97,0.97
compromise,fixed_probabilistic,montague_flow_deficit_p99_pct,4,0.89,0.91
compromise,fixed_probabilistic,nj_delivery_reliability_annual,5,0.88,0.9
compromise,fixed_probabilistic,nyc_storage_min_p01_pct,6,0.425,0.505
compromise,fixed_probabilistic,downstream_flood_exceedance_annual,7,0.025,0.045
compromise,fixed_probabilistic,trenton_flow_reliability_annual,8,0.025,0.045
compromise,ffmp_incumbent,nyc_delivery_reliability_annual,1,0.005,0.005
compromise,ffmp_incumbent,nyc_delivery_deficit_p99_pct,2,0.005,0.005
compromise,ffmp_incumbent,montague_flow_reliability_annual,3,0.0,0.0
compromise,ffmp_incumbent,montague_flow_deficit_p99_pct,4,0.0,0.0
compromise,ffmp_incumbent,nj_delivery_reliability_annual,5,0.0,0.0
compromise,ffmp_incumbent,nyc_storage_min_p01_pct,6,0.0,0.0
compromise,ffmp_incumbent,downstream_flood_exceedance_annual,7,0.0,0.0
compromise,ffmp_incumbent,trenton_flow_reliability_annual,8,0.0,0.0
compromise,hazard_filling_stationary,nyc_delivery_reliability_annual,1,1.0,1.0
compromise,hazard_filling_stationary,nyc_delivery_deficit_p99_pct,2,1.0,1.0
compromise,hazard_filling_stationary,montague_flow_reliability_annual,3,0.98,0.985
compromise,hazard_filling_stationary,montague_flow_deficit_p99_pct,4,0.88,0.9
compromise,hazard_filling_stationary,nj_delivery_reliability_annual,5,0.87,0.895
compromise,hazard_filling_stationary,nyc_storage_min_p01_pct,6,0.39,0.445
compromise,hazard_filling_stationary,downstream_flood_exceedance_annual,7,0.04,0.08
compromise,hazard_filling_stationary,trenton_flow_reliability_annual,8,0.04,0.08
compromise,historic,nyc_delivery_reliability_annual,1,1.0,1.0
compromise,historic,nyc_delivery_deficit_p99_pct,2,0.98,0.98
compromise,historic,montague_flow_reliability_annual,3,0.165,0.165
compromise,historic,montague_flow_deficit_p99_pct,4,0.085,0.085
compromise,historic,nj_delivery_reliability_annual,5,0.085,0.085
compromise,historic,nyc_storage_min_p01_pct,6,0.0,0.0
compromise,historic,downstream_flood_exceedance_annual,7,0.0,0.0
compromise,historic,trenton_flow_reliability_annual,8,0.0,0.0
