design,axis_a,axis_b,best_policy_joint
hazard_filling_stationary,nyc_storage_min_p01_pct,downstream_flood_exceedance_annual,0.43
hazard_filling_stationary,nyc_storage_min_p01_pct,nyc_storage_min_p01_pct,0.955
hazard_filling_stationary,nj_delivery_reliability_annual,nyc_delivery_reliability_annual,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,montague_flow_reliability_annual,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,montague_flow_deficit_p99_pct,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,trenton_flow_reliability_annual,0.32
hazard_filling_stationary,nj_delivery_reliability_annual,downstream_flood_exceedance_annual,0.64
hazard_filling_stationary,nj_delivery_reliability_annual,nyc_storage_min_p01_pct,0.95
hazard_filling_stationary,nj_delivery_reliability_annual,nj_delivery_reliability_annual,1.0
historic,nyc_delivery_reliability_annual,nyc_delivery_reliability_annual,1.0
historic,nyc_delivery_deficit_p99_pct,nyc_delivery_reliability_annual,0.98
historic,nyc_delivery_deficit_p99_pct,nyc_delivery_deficit_p99_pct,1.0
historic,montague_flow_reliability_annual,nyc_delivery_reliability_annual,0.165
historic,montague_flow_reliability_annual,nyc_delivery_deficit_p99_pct,0.835
historic,montague_flow_reliability_annual,montague_flow_reliability_annual,1.0
historic,montague_flow_deficit_p99_pct,nyc_delivery_reliability_annual,0.69
historic,montague_flow_deficit_p99_pct,nyc_delivery_deficit_p99_pct,1.0
historic,montague_flow_deficit_p99_pct,montague_flow_reliability_annual,1.0
historic,montague_flow_deficit_p99_pct,montague_flow_deficit_p99_pct,1.0
historic,trenton_flow_reliability_annual,nyc_delivery_reliability_annual,0.065
historic,trenton_flow_reliability_annual,nyc_delivery_deficit_p99_pct,0.085
historic,trenton_flow_reliability_annual,montague_flow_reliability_annual,0.085
historic,trenton_flow_reliability_annual,montague_flow_deficit_p99_pct,0.085
historic,trenton_flow_reliability_annual,trenton_flow_reliability_annual,0.085
historic,downstream_flood_exceedance_annual,nyc_delivery_reliability_annual,0.63
historic,downstream_flood_exceedance_annual,nyc_delivery_deficit_p99_pct,0.6
historic,downstream_flood_exceedance_annual,montague_flow_reliability_annual,0.585
historic,downstream_flood_exceedance_annual,montague_flow_deficit_p99_pct,0.585
historic,downstream_flood_exceedance_annual,trenton_flow_reliability_annual,0.01
historic,downstream_flood_exceedance_annual,downstream_flood_exceedance_annual,0.63
historic,nyc_storage_min_p01_pct,nyc_delivery_reliability_annual,0.62
historic,nyc_storage_min_p01_pct,nyc_delivery_deficit_p99_pct,0.965
historic,nyc_storage_min_p01_pct,montague_flow_reliability_annual,0.6
historic,nyc_storage_min_p01_pct,montague_flow_deficit_p99_pct,0.7
historic,nyc_storage_min_p01_pct,trenton_flow_reliability_annual,0.075
historic,nyc_storage_min_p01_pct,downstream_flood_exceedance_annual,0.465
historic,nyc_storage_min_p01_pct,nyc_storage_min_p01_pct,1.0
historic,nj_delivery_reliability_annual,nyc_delivery_reliability_annual,1.0
historic,nj_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,1.0
historic,nj_delivery_reliability_annual,montague_flow_reliability_annual,1.0
historic,nj_delivery_reliability_annual,montague_flow_deficit_p99_pct,1.0
historic,nj_delivery_reliability_annual,trenton_flow_reliability_annual,0.085
historic,nj_delivery_reliability_annual,downstream_flood_exceedance_annual,0.63
historic,nj_delivery_reliability_annual,nyc_storage_min_p01_pct,1.0
historic,nj_delivery_reliability_annual,nj_delivery_reliability_annual,1.0
