design,objective,solution_group,q05,q25,q50,q75,q95
fixed_probabilistic,downstream_flood_exceedance_annual,best,0.6196413763507836,1.0506963449092206,1.861808885005198,2.9055783907504398,4.262113074413691
fixed_probabilistic,downstream_flood_exceedance_annual,median,0.5312623982050974,0.8716807814605465,1.569361342870418,2.428338471029527,3.6891493022124857
fixed_probabilistic,montague_flow_deficit_p99_pct,best,40.5709814137714,41.023774128480525,41.85879492946657,43.915264654439326,56.04425143295689
fixed_probabilistic,montague_flow_deficit_p99_pct,median,26.527693216668226,28.78361730126992,30.522079359740356,34.67152165088677,41.59295932875244
fixed_probabilistic,montague_flow_reliability_annual,best,0.4015918367346938,0.509795918367347,0.623265306122449,0.6922448979591836,0.7652653061224488
fixed_probabilistic,montague_flow_reliability_annual,median,0.6346938775510204,0.7444897959183674,0.8444897959183674,0.9,0.940530612244898
fixed_probabilistic,nj_delivery_reliability_annual,best,0.1926122448979592,0.2777551020408163,0.3902040816326531,0.4755102040816326,0.5715102040816326
fixed_probabilistic,nj_delivery_reliability_annual,median,0.8128571428571428,0.9002040816326531,0.9571428571428572,0.9797959183673468,0.991061224489796
fixed_probabilistic,nyc_delivery_deficit_p99_pct,best,0.0286777122015848,0.0286777122015848,0.0286777122015848,3.741542288313134,62.52345704147783
fixed_probabilistic,nyc_delivery_deficit_p99_pct,median,26.111730661944364,28.121856436219083,28.54001798174245,28.938491321719283,39.23311766703433
fixed_probabilistic,nyc_delivery_reliability_annual,best,0.9656734693877552,0.9918367346938776,0.9983673469387756,1.0,1.0
fixed_probabilistic,nyc_delivery_reliability_annual,median,0.5370612244897959,0.6610204081632653,0.7808163265306123,0.8497959183673469,0.9053469387755102
fixed_probabilistic,nyc_storage_min_p01_pct,best,0.0,0.0375965576948991,12.362850774688958,19.62255306202724,24.91940476225617
fixed_probabilistic,nyc_storage_min_p01_pct,median,0.8330941915158171,10.473918024251372,18.179220168193893,22.495231974753388,25.093601052588347
fixed_probabilistic,trenton_flow_reliability_annual,best,0.5811836734693877,0.7140816326530612,0.8195918367346938,0.8751020408163265,0.9184081632653062
fixed_probabilistic,trenton_flow_reliability_annual,median,0.5386122448979592,0.6632653061224489,0.7681632653061224,0.8312244897959183,0.8848979591836734
hazard_filling_stationary,downstream_flood_exceedance_annual,best,0.7889291336932256,1.246079838419575,2.13633299637548,3.273788420248564,4.7038541576552
hazard_filling_stationary,downstream_flood_exceedance_annual,median,0.5430947071961743,0.8942148543454103,1.6089719693256983,2.4853984760374668,3.755413132192545
hazard_filling_stationary,montague_flow_deficit_p99_pct,best,2.010288452705292e-14,2.010288452705292e-14,0.3326280900241091,1.3551548695611106,11.47220063144493
hazard_filling_stationary,montague_flow_deficit_p99_pct,median,34.47901899433633,35.94839829390603,37.30869724121281,38.42519578743208,40.43819334597982
hazard_filling_stationary,montague_flow_reliability_annual,best,0.9583673469387756,0.9826530612244898,0.9922448979591836,0.996734693877551,0.998408163265306
hazard_filling_stationary,montague_flow_reliability_annual,median,0.570265306122449,0.6855102040816327,0.7940816326530612,0.858469387755102,0.9126938775510203
hazard_filling_stationary,nj_delivery_reliability_annual,best,1.0,1.0,1.0,1.0,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,median,1.0,1.0,1.0,1.0,1.0
hazard_filling_stationary,nyc_delivery_deficit_p99_pct,best,47.82739380607426,48.539082680811575,48.53908268145463,48.5390826817393,51.66273791222925
hazard_filling_stationary,nyc_delivery_deficit_p99_pct,median,28.8791473422747,29.420428512567867,29.551731530449704,29.670613578240793,31.12560200610364
hazard_filling_stationary,nyc_delivery_reliability_annual,best,0.5914285714285714,0.7083673469387755,0.8200000000000001,0.8795918367346939,0.9282040816326532
hazard_filling_stationary,nyc_delivery_reliability_annual,median,0.5846122448979592,0.701938775510204,0.8144897959183673,0.8778571428571429,0.9249591836734693
hazard_filling_stationary,nyc_storage_min_p01_pct,best,0.0,6.3195337042904,16.003014869163877,21.89328430073959,25.371128176759044
hazard_filling_stationary,nyc_storage_min_p01_pct,median,4.159763153014437,13.349154307157312,19.671205327920404,23.602461300372298,25.919543307954207
hazard_filling_stationary,trenton_flow_reliability_annual,best,0.5411428571428571,0.6626530612244897,0.7657142857142857,0.8289795918367348,0.8825714285714286
