design,gain_mean__downstream_flood_exceedance_annual,gain_mean__montague_flow_deficit_p99_pct,gain_mean__montague_flow_reliability_annual,gain_mean__nj_delivery_reliability_annual,gain_mean__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_reliability_annual,gain_mean__nyc_storage_min_p01_pct,gain_mean__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__nj_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__montague_flow_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__nj_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__nyc_delivery_reliability_annual,laplace__nyc_storage_min_p01_pct,laplace__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__montague_flow_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__nj_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__nyc_delivery_reliability_annual,maximin__nyc_storage_min_p01_pct,maximin__trenton_flow_reliability_annual,n_degraded_mean,no_harm_freq,no_harm_freq_tau,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,party_harm_freq__nj,party_harm_freq__nyc,regret_cond__downstream_flood_exceedance_annual,regret_cond__montague_flow_deficit_p99_pct,regret_cond__montague_flow_reliability_annual,regret_cond__nj_delivery_reliability_annual,regret_cond__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_reliability_annual,regret_cond__nyc_storage_min_p01_pct,regret_cond__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_mean__montague_flow_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_mean__nj_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_mean__nyc_delivery_reliability_annual,regret_mean__nyc_storage_min_p01_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__downstream_flood_exceedance_annual,regret_q90__montague_flow_deficit_p99_pct,regret_q90__montague_flow_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_q90__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_reliability_annual,regret_q90__nyc_storage_min_p01_pct,regret_q90__trenton_flow_reliability_annual,sat_multivariate_sow,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__nj_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__trenton_flow_reliability_annual
fixed_probabilistic,0.396914884533638,12.598966132826732,0.5137224489795919,0.4931591836734694,33.85423982678411,0.6206775510204082,21.62225530385784,0.1040938775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254452370247102,1.913065599995892,0.9881632653061224,1.0,1.838425905533676,0.998,34.1637932375713,0.8089551020408163,3.883337118418828,11.157885335942105,0.9355102040816328,1.0,16.89195063851263,0.9779591836734692,22.64328086441028,0.5771428571428572,1.0,0.065,1.0,0.0,0.0,0.0,0.0,0.0001881968984241,0.2872510505145463,0.0016326530612245,0.0016326530612244,0.0566786545656299,,0.0507710629182298,0.0008163265306121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,1.0,1.0,1.0,1.0,1.0,0.945,0.315
hazard_filling_stationary,0.61764188862781,12.4932504969527,0.5132285714285715,0.4931591836734694,32.76818483735208,0.6203306122448979,22.209565450465597,0.1050285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03372536615293,2.018781235869925,0.987669387755102,1.0,2.944844249922712,0.9976530612244896,34.75110338417905,0.8098897959183674,3.281283371210096,16.931630710692566,0.9363265306122448,1.0,18.51920093819877,0.9787755102040816,22.31645510596004,0.5697959183673469,1.0,0.02,1.0,0.0,0.0,0.0,0.0,0.0040064101935668,0.2810212407094064,0.0008163265306122,0.0012244897959182,0.0365015217367243,,0.0084112681915478,0.0008163265306121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,1.0,1.0,1.0,1.0,1.0,0.955,0.32
historic,0.5797570627569302,11.163159397590498,0.504130612244898,0.4931591836734694,26.91354682200943,0.6151877551020408,26.38612622899866,0.0516326530612244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0716101920238097,3.348872335232128,0.9785714285714286,1.0,12.202768398389727,0.9925102040816328,38.92766416271212,0.7564938775510204,3.4090829807365965,12.95860940802893,0.9159183673469388,1.0,18.21773673153904,0.9420408163265306,26.656649301871507,0.5240816326530612,1.31,0.005,1.0,0.0,0.0,0.0,0.0,0.0026681790915383,0.0241141299700231,0.0016326530612245,0.0008163265306121,0.9344008028791488,0.0008163265306122,0.0211306572102697,0.0010884353741496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1.0,1.0,1.0,1.0,1.0,1.0,0.085
