design,draw,seed,stringency,is_default,best,median
fixed_probabilistic,0,,0.1,False,0.97,0.63
fixed_probabilistic,0,,0.15,False,0.84,0.45
fixed_probabilistic,0,,0.2,False,0.7,0.285
fixed_probabilistic,0,,0.25,False,0.615,0.145
fixed_probabilistic,0,,0.3,False,0.53,0.045
fixed_probabilistic,0,,0.35,False,0.4,0.005
fixed_probabilistic,0,,0.4,False,0.285,0.0
fixed_probabilistic,0,,0.45,False,0.21,0.0
fixed_probabilistic,0,,0.5,False,0.105,0.0
fixed_probabilistic,0,,0.55,False,0.01,0.0
fixed_probabilistic,0,,0.6,False,0.005,0.0
fixed_probabilistic,0,,0.65,False,0.0,0.0
fixed_probabilistic,0,,0.7,False,0.0,0.0
fixed_probabilistic,0,,0.75,False,0.0,0.0
fixed_probabilistic,0,,0.8,False,0.0,0.0
fixed_probabilistic,0,,0.85,False,0.0,0.0
fixed_probabilistic,0,,0.9,False,0.0,0.0
fixed_probabilistic,0,,,True,0.0,0.0
hazard_filling_stationary,0,,0.1,False,0.97,0.65
hazard_filling_stationary,0,,0.15,False,0.855,0.46
hazard_filling_stationary,0,,0.2,False,0.745,0.275
hazard_filling_stationary,0,,0.25,False,0.65,0.1
hazard_filling_stationary,0,,0.3,False,0.58,0.02
hazard_filling_stationary,0,,0.35,False,0.475,0.0
hazard_filling_stationary,0,,0.4,False,0.34,0.0
hazard_filling_stationary,0,,0.45,False,0.28,0.0
hazard_filling_stationary,0,,0.5,False,0.175,0.0
hazard_filling_stationary,0,,0.55,False,0.065,0.0
hazard_filling_stationary,0,,0.6,False,0.025,0.0
hazard_filling_stationary,0,,0.65,False,0.0,0.0
hazard_filling_stationary,0,,0.7,False,0.0,0.0
hazard_filling_stationary,0,,0.75,False,0.0,0.0
hazard_filling_stationary,0,,0.8,False,0.0,0.0
hazard_filling_stationary,0,,0.85,False,0.0,0.0
hazard_filling_stationary,0,,0.9,False,0.0,0.0
hazard_filling_stationary,0,,,True,0.0,0.0
historic,0,,0.1,False,0.805,0.04
historic,0,,0.15,False,0.65,0.0
historic,0,,0.2,False,0.535,0.0
historic,0,,0.25,False,0.4,0.0
historic,0,,0.3,False,0.27,0.0
historic,0,,0.35,False,0.145,0.0
historic,0,,0.4,False,0.09,0.0
historic,0,,0.45,False,0.015,0.0
historic,0,,0.5,False,0.0,0.0
historic,0,,0.55,False,0.0,0.0
historic,0,,0.6,False,0.0,0.0
historic,0,,0.65,False,0.0,0.0
historic,0,,0.7,False,0.0,0.0
historic,0,,0.75,False,0.0,0.0
historic,0,,0.8,False,0.0,0.0
historic,0,,0.85,False,0.0,0.0
historic,0,,0.9,False,0.0,0.0
historic,0,,,True,0.0,0.0
