design,draw,seed,severity_axis,severity_bin,bin_lo,bin_hi,n_sow,sat_best,no_harm_best,no_harm_tau_best,regret_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual
fixed_probabilistic,0,,m,0,-0.14395559036006125,0.006286546225331848,67,0.0,0.08955223880597014,1.0,0.0,2.3637038496497786,0.0,19.094752583073856,0.0,0.051652966162548435,0.0,0.0
fixed_probabilistic,0,,m,1,0.006286546225331848,0.1491114529481629,66,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,17.691090351581504,0.0,0.09096449064697035,0.0,0.0
fixed_probabilistic,0,,m,2,0.1491114529481629,0.27589456553614033,67,0.0,0.14925373134328357,1.0,0.0,0.0,0.0,16.231173548088094,0.0,0.14243821948941007,0.12634790535653534,0.0
hazard_filling_stationary,0,,m,0,-0.14395559036006125,0.006286546225331848,67,0.0,0.05970149253731343,1.0,0.0,0.26483643783307304,0.0,19.779726457042678,0.0,0.06864821948582928,0.0,0.0
hazard_filling_stationary,0,,m,1,0.006286546225331848,0.1491114529481629,66,0.0,0.0,1.0,0.0,0.0,0.0,24.403157274562993,0.0,0.13254411908124353,0.0,0.0
hazard_filling_stationary,0,,m,2,0.1491114529481629,0.27589456553614033,67,0.0,0.0,1.0,0.0,0.0,0.0,23.59463668829298,0.0,0.19305619026025603,0.030781911415207447,0.0
historic,0,,m,0,-0.14395559036006125,0.006286546225331848,67,0.0,0.014925373134328358,1.0,0.0836673773987207,3.6651249511596484,0.023527261650929034,19.888958304240912,0.03987816021931161,0.0,0.0,0.0
historic,0,,m,1,0.006286546225331848,0.1491114529481629,66,0.0,0.0,1.0,0.12389610389610388,3.725224719765176,0.03600494743351887,24.746370034044133,0.034174397031539884,0.0,0.0,0.0
historic,0,,m,2,0.1491114529481629,0.27589456553614033,67,0.0,0.0,1.0,0.14312519037465735,3.645827766927367,0.038598842522083454,25.477218676015706,0.025172098690222362,0.0,0.0,0.0
