,nyc_delivery_reliability_annual,nyc_delivery_deficit_p99_pct,montague_flow_reliability_annual,montague_flow_deficit_p99_pct,trenton_flow_reliability_annual,downstream_flood_days_annual,nyc_storage_min_p01_pct
nyc_delivery_reliability_annual,1.0,-0.085801523937387,0.549956369982548,0.21254387655555768,0.4915354733305293,0.5996565720028284,0.4742095673888249
nyc_delivery_deficit_p99_pct,-0.085801523937387,1.0,-0.012630681188752402,0.12173913043478261,0.1970655061299282,0.09005679029880796,0.09646318257418963
montague_flow_reliability_annual,0.549956369982548,-0.012630681188752402,1.0,-0.09886774585678605,0.2508464949251938,0.2832448631031059,0.12928921224091547
montague_flow_deficit_p99_pct,0.21254387655555768,0.12173913043478261,-0.09886774585678605,1.0,-0.328442510216547,0.028253110681978968,0.053590656985660914
trenton_flow_reliability_annual,0.4915354733305293,0.1970655061299282,0.2508464949251938,-0.328442510216547,1.0,0.36839782545789895,0.33554978828054743
downstream_flood_days_annual,0.5996565720028284,0.09005679029880796,0.2832448631031059,0.028253110681978968,0.36839782545789895,1.0,0.5427703538723855
nyc_storage_min_p01_pct,0.4742095673888249,0.09646318257418963,0.12928921224091547,0.053590656985660914,0.33554978828054743,0.5427703538723855,1.0
