solution_id,sowmean__nyc_delivery_reliability_annual,sowmean__nyc_delivery_deficit_p99_pct,sowmean__montague_flow_reliability_annual,sowmean__montague_flow_deficit_p99_pct,sowmean__trenton_flow_reliability_annual,sowmean__downstream_flood_exceedance_annual,sowmean__nyc_storage_min_p01_pct,sowmean__nj_delivery_reliability_annual
0,0.9930122448979598,10.511602568015327,0.601326530612245,43.814716368218505,0.7864816326530608,2.077038170361103,11.368473741900646,0.38021224489795935
1,0.7354326530612241,19.812407628838834,0.7632734693877551,41.82783292189466,0.7387306122448983,1.5371137648512616,19.46099605431761,0.7059020408163269
2,0.8487020408163268,29.272418683628835,0.8654938775510206,36.93828165313741,0.7392693877551024,2.311568643531062,19.13705527444516,1.0
3,0.6174775510204082,19.954562066396164,0.7087020408163265,38.523950491977246,0.7945673469387751,2.12984897906704,17.305146736085536,0.6711795918367351
4,0.7353632653061228,29.813886975231497,0.6151469387755106,40.51887542048628,0.7013551020408161,1.6814359954811193,24.54127597633445,1.0
5,0.9276326530612238,18.21189130051257,0.677469387755102,32.88969314619173,0.7198897959183672,2.364501520100079,10.94763209399691,0.9182897959183671
6,0.5630000000000003,49.01265013488068,0.6858897959183677,27.2878719188203,0.7117142857142855,1.4977181918538427,26.84046133011244,0.5436571428571428
7,0.8909510204081625,12.777219849533417,0.9027183673469384,39.83636310967387,0.7230326530612241,2.376351071622678,11.498260660920103,0.8757999999999998
8,0.7171469387755103,19.96121525123523,0.7489959183673467,41.956195738928436,0.7145387755102047,1.4821852322076345,18.63115240840941,1.0
9,0.555677551020408,49.42609826071989,0.6132897959183677,37.367629579084124,0.7349224489795918,1.5638469719834165,32.82490809770682,0.5637265306122451
10,0.8772408163265311,23.586962545644365,0.7748816326530613,41.054758171482774,0.7312285714285716,1.653341792968574,18.90497869511624,1.0
11,0.9252530612244899,11.599372169513117,0.7846612244897966,38.4539010783554,0.7240612244897962,2.3693136749357926,14.515309174941912,0.9143632653061221
12,0.6694040816326527,49.05931928228495,0.8647918367346941,35.48733656125862,0.7960612244897957,2.0591757722054296,22.402409596227255,1.0
13,0.7406244897959183,24.802227279321173,0.7967551020408168,37.1325176159908,0.790848979591837,2.140069083391113,18.301885737342914,1.0
14,0.8496857142857143,30.755038915137604,0.9257714285714287,20.722630402619007,0.7442530612244898,2.3182091815309502,11.098193086364235,0.9043183673469389
15,0.8555306122448986,23.97197204544201,0.5682489795918366,20.37131345810736,0.7421428571428572,2.3183583852476524,12.214851233537168,0.8692040816326535
16,0.7114081632653064,45.33503253111703,0.9635673469387757,6.2491455041142645,0.7889510204081635,1.557787386074015,10.702897511319952,1.0
17,0.8458122448979593,24.936150913210746,0.6092734693877554,28.950428311949196,0.7158326530612247,2.360457356918744,20.55935279761739,0.8229755102040819
18,0.8346367346938779,25.323196232183022,0.4454367346938777,28.106743958927968,0.6901183673469388,2.4145392343889114,21.967799898785835,0.9409877551020415
19,0.5878816326530613,39.795604908039515,0.8573102040816327,27.34997814246484,0.7728734693877551,1.3288981360253684,17.873813764236143,1.0
20,0.7264897959183669,19.935469332285557,0.8373551020408159,36.288591755735624,0.7310979591836734,1.4587331226563192,14.111157636058433,0.8633469387755106
21,0.9930489795918374,11.654515761470067,0.8115510204081632,36.96427366611171,0.7349918367346944,2.318045891220689,10.642722616602475,1.0
22,0.7896857142857147,42.449928759691346,0.9558489795918368,20.298163539581587,0.7524122448979595,2.3278185938155866,17.990383824216625,1.0
23,0.9184326530612248,13.258023449931425,0.8229387755102046,40.77837158741002,0.7329591836734696,1.6621083675028752,8.749127515909372,0.9099306122448978
24,0.7713632653061224,39.76590340507521,0.9441265306122449,31.672818894208152,0.7507142857142857,2.3023182815893195,21.7458500612923,0.9217795918367346
25,0.6936081632653063,48.86192166258088,0.7487102040816329,7.996589165332136,0.7457428571428574,1.6814370399036085,15.348446741341741,1.0
26,0.8943387755102045,30.805965088376087,0.46617142857142874,20.441820496728646,0.718877551020408,2.371092054892766,13.481897803752537,0.8954122448979589
27,0.8583265306122456,23.508480588629883,0.7733551020408167,30.89485619699097,0.7379836734693876,1.6550315885741205,10.084955663244688,0.8403306122448981
28,0.8480938775510203,32.8110307254271,0.9251632653061221,16.224668019710776,0.7456775510204079,2.317093386403623,9.667154942926327,0.9025142857142859
29,0.6812122448979592,39.12990559673071,0.7795387755102037,26.18445506585349,0.7297795918367346,2.3197211289502073,24.064453988475403,0.703330612244898
30,0.932636734693877,11.373726246100373,0.7094040816326532,39.320976184299504,0.6924326530612243,1.68811832972849,12.0204649764438,1.0
31,0.872681632653061,16.808749826856825,0.8930530612244898,35.39318043395343,0.7468367346938775,2.3061422367057727,9.570928148347388,1.0
32,0.7456040816326529,19.947603563800193,0.7724163265306129,29.52774192779108,0.7247877551020407,2.2588691870896422,17.263404676101445,0.9230571428571429
33,0.7908612244897968,31.5186084123147,0.8771795918367347,27.439602184233834,0.7567632653061221,1.6204253921098215,10.880721820991987,1.0
34,0.7964897959183674,22.19461366600301,0.6326693877551017,39.45697781578884,0.7845795918367345,1.6465877208192494,13.909386815209498,0.7876938775510207
35,0.6071918367346938,27.16311357333724,0.6758816326530611,17.01585211372945,0.7381265306122452,2.340005940426191,17.44852826788147,0.8998734693877555
36,0.7069142857142856,39.90197626155319,0.8111836734693877,18.426237787089573,0.7451632653061223,2.321412930278291,20.93212103885315,0.7522408163265305
37,0.8986285714285716,25.437776630692692,0.6069836734693876,30.867884946789278,0.6778775510204079,1.7198685456891716,10.427318666819025,0.9313102040816327
38,0.8413265306122445,28.071755399778123,0.9204285714285712,33.44867425312372,0.7328816326530613,2.211987084594232,14.38729397566616,0.8992489795918367
39,0.7704693877551017,49.467280529929575,0.8706612244897959,33.09997762085105,0.7454938775510209,2.3794096034211054,27.281620470509257,0.748314285714286
40,0.8616204081632656,26.24169052519303,0.7811673469387759,36.32814857959092,0.7473142857142857,1.6852149548832864,16.99122593724578,0.8407020408163269
41,0.5856244897959183,22.441843602123814,0.7900163265306119,18.68552544874544,0.7520693877551022,2.324105129072501,13.551346576940377,0.8024000000000003
42,0.5808489795918365,27.05445083447304,0.8296857142857148,24.019558786933704,0.7932571428571427,1.6045346924830621,8.474276682959252,0.768195918367347
43,0.7517020408163269,28.819680663092054,0.9346612244897952,24.21489239100699,0.7417673469387758,2.316460702001501,13.952566374886018,0.9121551020408164
44,0.8482326530612244,21.121698105747615,0.9429551020408168,29.141892118976358,0.7453224489795918,2.345316687941798,12.060626465621128,1.0
45,0.695191836734694,47.57931933141168,0.8653714285714288,39.487063598216025,0.7386489795918366,2.387784597257346,28.008096934639585,1.0
46,0.6159102040816327,42.77815962151726,0.9659755102040826,11.113319235017288,0.7993306122448974,2.162193377161961,15.433909571859306,0.954779591836735
47,0.8437142857142852,36.51434067096832,0.9703959183673472,10.936893909291452,0.7591755102040812,2.313552310783797,8.068742531808265,0.8239265306122452
48,0.924008163265306,18.197657789039027,0.6049714285714286,29.014302742470985,0.7195755102040817,2.349651876271505,17.081302706433817,1.0
49,0.7666489795918366,38.07089023001358,0.966816326530613,15.25729232676443,0.7618448979591834,2.267783414393911,15.631710949718581,0.9570204081632662
50,0.9349061224489792,16.95477139484477,0.7630204081632648,33.619658812770325,0.7265224489795918,2.3820883822760504,9.929900359173557,0.929048979591837
51,0.7332204081632654,33.85435018578003,0.9203795918367352,14.910778106346667,0.7529265306122448,1.6731301305238173,7.866024499970027,0.894326530612245
52,0.7315387755102039,45.269073164630235,0.9598734693877544,5.251675127890628,0.7591102040816325,1.6871488395375653,11.898397454852201,1.0
53,0.7071469387755104,38.372848009608234,0.9627183673469392,16.591293844177844,0.799212244897959,2.083833327967514,16.344723936311574,0.9529795918367348
54,0.7012612244897959,27.76457218162035,0.7393061224489798,25.27409583590882,0.7367469387755102,1.6740571969063172,15.161321086529004,1.0
55,0.7126938775510208,46.541253992422455,0.8994163265306124,25.923587686715386,0.7903836734693879,2.135094494991981,21.67626676135689,0.8531183673469385
56,0.8349265306122446,39.13851428574527,0.9714285714285712,12.882116798993955,0.7961510204081634,2.1565766109879596,7.319093622778947,0.8131020408163261
57,0.7094653061224493,37.328124276120654,0.8714081632653061,37.54862878490659,0.7394612244897958,1.656586141094021,21.590104437565675,0.8344979591836734
58,0.7923224489795918,30.44600800301911,0.8256857142857131,19.911278359953002,0.728657142857143,2.3448255315765376,13.310927121623912,0.8920775510204081
59,0.7791918367346937,22.403829793990262,0.8365591836734702,40.48653783572044,0.7877632653061225,1.632046117544344,10.803407869071368,1.0
60,0.656938775510204,48.86210164213013,0.8811020408163265,39.4048066792936,0.7418612244897961,1.6570916565772813,27.2844730092107,0.8488081632653057
61,0.9847755102040824,21.733624841337456,0.903946938775511,37.630516646175536,0.7977918367346938,2.1103861943906144,5.4810209411860695,0.8662571428571424
62,0.6643591836734691,26.70460067292668,0.8638612244897952,19.83390157683358,0.7483142857142863,1.663169754642751,8.546142176611449,0.83265306122449
63,0.6546122448979594,45.6299585295032,0.7330204081632655,17.365183701532235,0.7335387755102041,2.325415624106449,24.624886514469278,0.955759183673469
64,0.8114081632653061,27.46866359830553,0.9378163265306125,28.958381009701085,0.7552530612244898,2.2923782470636804,13.515331684825458,1.0
65,0.8156122448979596,29.3355732509272,0.7603306122448984,36.82600238217692,0.7937061224489796,2.0508141099854615,15.417191539928393,1.0
66,0.8190734693877552,23.8140752169204,0.7028489795918371,28.214052225557708,0.721616326530612,1.5944312985438278,10.793279639009217,1.0
67,0.7422571428571426,48.44059378614524,0.8687673469387753,18.560177124492142,0.7481387755102046,2.360022807261533,21.81040268662478,1.0
68,0.7737510204081629,36.02918915697461,0.8255428571428571,16.83308237546406,0.800330612244898,1.575992537819852,7.013796257194009,1.0
69,0.9931877551020414,10.829951892982878,0.8230285714285717,43.29796698714121,0.7375591836734692,1.5251928763587075,9.578016807891533,0.7912163265306127
70,0.6400448979591836,39.3950547326456,0.8350448979591836,18.711070264775586,0.7433510204081635,2.3022186893218715,19.88067107191089,0.9523183673469389
71,0.6811020408163263,39.032367160218406,0.9465102040816328,13.004184833835449,0.8083265306122454,1.6646240974604165,12.774302869427554,0.6453959183673466
72,0.8357510204081635,19.86999898104297,0.7652897959183672,40.85293595487732,0.788559183673469,2.1051732628254127,15.382332478348042,0.8225836734693879
73,0.5994489795918372,29.677563702046015,0.9244653061224491,20.6437253023436,0.7311142857142854,1.6877674205750066,13.770128775069544,0.5618163265306122
74,0.6128367346938771,46.91420999094551,0.8230408163265307,18.129791955770145,0.7406285714285714,2.3113123204545545,22.728573265097268,1.0
75,0.8891469387755099,22.42553909303031,0.5227714285714287,30.53033219973615,0.7348040816326528,1.6592885776055304,12.993988003998627,0.8777795918367346
76,0.9896571428571432,16.649621784124225,0.8206122448979596,35.5718232117497,0.7403959183673472,1.5423293711057675,7.047057707647339,1.0
77,0.9909061224489798,14.960973287864258,0.6526163265306119,32.287951872877734,0.7098244897959186,2.3027644562595087,10.787997806510548,1.0
78,0.9927428571428578,11.788283410306095,0.7856571428571425,39.760382239235554,0.7334408163265301,1.6824295938187288,8.953565278647003,0.5716530612244898
79,0.6131714285714286,21.470363701800835,0.7074816326530613,27.63893612625261,0.7981795918367343,2.1253217154959754,13.72002731134075,0.6705428571428571
80,0.6936979591836736,44.57958439074744,0.968408163265307,12.086468527238434,0.7991224489795917,2.1469788712004596,16.385134662709437,0.9578448979591846
81,0.7308979591836734,26.90598319437866,0.9209224489795919,33.13102302199399,0.7174816326530616,1.5044167881413686,12.555771621277092,0.8983714285714289
82,0.7303102040816324,48.94880909516347,0.8457265306122447,40.29312885880015,0.7479346938775511,1.6466863539542167,26.788709523351486,0.7988775510204077
83,0.7414244897959186,42.05989811323986,0.9823265306122454,5.661071945595027,0.740730612244898,1.6661662849284826,10.665026147268787,0.9124326530612241
84,0.8581755102040819,19.6729699328215,0.7766367346938782,36.839911395724776,0.7397020408163262,1.668193313795187,14.229086814596371,0.8385061224489797
85,0.7489020408163257,39.17285407188197,0.7741428571428568,26.92269946572823,0.7404530612244896,2.366042774657798,24.24123618207057,0.7201142857142857
86,0.8023959183673466,39.2144931981745,0.8263795918367346,39.10812773437099,0.740595918367347,2.383880029732049,27.20231259033112,0.7828448979591837
87,0.7888693877551021,43.40857626628318,0.9651306122448985,14.971555202264176,0.7472612244897959,2.3685744963627595,18.075569384643114,0.763297959183674
88,0.691795918367347,21.750996224526816,0.8776,38.98830029816067,0.7969224489795921,2.085680582514881,12.604936128566822,1.0
89,0.7862,27.655964413446824,0.8859469387755099,20.192932721882247,0.752591836734694,2.2876728331422025,9.202627683160681,0.8537795918367346
90,0.7736775510204086,19.924213155287568,0.631391836734694,40.10488170926618,0.7171551020408162,1.5195730779229644,19.95059374135461,1.0
91,0.9899346938775515,16.202894089764925,0.889073469387755,37.410256825428434,0.7466204081632652,2.291720619346708,7.989956085423467,1.0
92,0.872714285714286,20.19645073794913,0.6169510204081632,28.938385583582154,0.6837714285714285,2.3803401152731847,17.84610247411004,1.0
93,0.7213224489795919,26.77176362755366,0.7518979591836741,38.50326655162914,0.7295959183673468,2.3403628209319858,24.79041771409011,0.9409142857142853
94,0.7062408163265305,39.89199395542584,0.847044897959183,40.37984727719706,0.7996204081632654,2.042276123518323,23.258522024416564,0.6706938775510204
95,0.708710204081633,39.60866415195568,0.7733714285714286,7.412563318597173,0.7483632653061225,2.3266982710660447,16.08719055840181,0.7330163265306122
96,0.7673142857142851,39.80059690285341,0.967134693877551,14.87517269737018,0.7879428571428572,1.636444994080191,5.732569025813883,0.7605061224489793
97,0.6989755102040818,49.531560664398654,0.8254,33.80183466373158,0.7433469387755096,1.569875134156015,26.65785550280576,0.6779306122448979
98,0.9879795918367357,17.5192323898919,0.8455346938775512,43.63142101055505,0.7888775510204078,2.090422373720533,7.804228902807782,1.0
99,0.7020734693877546,25.157903552994085,0.9338489795918369,23.032353359820586,0.793542857142858,2.1457484386651435,9.39471171074962,1.0
100,0.8265020408163274,20.317277789630797,0.8482081632653063,37.55208708448485,0.7376938775510208,1.661570946023997,13.441787269532773,0.80329387755102
101,0.9916816326530621,13.541579317120684,0.7844530612244899,37.47579676588723,0.7358734693877554,1.682067237483487,8.158801242856908,0.5919591836734691
102,0.993448979591837,10.686966666422748,0.8981510204081637,41.04986683826624,0.7385346938775506,2.3437472795375576,9.903977479282048,1.0
103,0.9900040816326532,14.956393482329343,0.7218489795918369,44.47968728764467,0.7867306122448978,1.6754895222212804,9.089755184463469,1.0
104,0.7975836734693875,38.22554917062931,0.9142244897959186,16.508915342528375,0.7530489795918366,2.323548988914718,16.234617456067518,0.8875265306122447
105,0.7268326530612244,16.812477517719415,0.778604081632653,42.587285055954915,0.7849836734693869,1.5250238165288088,9.820283100188572,0.54489387755102
106,0.5947265306122445,38.28900528987082,0.6949551020408166,39.681307576643775,0.6940000000000002,1.7811742988618888,32.621261568792924,0.9299673469387755
107,0.6288367346938777,26.00157955057333,0.811232653061224,24.780409810444965,0.7907836734693879,1.5797040028407259,8.453014228817452,1.0
108,0.6965836734693877,30.339562227571665,0.8946612244897959,17.40452500538256,0.7462653061224489,2.317449467157489,13.907305074054877,1.0
109,0.8834693877551016,11.902292079036116,0.7594285714285711,37.98538571289238,0.732914285714286,2.326772629993697,14.254858858988623,1.0
110,0.7965469387755103,26.411931537459523,0.8961306122448979,24.733671725598914,0.7585428571428571,1.6756813163365758,8.030204532816299,0.8601061224489794
111,0.6622612244897955,21.250631608409453,0.8833714285714287,29.87029869265033,0.7911510204081632,2.085073474954014,13.093874384877894,1.0
