solution_id,sat_multivariate_sow,sat_uni_sow__nyc_delivery_reliability_annual,sat_uni_sow__nyc_delivery_deficit_p99_pct,sat_uni_sow__montague_flow_reliability_annual,sat_uni_sow__montague_flow_deficit_p99_pct,sat_uni_sow__trenton_flow_reliability_annual,sat_uni_sow__downstream_flood_exceedance_annual,sat_uni_sow__nyc_storage_min_p01_pct,sat_uni_sow__nj_delivery_reliability_annual,laplace__nyc_delivery_reliability_annual,laplace__nyc_delivery_deficit_p99_pct,laplace__montague_flow_reliability_annual,laplace__montague_flow_deficit_p99_pct,laplace__trenton_flow_reliability_annual,laplace__downstream_flood_exceedance_annual,laplace__nyc_storage_min_p01_pct,laplace__nj_delivery_reliability_annual,maximin__nyc_delivery_reliability_annual,maximin__nyc_delivery_deficit_p99_pct,maximin__montague_flow_reliability_annual,maximin__montague_flow_deficit_p99_pct,maximin__trenton_flow_reliability_annual,maximin__downstream_flood_exceedance_annual,maximin__nyc_storage_min_p01_pct,maximin__nj_delivery_reliability_annual,regret_mean__nyc_delivery_reliability_annual,regret_q90__nyc_delivery_reliability_annual,regret_cond__nyc_delivery_reliability_annual,gain_mean__nyc_delivery_reliability_annual,regret_mean__nyc_delivery_deficit_p99_pct,regret_q90__nyc_delivery_deficit_p99_pct,regret_cond__nyc_delivery_deficit_p99_pct,gain_mean__nyc_delivery_deficit_p99_pct,regret_mean__montague_flow_reliability_annual,regret_q90__montague_flow_reliability_annual,regret_cond__montague_flow_reliability_annual,gain_mean__montague_flow_reliability_annual,regret_mean__montague_flow_deficit_p99_pct,regret_q90__montague_flow_deficit_p99_pct,regret_cond__montague_flow_deficit_p99_pct,gain_mean__montague_flow_deficit_p99_pct,regret_mean__trenton_flow_reliability_annual,regret_q90__trenton_flow_reliability_annual,regret_cond__trenton_flow_reliability_annual,gain_mean__trenton_flow_reliability_annual,regret_mean__downstream_flood_exceedance_annual,regret_q90__downstream_flood_exceedance_annual,regret_cond__downstream_flood_exceedance_annual,gain_mean__downstream_flood_exceedance_annual,regret_mean__nyc_storage_min_p01_pct,regret_q90__nyc_storage_min_p01_pct,regret_cond__nyc_storage_min_p01_pct,gain_mean__nyc_storage_min_p01_pct,regret_mean__nj_delivery_reliability_annual,regret_q90__nj_delivery_reliability_annual,regret_cond__nj_delivery_reliability_annual,gain_mean__nj_delivery_reliability_annual,harm_freq__nyc_delivery_reliability_annual,harm_freq__nyc_delivery_deficit_p99_pct,harm_freq__montague_flow_reliability_annual,harm_freq__montague_flow_deficit_p99_pct,harm_freq__trenton_flow_reliability_annual,harm_freq__downstream_flood_exceedance_annual,harm_freq__nyc_storage_min_p01_pct,harm_freq__nj_delivery_reliability_annual,party_harm_freq__nyc,party_harm_freq__nj,party_harm_freq__downstream_flow,party_harm_freq__flood_exposed,no_harm_freq,no_harm_freq_tau,n_degraded_mean
0,0.0,1.0,0.895,0.015,0.0,0.27,0.31,0.01,0.0,0.9930122448979591,10.51160256801531,0.6013265306122448,43.81471636821853,0.7864816326530613,2.077038170361102,11.368473741900644,0.3802122448979592,0.9387755102040817,82.3448372690989,0.35183673469387755,64.7654645048045,0.5004081632653061,5.815688802584397,0.0,0.15346938775510205,0.0,0.0,,0.6156897959183673,2.8336520937485816,10.129277703708677,19.54242823274884,27.82976259922707,0.0,0.0,,0.1268857142857143,29.30268463539589,30.03082010059226,29.30268463539589,0.0,0.0,0.0,,0.08162040816326531,0.42567091558036213,0.6771699834911028,0.42567091558036213,0.0,1.965040406812326,5.95486269364743,3.477947622676683,0.7919762149995094,0.12662857142857142,0.15926530612244894,0.12662857142857142,0.0,0.0,0.145,0.0,1.0,0.0,1.0,0.565,1.0,0.635,1.0,1.0,1.0,0.0,0.0,3.71
1,0.0,0.74,1.0,0.49,0.0,0.08,0.44,0.21,0.46,0.7354326530612245,19.81240762883886,0.7632734693877552,41.827832921894675,0.7387306122448979,1.5371137648512627,19.46099605431761,0.7059020408163265,0.4530612244897959,19.81240762984123,0.4946938775510204,47.72922780999915,0.44979591836734695,4.647206734572117,0.57055773524434,0.4138775510204082,0.0,0.0,,0.35811020408163263,0.0,0.0,,15.695305444654942,0.0,0.0,,0.2888326530612245,27.315801189072047,28.77321240985343,27.315801189072047,0.0,0.0,0.0,,0.033869387755102044,0.0,0.0,,0.11425348992947745,0.0,0.0,,6.919458120604149,0.0,0.0,,0.1990612244897959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,0.0,0.98,1.0,0.805,0.01,0.085,0.215,0.0,1.0,0.8487020408163265,29.27241868362883,0.8654938775510205,36.938281653137416,0.739269387755102,2.311568643531064,19.137055274445146,1.0,0.6122448979591837,29.352801315660532,0.6448979591836734,43.79307199961413,0.4546938775510204,6.261425270129741,2.364454051523211,1.0,0.0,0.0,,0.47137959183673467,0.0,0.0,,6.235294389864968,0.0,0.0,,0.3910530612244898,22.426249920314795,24.124460322126637,22.426249920314795,0.0,0.0,0.0,,0.03440816326530613,0.6602013887503237,1.0285159741101748,0.6602013887503237,0.0,0.041447627582621396,0.0,1.0361906895655348,6.6369649683143095,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.04,0.0,1.0,1.0,0.0,0.015,2.04
3,0.0,0.47,1.0,0.285,0.0,0.275,0.305,0.175,0.355,0.6174775510204082,19.954562066396182,0.7087020408163265,38.523950491977246,0.7945673469387754,2.129848979067041,17.30514673608554,0.6711795918367346,0.3395918367346939,27.939256991067055,0.46040816326530615,43.92878833726577,0.516734693877551,5.928121145339982,0.0,0.39102040816326533,0.0,0.0,,0.24015510204081633,0.0,0.0,,15.553151007097613,0.0,0.0,,0.23426122448979594,24.011918759154614,25.941782259221952,24.011918759154614,0.0,0.0,0.0,,0.08970612244897959,0.47848172428630115,0.7602590096688585,0.47848172428630115,0.0,0.001643002069172934,0.0,0.1643002069172934,4.7652518044412515,0.0,0.0,,0.1643387755102041,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.0,0.01,0.0,1.0,1.0,0.0,0.01,2.01
4,0.0,0.725,1.0,0.07,0.0,0.075,0.42,0.56,1.0,0.7353632653061226,29.813886975231476,0.6151469387755103,40.51887542048628,0.7013551020408164,1.6814359954811187,24.541275976334436,1.0,0.4636734693877551,29.81388697644244,0.3142857142857143,44.653475388189946,0.3730612244897959,4.991673057041514,8.578589524549427,1.0,0.0,0.0,,0.35804081632653056,0.0,0.0,,5.693826098262321,0.0,0.0,,0.1407061224489796,26.00684368766365,28.09110328687728,26.00684368766365,0.0,0.010795918367346941,0.03428571428571426,0.020761381475667195,0.007289795918367347,0.03037305246475349,0.060841024181806785,0.03265919619865967,0.00030431176437496874,0.0,0.0,,11.999738042620978,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.52,0.93,0.0,0.0,0.0,0.0,1.0,0.93,0.0,0.005,2.45
5,0.0,1.0,0.865,0.17,0.0,0.055,0.195,0.02,0.985,0.9276326530612243,18.211891300512576,0.677469387755102,32.88969314619173,0.7198897959183674,2.36450152010008,10.947632093996909,0.9182897959183675,0.726530612244898,77.83129226158036,0.41306122448979593,60.0534060185987,0.43755102040816324,6.391278216868498,0.0,0.710204081632653,0.0,0.0,,0.5503102040816327,3.570981418825875,17.931355458283424,19.838785660143753,20.866803191807097,0.0,0.0,,0.20302857142857142,18.37766141336911,23.414875174551533,18.37766141336911,0.0,2.0408163265306366e-05,0.0,0.0020408163265306367,0.015048979591836735,0.7131342653193401,1.1217554962028249,0.7131342653193401,0.0,2.0609792019885917,6.218372288291703,3.4638305915774654,0.46707336227204016,0.0,0.0,,0.4114489795918368,0.0,0.18,0.0,1.0,0.01,1.0,0.595,0.0,0.675,0.0,1.0,1.0,0.0,0.0,2.785
6,0.0,0.3,0.0,0.235,0.535,0.07,0.455,0.68,0.055,0.563,49.01265013488068,0.6858897959183673,27.28787191882031,0.7117142857142857,1.4977181918538434,26.84046133011244,0.543657142857143,0.2693877551020408,49.01265013764954,0.39591836734693875,33.577356897568414,0.39346938775510204,4.553773253131603,12.550550580078102,0.2522448979591837,0.0,0.0,,0.18567755102040814,13.51547499621913,14.012650133473608,13.651994945675888,0.01053793483224922,0.0,0.0,,0.21144897959183673,12.78421720723266,14.789190222367019,12.913350714376424,0.008377021234971114,0.000991836734693878,0.004081632653061223,0.006198979591836738,0.007844897959183673,0.0,0.0,,0.15364906292689665,0.0,0.0,,14.298923396398978,0.0,0.0,,0.03681632653061225,0.0,0.99,0.0,0.99,0.16,0.0,0.0,0.0,0.99,0.0,0.995,0.0,0.0,0.03,2.14
7,0.0,1.0,0.97,0.885,0.045,0.055,0.19,0.0,0.905,0.8909510204081633,12.777219849533422,0.9027183673469388,39.83636310967388,0.7230326530612246,2.3763510716226777,11.498260660920094,0.8758,0.6669387755102041,58.545718629810374,0.7004081632653061,53.732957585126755,0.4424489795918367,6.404906279759132,0.0,0.6440816326530612,0.0,0.0,,0.5136285714285715,0.40598281029323685,0.0,9.021840228738597,23.13647603425361,0.0,0.0,,0.4282775510204082,25.36940904176417,28.525077987002934,25.625665698751686,0.045077664912906164,8.163265306122547e-06,0.0,0.0016326530612245094,0.018179591836734694,0.724983816841938,1.1294946604594176,0.724983816841938,0.0,1.528463192775118,4.5068525326365325,2.426132052023997,0.48518591998175126,0.0,0.0,,0.36895918367346936,0.0,0.045,0.0,0.99,0.005,1.0,0.63,0.0,0.665,0.0,0.99,1.0,0.0,0.0,2.67
8,0.0,0.72,1.0,0.43,0.0,0.065,0.455,0.1,1.0,0.7171469387755102,19.961215251235227,0.7489959183673469,41.95619573892843,0.7145387755102042,1.4821852322076357,18.63115240840941,1.0,0.4293877551020408,19.9698906380009,0.4726530612244898,47.81239883363454,0.4057142857142857,4.498788558941948,0.9717887890057548,1.0,0.0,0.0,,0.3398244897959184,0.0,0.0,,15.546497822258571,0.0,0.0,,0.27455510204081635,27.444164006105808,29.582746215878952,27.444164006105808,0.0,0.0006040816326530616,0.0,0.006358754027926963,0.010281632653061222,0.0,0.0,,0.16918202257310452,0.004010664334591194,0.0,0.2673776223060796,6.0936251390305385,0.0,0.0,,0.4931591836734694,0.0,0.0,0.0,1.0,0.095,0.0,0.015,0.0,0.015,0.0,1.0,0.0,0.0,0.0,1.11
9,0.0,0.265,0.0,0.06,0.0,0.09,0.435,0.89,0.07,0.5556775510204082,49.42609826071989,0.6132897959183673,37.36762957908413,0.7349224489795918,1.5638469719834172,32.82490809770681,0.5637265306122449,0.27183673469387754,49.42609826246591,0.33387755102040817,39.68233407837875,0.44,4.728032184299217,19.768313940172693,0.27918367346938777,0.0,0.0,,0.17835510204081634,13.926438335332946,14.426098258939472,13.996420437520548,0.008053148106858395,0.0,0.0,,0.13884897959183673,22.855597846261507,25.66265945919097,22.855597846261507,0.0,0.0,0.0,,0.030061224489795917,0.0,0.0,,0.08752028279732307,0.0,0.0,,20.283370163993347,0.0,0.0,,0.05688571428571429,0.0,0.995,0.0,1.0,0.0,0.0,0.0,0.0,0.995,0.0,1.0,0.0,0.0,0.015,1.995
