design,objective,k,shipped_k,frac_low,frac_high,saturation_frac,pop_median,pop_iqr,baseline_value,tau_vs_shipped
fixed_probabilistic,nyc_delivery_reliability_annual,1,3,0.005859375,0.0,0.005859375,0.22166666666666668,0.13444444444444442,0.2966666666666667,0.9651401993136172
fixed_probabilistic,nyc_delivery_reliability_annual,2,3,0.001953125,0.0,0.001953125,0.23333333333333334,0.13777777777777778,0.30444444444444446,0.9738220435305645
fixed_probabilistic,nyc_delivery_reliability_annual,3,3,0.0,0.0,0.0,0.24944444444444444,0.14333333333333334,0.32222222222222224,0.9999999999999999
fixed_probabilistic,nyc_delivery_reliability_annual,4,3,0.0,0.0,0.0,0.2661111111111111,0.15138888888888888,0.34444444444444444,0.9725711809104196
fixed_probabilistic,montague_flow_reliability_annual,1,3,0.0,0.0,0.0,0.33,0.13694444444444442,0.36444444444444446,0.86320309966505
fixed_probabilistic,montague_flow_reliability_annual,2,3,0.0,0.0,0.0,0.3783333333333333,0.13055555555555554,0.3988888888888889,0.9283966955093735
fixed_probabilistic,montague_flow_reliability_annual,3,3,0.0,0.0,0.0,0.42666666666666664,0.13777777777777783,0.44555555555555554,1.0
fixed_probabilistic,montague_flow_reliability_annual,4,3,0.0,0.0,0.0,0.4766666666666667,0.13777777777777778,0.47888888888888886,0.9272951772031006
fixed_probabilistic,trenton_flow_reliability_annual,1,1,0.0,0.0,0.0,0.7733333333333333,0.036666666666666625,0.7777777777777778,0.9999999999999999
fixed_probabilistic,trenton_flow_reliability_annual,2,1,0.0,0.0,0.0,0.8866666666666667,0.028888888888888853,0.8922222222222222,0.8370434655839512
fixed_probabilistic,trenton_flow_reliability_annual,3,1,0.0,0.46875,0.46875,0.9477777777777778,0.02111111111111108,0.9522222222222222,0.803644204899829
fixed_probabilistic,trenton_flow_reliability_annual,4,1,0.0,0.97265625,0.97265625,0.9755555555555555,0.012222222222222245,0.98,0.7663744409219274
fixed_probabilistic,nj_delivery_reliability_annual,1,1,0.0,0.0,0.0,0.4261111111111111,0.23138888888888887,0.4711111111111111,1.0
fixed_probabilistic,nj_delivery_reliability_annual,2,1,0.0,0.0,0.0,0.4411111111111111,0.22694444444444445,0.4766666666666667,0.9805333328945166
fixed_probabilistic,nj_delivery_reliability_annual,3,1,0.0,0.0,0.0,0.46611111111111114,0.2236111111111111,0.4955555555555556,0.9649517891526488
fixed_probabilistic,nj_delivery_reliability_annual,4,1,0.0,0.0,0.0,0.4922222222222222,0.21583333333333338,0.5255555555555556,0.9498937209238392
hazard_filling_stationary,nyc_delivery_reliability_annual,1,3,0.0,0.0,0.0,0.225,0.12166666666666665,0.3011111111111111,0.9667388928944164
hazard_filling_stationary,nyc_delivery_reliability_annual,2,3,0.0,0.0,0.0,0.235,0.12472222222222218,0.30666666666666664,0.976717073322258
hazard_filling_stationary,nyc_delivery_reliability_annual,3,3,0.0,0.0,0.0,0.25222222222222224,0.12611111111111112,0.31555555555555553,0.9999999999999999
hazard_filling_stationary,nyc_delivery_reliability_annual,4,3,0.0,0.0,0.0,0.26666666666666666,0.12888888888888891,0.3277777777777778,0.9748597277119054
hazard_filling_stationary,montague_flow_reliability_annual,1,3,0.0,0.0,0.0,0.31666666666666665,0.13666666666666666,0.3522222222222222,0.8646559269340841
hazard_filling_stationary,montague_flow_reliability_annual,2,3,0.0,0.0,0.0,0.36277777777777775,0.12916666666666665,0.3877777777777778,0.9246064632826476
hazard_filling_stationary,montague_flow_reliability_annual,3,3,0.0,0.0,0.0,0.4066666666666667,0.12472222222222218,0.4177777777777778,1.0
hazard_filling_stationary,montague_flow_reliability_annual,4,3,0.0,0.0,0.0,0.4494444444444444,0.1291666666666667,0.46,0.922787246100501
hazard_filling_stationary,trenton_flow_reliability_annual,1,1,0.0,0.0,0.0,0.7877777777777778,0.03361111111111115,0.79,1.0
hazard_filling_stationary,trenton_flow_reliability_annual,2,1,0.0,0.0,0.0,0.8988888888888888,0.022222222222222143,0.9,0.7878006323749409
hazard_filling_stationary,trenton_flow_reliability_annual,3,1,0.0,0.18359375,0.18359375,0.94,0.015555555555555656,0.9444444444444444,0.7675655453587845
hazard_filling_stationary,trenton_flow_reliability_annual,4,1,0.0,0.970703125,0.970703125,0.9711111111111111,0.011388888888889004,0.9744444444444444,0.7344868450630471
hazard_filling_stationary,nj_delivery_reliability_annual,1,1,0.0,0.0,0.0,0.40555555555555556,0.20444444444444443,0.45,1.0
hazard_filling_stationary,nj_delivery_reliability_annual,2,1,0.0,0.0,0.0,0.4177777777777778,0.20361111111111113,0.4588888888888889,0.9800527060163684
hazard_filling_stationary,nj_delivery_reliability_annual,3,1,0.0,0.0,0.0,0.4411111111111111,0.20500000000000002,0.47888888888888886,0.9644530093597832
hazard_filling_stationary,nj_delivery_reliability_annual,4,1,0.0,0.0,0.0,0.4666666666666667,0.20694444444444454,0.49666666666666665,0.9489289831998152
historic,nyc_delivery_reliability_annual,1,3,0.0,0.0,0.0,0.493421052631579,0.13157894736842113,0.618421052631579,0.8722941254121749
historic,nyc_delivery_reliability_annual,2,3,0.0,0.0,0.0,0.5131578947368421,0.13157894736842107,0.631578947368421,0.9014988399843834
historic,nyc_delivery_reliability_annual,3,3,0.0,0.0,0.0,0.5394736842105263,0.11842105263157893,0.6447368421052632,0.9999999999999999
historic,nyc_delivery_reliability_annual,4,3,0.0,0.0,0.0,0.5657894736842105,0.10526315789473684,0.7105263157894737,0.891641004312964
historic,montague_flow_reliability_annual,1,3,0.0,0.0,0.0,0.618421052631579,0.14473684210526316,0.6842105263157895,0.8812132405603842
historic,montague_flow_reliability_annual,2,3,0.0,0.0,0.0,0.6842105263157895,0.12171052631578938,0.7236842105263158,0.8975271215526339
historic,montague_flow_reliability_annual,3,3,0.0,0.0,0.0,0.7236842105263158,0.11842105263157887,0.7894736842105263,1.0
historic,montague_flow_reliability_annual,4,3,0.0,0.0,0.0,0.7631578947368421,0.11842105263157898,0.8026315789473685,0.8910670791303855
historic,trenton_flow_reliability_annual,1,1,0.0,0.0,0.0,0.8947368421052632,0.026315789473684292,0.868421052631579,1.0
historic,trenton_flow_reliability_annual,2,1,0.0,0.376953125,0.376953125,0.9473684210526315,0.013157894736842146,0.9473684210526315,0.3320504071401798
historic,trenton_flow_reliability_annual,3,1,0.0,0.974609375,0.974609375,0.9736842105263158,0.013157894736842146,0.9605263157894737,0.3723280489743122
historic,trenton_flow_reliability_annual,4,1,0.0,1.0,1.0,0.9736842105263158,0.013157894736842035,0.9868421052631579,0.2418133675440972
historic,nj_delivery_reliability_annual,1,1,0.0,0.0,0.0,0.6578947368421053,0.13157894736842113,0.7368421052631579,1.0
historic,nj_delivery_reliability_annual,2,1,0.0,0.0,0.0,0.6710526315789473,0.13157894736842102,0.7368421052631579,0.9399705167596207
historic,nj_delivery_reliability_annual,3,1,0.0,0.0,0.0,0.6973684210526315,0.13157894736842113,0.8026315789473685,0.8865291003220668
historic,nj_delivery_reliability_annual,4,1,0.0,0.0,0.0,0.7236842105263158,0.11842105263157887,0.8026315789473685,0.8563979819290113
