axis,ks_stat,ks_pvalue,fail_mean,fail_q25,fail_q50,fail_q75,success_mean,shift_direction,design
drought_deficit_volume,0.6925133689839572,3.76353801229872e-21,30.763172697034854,22.11865289393325,30.123459243256605,38.24503124750687,15.985049462665135,higher,fixed_probabilistic
drought_onset_rate,0.5855614973262032,7.462702695094844e-15,0.3511859595837148,0.26242341254423046,0.3204284039228607,0.4177725870351367,0.5187862704163604,lower,fixed_probabilistic
drought_recovery_rate,0.5588235294117647,1.7832938022531349e-13,0.26506279759535795,0.21066812694444237,0.24764507084175041,0.31545992485589014,0.3740720340169124,lower,fixed_probabilistic
drought_peak_depth,0.5824420677361853,9.884022602633591e-15,2.3539672457722602,2.1947527276614363,2.347653407289304,2.4987686801718905,2.091208841524519,higher,fixed_probabilistic
flood_peak_magnitude,0.392602495543672,1.0398638540352128e-06,31.304033650146156,27.602438932679505,29.758505639425728,35.01767228252271,34.04781217769656,lower,fixed_probabilistic
flood_pulse_duration,0.3342245989304813,5.7762325789532335e-05,8.442424242424241,7.44,8.239999999999998,9.2,9.8,lower,fixed_probabilistic
drought_deficit_volume,0.6647426647426647,5.348414313921504e-05,43.96194091555916,37.150246709977154,38.89117799055965,52.83675671453146,24.677993700522112,higher,hazard_filling_stationary
drought_onset_rate,0.4973544973544973,0.006716652264806136,0.25743599889052166,0.18568721334402377,0.24664075337063035,0.3219861417254225,0.41694294743686305,lower,hazard_filling_stationary
drought_recovery_rate,0.5695045695045695,0.0010781384707779027,0.22290167540940284,0.19324669616057794,0.20433072135718416,0.2318116546195766,0.30673687389541726,lower,hazard_filling_stationary
drought_peak_depth,0.5978835978835979,0.0004524638098729972,2.5267210207358466,2.3743157200290215,2.5087520621510473,2.655972579978372,2.2493753779762504,higher,hazard_filling_stationary
flood_peak_magnitude,0.4434824434824435,0.022221409473087084,28.87423754110025,27.39433040264795,28.5044219230609,29.95403491206566,32.43262993095533,lower,hazard_filling_stationary
flood_pulse_duration,0.5598845598845599,0.0013826300719288647,7.141818181818182,6.7,7.36,7.64,9.006560846560847,lower,hazard_filling_stationary
drought_deficit_volume,0.8375634517766497,0.009966499162479058,25.47508499307894,15.969463502686517,22.40432817869191,33.40445488018045,43.04347194442602,lower,historic
drought_onset_rate,0.6700507614213198,0.0763149078726968,0.4098185765702136,0.28745128875117415,0.3787212611224266,0.5167632255660868,0.2999178230102586,higher,historic
drought_recovery_rate,0.32318104906937395,0.8243474950510129,0.30279530830947105,0.23058623904985695,0.30394866684073774,0.3585737692158515,0.258170619590497,higher,historic
drought_peak_depth,0.8934010152284264,0.003082077051926298,2.257235043060685,2.0827283256151072,2.2286320735943965,2.4205643210270704,2.7501913942168983,lower,historic
flood_peak_magnitude,0.7918781725888325,0.02016750418760469,32.31365930408113,28.70367848963612,31.87426913224375,35.29238853962744,27.197595666225876,higher,historic
flood_pulse_duration,0.5093062605752962,0.3200502512562813,8.927512690355329,7.64,8.6,9.8,7.36,higher,historic
