design,solution_id,label,n_search,n_sow,n_fail,failure_rate,deficit_mean,deficit_mean_fail,deficit_mean_success,auc,auc_null_mean,auc_null_std,auc_excess,p_vs_null,mannwhitney_p,logistic_slope,verdict
fixed_probabilistic,179,regret,100,200,132,0.66,0.6447351591347581,0.5951653827046435,0.7409588427932153,0.31517379679144386,0.5380796011586453,0.027924273502260434,-0.22290580436720142,1.0,0.9999906489848933,-0.7131020475733767,failures concentrate at LOW coverage deficit (mechanism contradicted)
hazard_filling_stationary,273,regret,100,200,11,0.055,0.5493022786093169,0.5609880782204518,0.5486221527060233,0.5387205387205387,0.45322631072631075,0.07104389307474206,0.08549422799422796,0.12935323383084577,0.33407011462420205,0.08229223628384418,no coverage-deficit association beyond random coverage (null)
historic,284,regret,69,200,197,0.985,0.9289098546404945,0.9315223255844287,0.7573575959888105,0.8155668358714044,0.5373815566835871,0.1184332264707611,0.2781852791878173,0.004975124378109453,0.03010430942591747,0.6577193149654166,"failures concentrate at HIGH coverage deficit, beyond random coverage (mechanism supported)"
