bin,n,failure_rate,deficit_mid,bin_lo,bin_hi,design
0,20,1.0,0.2821994094914516,0.056124860801609146,0.3358011642081202,fixed_probabilistic
1,20,0.85,0.40346511851026756,0.3358011642081202,0.429148067899151,fixed_probabilistic
2,20,0.85,0.4731528809923893,0.429148067899151,0.508539422727329,fixed_probabilistic
3,20,0.75,0.5329888873617621,0.508539422727329,0.5922473662356315,fixed_probabilistic
4,20,0.55,0.6466829100020018,0.5922473662356315,0.6650093346078603,fixed_probabilistic
5,20,0.45,0.6920799410103868,0.6650093346078603,0.7229764840468073,fixed_probabilistic
6,20,0.5,0.7583659814735033,0.7229764840468073,0.8011556109833111,fixed_probabilistic
7,20,0.4,0.8145857517891714,0.8011556109833111,0.8473865421493721,fixed_probabilistic
8,20,0.7,0.901020218490671,0.8473865421493721,0.9384518862535878,fixed_probabilistic
9,20,0.55,0.9687097869294079,0.9384518862535878,1.0579579386724218,fixed_probabilistic
0,20,0.1,0.29535245098440865,0.1640883908142194,0.36994206797917767,hazard_filling_stationary
1,20,0.0,0.4007980426552854,0.36994206797917767,0.4319785643865909,hazard_filling_stationary
2,20,0.05,0.45436699208243714,0.4319785643865909,0.4834373889091615,hazard_filling_stationary
3,20,0.0,0.5016217341100042,0.4834373889091615,0.5225910361261061,hazard_filling_stationary
4,20,0.05,0.5471279461641393,0.5225910361261061,0.560188019126796,hazard_filling_stationary
5,20,0.05,0.5766169597651314,0.560188019126796,0.592152847464165,hazard_filling_stationary
6,20,0.15,0.6138912154753292,0.592152847464165,0.6345311988475905,hazard_filling_stationary
7,20,0.05,0.6452212154565125,0.6345311988475905,0.6631703503600728,hazard_filling_stationary
8,20,0.1,0.6830167177674453,0.6631703503600728,0.7152621416996932,hazard_filling_stationary
9,20,0.0,0.7437377658020978,0.7152621416996932,0.9455157322858251,hazard_filling_stationary
0,20,0.95,0.5994465162088367,0.4093897898091744,0.682130404313057,historic
1,20,1.0,0.731459018139641,0.682130404313057,0.792492808657342,historic
2,20,0.9,0.8205100442163211,0.792492808657342,0.8402789707190063,historic
3,20,1.0,0.8684053134325209,0.8402789707190063,0.8890191210964159,historic
4,20,1.0,0.9132972920128415,0.8890191210964159,0.9400551408346147,historic
5,20,1.0,0.9709595656263805,0.9400551408346147,0.9864450753830739,historic
6,20,1.0,1.0029642641296457,0.9864450753830739,1.0339245249443982,historic
7,20,1.0,1.0655686886616547,1.0339245249443982,1.0891968126918792,historic
8,20,1.0,1.1198280527456783,1.0891968126918792,1.1466128166247276,historic
9,20,1.0,1.2166909690506738,1.1466128166247276,1.3671046046297992,historic
