design,solution_id,backend,train_accuracy,drought_deficit_volume,drought_onset_rate,drought_recovery_rate,drought_peak_depth,flood_peak_magnitude,flood_pulse_duration
fixed_probabilistic,179,gradient_boosting,1.0,0.6421360234030681,0.12047570008148864,0.04448677931601812,0.07002013314526814,0.05569878989243293,0.067182574161724
hazard_filling_stationary,273,gradient_boosting,1.0,0.5243542448595351,0.07722398653474899,0.0569277919866352,0.14808431773878553,0.11352669880466285,0.07988296007563231
historic,284,gradient_boosting,1.0,0.09629679652818404,0.04285545588858151,0.1311554664259049,0.44154503049304844,0.15766557344441592,0.1304816772198653
