,Balanced (dominating) (row 4298),Diverse 1 (row 1879),Diverse 2 (row 1567)
Balanced (dominating) (row 4298),0.0,2.861196004356311,2.440762884824668
Diverse 1 (row 1879),2.861196004356311,0.0,2.3241865564552184
Diverse 2 (row 1567),2.440762884824668,2.3241865564552184,0.0
