config,islands,workers_per_island,total_slots,ranks,total_nfe,n_seeds,wall_mean_s,wall_min_s,wall_max_s,speedup,speedup_min,speedup_max,ideal_speedup,efficiency,eval_median_s,overhead_frac
scale_1x8,1,8,8,10,1280,2,837.0,836,838,1.0,0.9988066825775657,1.0011961722488039,1.0,1.0,5.9,-0.1278375149342892
scale_1x16,1,16,16,18,1280,2,471.0,453,489,1.7770700636942676,1.7116564417177915,1.8476821192052981,2.0,0.8885350318471338,6.2,-0.05307855626326963
scale_1x32,1,32,32,34,1280,2,249.0,245,253,3.36144578313253,3.308300395256917,3.416326530612245,4.0,0.8403614457831325,6.2,0.004016064257028162
scale_1x64,1,64,64,66,1280,2,143.5,143,144,5.832752613240418,5.8125,5.853146853146853,8.0,0.7290940766550522,6.9,0.0383275261324042
scale_2x32,2,32,64,67,1280,2,147.0,146,148,5.6938775510204085,5.655405405405405,5.732876712328767,8.0,0.7117346938775511,6.9,0.061224489795918324
scale_4x16,4,16,64,69,1280,2,147.0,146,148,5.6938775510204085,5.655405405405405,5.732876712328767,8.0,0.7117346938775511,6.8,0.07482993197278909
