objective,direction,n_valid,median,iqr,eps_signal_iqr10,eps_noise_median,eps_noise_p90,eps_granularity,eps_floor_raw,eps_recommended,eps_previous,previous_over_recommended,binding_floor,interpretation
nyc_delivery_reliability_annual,maximize,512,0.5394736842105263,0.11842105263157893,0.011842105263157893,0.05758814675724516,0.058590957751599684,0.013157894736842105,0.05758814675724516,0.1,0.02,0.19999999999999998,noise,0.1 fraction of unit-years = 7.6 of 76 unit-years
nyc_delivery_deficit_p99_pct,minimize,512,48.102997951303976,10.206395238191199,1.02063952381912,3.4787757037152747,20.145828411386702,0.0,3.4787757037152747,5.0,2.0,0.4,noise,5 % of target (P99 unit-year)
montague_flow_reliability_annual,maximize,512,0.7236842105263158,0.11842105263157887,0.011842105263157886,0.052076448177221735,0.05763366643327972,0.013157894736842105,0.052076448177221735,0.1,0.02,0.19999999999999998,noise,0.1 fraction of unit-years = 7.6 of 76 unit-years
montague_flow_deficit_p99_pct,minimize,512,34.39213872057581,9.985819021914796,0.9985819021914797,4.003101955342808,12.512793204553192,0.0,4.003101955342808,5.0,2.0,0.4,noise,5 % of target (P99 unit-year)
trenton_flow_reliability_annual,maximize,512,0.8947368421052632,0.026315789473684292,0.0026315789473684292,0.035047156510458054,0.03929466437506425,0.013157894736842105,0.035047156510458054,0.05,0.015,0.3,noise,0.05 fraction of unit-years = 3.8 of 76 unit-years
downstream_flood_exceedance_annual,minimize,512,0.307734276785656,0.07624779794029485,0.0076247797940294845,0.13551028823951386,0.15212438049920157,0.0,0.13551028823951386,0.15000000000000002,0.2,1.3333333333333333,noise,0.15 native units
downstream_flood_days_annual,minimize,512,0.15789473684210525,0.02631578947368421,0.002631578947368421,0.054302692556218536,0.06531279818291227,0.0,0.054302692556218536,0.1,0.05,0.5,noise,0.1 days/yr (mean unit-year)
downstream_flood_days_annual_p99,minimize,512,2.0,0.25,0.025,0.4116447362579642,0.5871794591240546,0.0,0.4116447362579642,0.5,1.5,3.0,noise,0.5 days/yr (P99 unit-year)
nyc_storage_min_p01_pct,maximize,512,0.0,7.78193636934034,0.778193636934034,5.449033455634618,6.914659491374971,0.0,5.449033455634618,10.0,5.0,0.5,noise,10 % of NYC capacity (P1 annual minimum)
nj_delivery_reliability_annual,maximize,512,0.6578947368421053,0.13157894736842113,0.013157894736842113,0.05529530946232105,0.05821577254142067,0.013157894736842105,0.05529530946232105,0.1,0.025,0.25,noise,0.1 fraction of unit-years = 7.6 of 76 unit-years
