design,vector,scale,archive_size,n_policies,n_pareto_eps0
historic,campaign,0.25,314,513,330
historic,campaign,0.5,286,513,330
historic,campaign,1.0,216,513,330
historic,campaign,2.0,153,513,330
historic,campaign,4.0,39,513,330
historic,previous,1.0,290,513,330
