objective,n_sow,n_bins,bin_size,sigma_local,null_sd_unpaired,z,tau_floor,eps,k_floor
nyc_delivery_reliability_annual,1000,100,10,0.05769292802944352,0.08159012127225392,1.645,0.1342157494928577,0.02,6.710787474642885
nyc_delivery_deficit_p99_pct,1000,100,10,2.68115249269786e-10,3.7917222179637445e-10,1.645,6.237383048550359e-10,5.0,1.2474766097100719e-10
montague_flow_reliability_annual,1000,100,10,0.05603002074039777,0.07923841523111634,1.645,0.13034719305518638,0.02,6.517359652759319
montague_flow_deficit_p99_pct,1000,100,10,0.5275942527559853,0.7461309476776131,1.645,1.2273854089296736,5.0,0.24547708178593472
trenton_flow_reliability_annual,1000,100,10,0.0523658284450127,0.07405646479183978,1.645,0.12182288458257644,0.015,8.12152563883843
downstream_flood_exceedance_annual,1000,100,10,0.39825915497100295,0.5632234982992407,1.645,0.9265026547022509,0.3,3.0883421823408366
nyc_storage_min_p01_pct,1000,100,10,2.4749777351539572,3.500147079626173,1.645,5.757741945985054,5.0,1.1515483891970109
nj_delivery_reliability_annual,1000,100,10,0.058995975070257244,0.0834329080697828,1.645,0.13724713377479272,0.025,5.489885350991709
