,Balanced (dominating) (row 1393),Diverse 1 (row 1682),Diverse 2 (row 115)
Balanced (dominating) (row 1393),0.0,2.6144858895478014,1.7941947717517917
Diverse 1 (row 1682),2.6144858895478014,0.0,2.119594940627819
Diverse 2 (row 115),1.7941947717517917,2.119594940627819,0.0
