solution_id,objective,q05,q25,q50,q75,q95
0,nyc_delivery_reliability_weekly,0.6717741935483871,0.7943548387096774,0.8084677419354839,0.8185483870967742,0.8467741935483871
1,nyc_delivery_reliability_weekly,0.6362903225806452,0.75,0.7832661290322581,0.7903225806451613,0.817741935483871
2,nyc_delivery_reliability_weekly,0.31693548387096765,0.3387096774193548,0.3477822580645161,0.4233870967741935,0.4483870967741935
0,nyc_delivery_deficit_cvar90_pct,27.904285714285713,31.492857142857144,32.41428571428572,33.00714285714286,34.59571428571429
1,nyc_delivery_deficit_cvar90_pct,27.516571428571428,28.835714285714285,30.03625,30.593125,31.443625
2,nyc_delivery_deficit_cvar90_pct,30.533326785714287,33.2788125,35.7923125,36.7465625,38.70566249972721
0,montague_flow_reliability_weekly,0.8199596774193548,0.873991935483871,0.8941532258064516,0.910282258064516,0.9110887096774194
1,montague_flow_reliability_weekly,0.8243951612903226,0.876008064516129,0.908266129032258,0.9193548387096774,0.9201612903225805
2,montague_flow_reliability_weekly,0.7508064516129033,0.7862903225806451,0.8276209677419355,0.8377016129032258,0.8497983870967741
0,montague_flow_deficit_cvar90_pct,5.775754139085347,6.101262093846069,7.424451048871666,9.72913886020122,10.381025745336727
1,montague_flow_deficit_cvar90_pct,4.231475735011954,4.308138738717912,5.228942275647058,7.092089035747731,7.278297640165177
2,montague_flow_deficit_cvar90_pct,7.4882449370286,8.050609738735007,9.432541837013977,12.056169223658108,12.990342632785541
0,trenton_flow_reliability_weekly,0.9862903225806452,0.9879032258064516,0.9909274193548387,0.9929435483870968,0.9937499999999999
1,trenton_flow_reliability_weekly,0.9901209677419355,0.9909274193548387,0.9919354838709676,0.9929435483870968,0.9953629032258066
2,trenton_flow_reliability_weekly,0.9868951612903226,0.9868951612903226,0.9889112903225806,0.9919354838709676,0.9935483870967742
0,downstream_flood_days_minor,1.0,1.0,2.0,2.0,4.3999999999999995
1,downstream_flood_days_minor,1.0,1.0,1.0,2.0,3.5999999999999996
2,downstream_flood_days_minor,0.2,1.0,2.0,2.0,3.5999999999999996
0,nyc_storage_p5_pct,35.004134279278404,37.13439633737738,44.65108931799251,45.68924078000549,47.25962000644017
1,nyc_storage_p5_pct,30.4139527195508,34.81810922720255,43.3915775133754,43.43967857705429,45.33004316696467
2,nyc_storage_p5_pct,38.19054627804469,39.70092653536352,46.624175265481206,48.437430603180346,49.64678268546209
