solution_id,sat_uni__nyc_delivery_reliability_weekly,sat_uni__nyc_delivery_deficit_cvar90_pct,sat_uni__montague_flow_reliability_weekly,sat_uni__montague_flow_deficit_cvar90_pct,sat_uni__trenton_flow_reliability_weekly,sat_uni__downstream_flood_days_minor,sat_uni__nyc_storage_p5_pct,sat_multivariate,regret_best__nyc_delivery_reliability_weekly,regret_best__nyc_delivery_deficit_cvar90_pct,regret_best__montague_flow_reliability_weekly,regret_best__montague_flow_deficit_cvar90_pct,regret_best__trenton_flow_reliability_weekly,regret_best__downstream_flood_days_minor,regret_best__nyc_storage_p5_pct,regret_baseline__nyc_delivery_reliability_weekly,regret_baseline__nyc_delivery_deficit_cvar90_pct,regret_baseline__montague_flow_reliability_weekly,regret_baseline__montague_flow_deficit_cvar90_pct,regret_baseline__trenton_flow_reliability_weekly,regret_baseline__downstream_flood_days_minor,regret_baseline__nyc_storage_p5_pct
0,0.0,0.0,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.3692093228924803,0.10359096833406993,0.5102102569693873,0.6333333333333305,0.6,0.5273803265980187,0.0,0.0,0.0,3.286459733862125e-16,0.0,0.0,2.5679376419564722e-11
1,0.0,0.0,0.8,1.0,1.0,1.0,1.0,0.0,0.0906163960715109,0.012651740714773188,0.0,0.0,0.2,0.2,1.0,0.04152353462693524,0.0013303358899762123,0.0,0.0,0.0002030456852792044,0.0,0.0656518071545118
2,0.0,0.0,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9600000000000009,0.2,0.0,0.5110469145821029,0.09989277467221662,0.07972585479756412,0.2747295917471943,0.0008140449171184355,0.0,0.0
