solution_id,objective,threshold,is_default,satisficing
2,downstream_flood_days_minor,2.0,False,0.8
0,downstream_flood_days_minor,4.0,False,0.8
1,downstream_flood_days_minor,4.0,False,1.0
2,downstream_flood_days_minor,4.0,False,1.0
0,downstream_flood_days_minor,10.0,True,1.0
1,downstream_flood_days_minor,10.0,True,1.0
2,downstream_flood_days_minor,10.0,True,1.0
0,nyc_storage_p5_pct,25.0,True,1.0
1,nyc_storage_p5_pct,25.0,True,1.0
2,nyc_storage_p5_pct,25.0,True,1.0
0,nyc_storage_p5_pct,34.610185,False,0.8
1,nyc_storage_p5_pct,34.610185,False,0.8
2,nyc_storage_p5_pct,34.610185,False,1.0
0,nyc_storage_p5_pct,37.473674,False,0.6
1,nyc_storage_p5_pct,37.473674,False,0.6
2,nyc_storage_p5_pct,37.473674,False,1.0
0,nyc_storage_p5_pct,43.439679,False,0.6
1,nyc_storage_p5_pct,43.439679,False,0.2
2,nyc_storage_p5_pct,43.439679,False,0.6
0,nyc_storage_p5_pct,46.213405,False,0.2
1,nyc_storage_p5_pct,46.213405,False,0.0
2,nyc_storage_p5_pct,46.213405,False,0.6
0,nyc_storage_p5_pct,48.123344,False,0.0
1,nyc_storage_p5_pct,48.123344,False,0.0
2,nyc_storage_p5_pct,48.123344,False,0.4
