rho1_cy,rho1_wy,max_dry_run,min_roll3_frac,annual_std,annual_mean,annual_std_ratio
-0.022289321249713393,0.037974966524994457,5,0.7499887954074653,94190.8469407574,479652.6204420825,0.8488995847358313
0.010776837670818612,0.07606046078522297,5,0.7515170246696679,104590.61750242689,498129.20705647266,0.9076641051471248
0.24261091501479343,0.09073732365671669,6,0.778706837017089,100452.10579196873,469713.98777828465,0.9244852630265487
-0.08637054189947865,0.02274303976366786,3,0.7707055038954254,123453.21272484164,508439.73560249945,1.0496327016164753
-0.1897412096788842,-0.10782222293922127,4,0.8343112403720121,100537.48187084682,475087.28943685564,0.9148060594691273
0.014439845590473802,0.11268987185345905,4,0.6770602146673884,116530.71937886224,475176.73263753735,1.0601314075207011
0.07477137345731115,0.08453612991145733,4,0.7271234803914568,110183.10334543552,514725.2812213875,0.9253668582485823
0.0058792850415125926,0.1699625435352219,5,0.779605546528226,106964.20539142584,502549.0645321274,0.9200987505527248
0.2157181758764398,0.16699384716725324,4,0.7440341162727013,99969.80342887148,453251.98325348133,0.9534623878425578
0.29630579214576735,0.41844900664414963,6,0.6546509345619178,120581.92832682106,483734.55037845887,1.077580087994529
0.029681134960256796,0.06497708069127237,5,0.8020433350403723,104115.47670806371,479210.46564783645,0.9392115795363494
0.23319888214631998,0.17855330639436945,7,0.6588928835230087,130930.96478051924,461675.47557552846,1.225970452989272
0.04681042052271859,0.010752660406867195,6,0.7891840380569707,87600.27006807154,444466.22070800664,0.852003002745421
-0.19253716463334342,0.16024047141009867,7,0.7644578826628555,82241.01352250879,482961.40474071185,0.7361231373560001
0.04492541032666122,0.17370578033847656,9,0.6532440124589026,103581.31757769821,490194.31511558336,0.9134559337798108
0.07866323579270221,0.052949278544940616,4,0.6406716429304745,123997.2115505553,496071.13338827743,1.0805438689772624
0.10185382336506053,0.2360518482961361,3,0.7361642679252085,117775.07108431436,495895.3681636641,1.0266862926987939
0.05741265542632873,0.14409624160167275,4,0.6773962314914482,109880.4658128765,491559.7025667186,0.9663148633431757
-0.46312801315826646,-0.18433023415755803,6,0.746961599428845,95423.4561587172,491611.11929233937,0.8390887254690038
-0.17404563400181752,-0.02324476958733363,4,0.7950858808367959,72539.09345901312,457205.21925053647,0.6858598575314356
0.16743691163928337,0.3395644258818457,7,0.5937805786358545,98025.8733756951,467666.9457228716,0.9061049137264344
-0.13787963251846783,0.12657528319804573,5,0.7729648116032032,92387.09009199742,458174.36386809754,0.8716757085653397
0.005720166689778599,0.1655049260185833,4,0.686604958072176,117657.83611417032,497564.89434082666,1.0222228069395876
-0.06734943715014424,-0.008347746765846735,4,0.7125495663673654,114475.93494975888,470865.07906675705,1.0509744470263922
0.14982665121848998,0.05412837096032159,7,0.7711707034923868,112379.3185305373,440102.00723876356,1.1038434513170203
0.02615926571676814,0.144093109959786,4,0.7287224799190813,91584.72229140793,453285.73052503617,0.8734246123893176
-0.11640382787516647,0.1319293097946168,4,0.8415321151737791,69339.855978534,445298.95363671513,0.673140469401041
0.3491912116057577,0.36805919621014477,6,0.5557340033636011,125944.21238322624,477708.89823916845,1.1396967884756253
0.009506453117948939,0.025243489645826844,4,0.6652337458308506,117355.19336853515,500426.51715127646,1.0137630070961448
-0.05887039851758333,0.1789415352979442,8,0.675042903543457,107798.12554170372,464754.4336732357,1.002679436293842
-0.1783756350499829,-0.18469723477745575,5,0.838172746686571,90698.72211536704,460347.220532584,0.8517067388252729
-0.1688982265875603,-0.02638409329860571,3,0.7343241202011248,89411.1900933181,450066.0596817345,0.858796078996154
-0.05014028548843189,-0.3013867857808539,4,0.8655867551591138,102311.17624068714,448678.60091467865,0.9857395035676164
0.004726609948959886,0.13988516572455023,4,0.7285181102512267,107702.31102177672,470799.93057225144,0.9889243550449708
-0.06038662821735974,0.03836176105988341,4,0.6960727492915746,116802.2022246882,464966.03442565544,1.085936030116473
0.36724051184077583,0.3813096662614107,8,0.692658394019979,129011.4808921684,489068.74410081655,1.1403361512177077
-0.04782162699388915,0.11514005176801657,4,0.7911608642818412,87605.73179118107,476903.5341239653,0.7941022408230212
-0.047136379182151675,0.2178582551608993,5,0.6640846556765463,94987.11902510858,502865.9946168079,0.8165577178928053
-0.04765808475317659,0.13798438990365136,4,0.7984602906453936,103659.58227961107,468931.3097483883,0.9555967503738532
-0.025169009511944195,-0.10205277285344189,4,0.7969072011932027,98937.87372612451,469232.51342970936,0.9114837202973458
-0.05339996575860044,0.17712503094991983,6,0.7676992109216533,97447.36388206997,472523.3404443944,0.8914998415357201
-0.10086362712798679,-0.00037943338807194473,6,0.7884120422150254,100129.73976588665,474159.4873850765,0.9128787198454088
0.1723360244884413,0.2212489905012847,5,0.6799586205573707,107708.15513056722,452961.0010357591,1.0279268636505905
0.21654769260044482,0.1703750267251268,8,0.7487942900554724,105548.47661848989,449808.5047837483,1.0143754912428504
0.016839658761407892,0.013236867627967502,5,0.7643482936774092,99459.75050159337,490143.6454165108,0.8771996092769181
0.027449530551678022,0.11718584511451087,4,0.7878943861562233,100225.42903943607,471621.9713561493,0.9186674637916559
-0.036736703088222425,0.0563479417860972,4,0.6108044799242541,113413.9790227911,479382.5078922779,1.0227249360621589
-0.21198592759015933,0.2206660101514822,6,0.7098948502766717,78788.93713679568,485034.4595952804,0.7022101264342585
0.017371897137159364,0.10788423994100324,6,0.7620613662466941,86185.62417947198,482852.69728629536,0.7716042482240242
0.22702108830271192,0.10622932842935355,5,0.7539977129172641,108692.42950090166,478758.21696668095,0.9814258572274795
-0.1739449857247918,0.028657310015208045,5,0.6915805581252041,100369.40112993233,469121.5441118966,0.9248906634477213
-0.008491052889581796,0.12680642183996574,5,0.6751088084436652,119265.26000626048,465729.114036387,1.107018840251552
0.33742277314461055,0.23971028309638875,4,0.6453801238685878,134319.97645320577,477939.5034334625,1.214904440955995
0.11625067705877921,-0.030969889081824443,6,0.7165867301631038,126187.1950130465,524198.3100194506,1.0406246539193584
-0.08068255734821811,-0.018398012846465958,4,0.7592810526235899,91322.37042267909,516399.7214216404,0.76447910053165
0.05898260243330146,0.07017930918050563,5,0.701080558390086,114726.39134157727,474795.34728257434,1.0445550172394558
0.1359095368694454,0.2866710607094298,4,0.6918045934199621,113686.51312572764,492099.4297081622,0.9986895954492512
-0.13327773152121236,0.05145715816368259,4,0.7015620978806767,92405.56862363579,490491.1261836986,0.8144068723239368
0.03687710964496421,0.2793802302345737,6,0.7591343543878186,101715.5800862852,489374.2243935736,0.8985056858982834
-0.2549763455286117,-0.11294231969843437,5,0.8005216477174965,91705.51258907183,463597.07367940276,0.8551242004543069
0.23179813569944757,-0.020608100937459232,7,0.7161415806562632,100216.2805540054,470511.25916402123,0.9207520626486431
-0.1825294391713233,0.013313949437319424,4,0.7544498206975021,97049.95592829236,485332.4232996491,0.8644312868980953
0.14122026507921254,0.2384426511655206,6,0.7512998449509589,94929.33693807432,473429.67037758784,0.8668010242988496
0.010428184840195151,0.18164203654855746,5,0.7295312303320518,120641.65462173057,490854.2304041629,1.0624761434541816
