objective,kind,current_threshold,realizations_per_sow,median_within_sow_sd,se_sow_mean,between_sow_sd,noise_ratio,frac_sow_mean_collapse,frac_sow_worst_collapse
nyc_delivery_reliability_weekly,ge,0.95,25,0.027915212850855374,0.005583042570171075,0.06182469752584522,0.09030440574071774,0.0,0.0
nyc_delivery_deficit_cvar90_pct,le,10.0,25,1.897969752985847,0.3795939505971694,4.217807305914632,0.08999793567260997,0.0,0.0
montague_flow_reliability_weekly,ge,0.85,25,0.017649078930099406,0.003529815786019881,0.03326697590510018,0.10610570062302306,0.856,0.545
montague_flow_deficit_cvar90_pct,le,25.0,25,1.1456687859727632,0.22913375719455265,1.9355164432925482,0.11838378226576486,1.0,1.0
trenton_flow_reliability_weekly,ge,0.85,25,0.0037230554269903535,0.0007446110853980707,0.009179200081035717,0.08111938718238006,1.0,1.0
downstream_flood_exceedance_minor,le,1.0,25,0.6047203473159667,0.12094406946319333,1.038698649932426,0.11643807322851678,0.383,0.018
nyc_storage_p5_pct,ge,25.0,25,3.6088672376675532,0.7217734475335107,6.3260060295749225,0.11409623135974317,1.0,0.841
nj_delivery_reliability_weekly,ge,0.95,25,0.02380166379972646,0.0047603327599452915,0.05174445737350376,0.09199695970496088,0.02,0.0
