objective,kind,current_threshold,frac_sow_at_current,frac_sow_at_current_ci_lo,frac_sow_at_current_ci_hi,recommended_threshold,basis,frac_sow_at_recommended,frac_sow_at_recommended_ci_lo,frac_sow_at_recommended_ci_hi,headline_impact,stringency_of_current
nyc_delivery_reliability_weekly,ge,0.95,0.0,2.168404344971009e-19,0.0038267584855551234,0.87,"rule 1: status quo fails 0.95 on the observed record; re-anchored at maintain-status-quo (anchor 0.8692 -> 0.87, stricter side)",0.161,0.13952453255948705,0.18507000969371934,True,1.0
nyc_delivery_deficit_cvar90_pct,le,10.0,0.0,2.168404344971009e-19,0.0038267584855551234,29.0,"rule 1: re-anchored at maintain-status-quo (anchor 29.17 -> 29.0, stricter side); ~ the sustained L4 restriction depth (30%)",0.325,0.296687901945411,0.3546514635245333,True,1.0
montague_flow_reliability_weekly,ge,0.85,0.856,0.8328762978702983,0.8763990500879865,0.85,kept: binding and non-degenerate (SOW frac 0.856); status quo passes on the observed record,0.856,0.8328762978702983,0.8763990500879865,False,0.144
montague_flow_deficit_cvar90_pct,le,25.0,1.0,0.996173241514445,1.0,25.0,rule 3: all-pass guardrail kept (margin 4.2 IQR); re-anchoring measured near-degenerate (frac 0.055),1.0,0.996173241514445,1.0,False,0.0
trenton_flow_reliability_weekly,ge,0.85,1.0,0.996173241514445,1.0,0.85,rule 3: all-pass guardrail kept (margin 8.2 IQR); anchor 0.9945 rounds stricter to an ill-posed 1.00,1.0,0.996173241514445,1.0,False,0.0
downstream_flood_exceedance_minor,le,1.0,0.383,0.3533727313696084,0.41352273011601154,1.17,rule 2: observed WY2001-2023 exceedance (A_sim_vs_obs C4_max_ft obs = 1.17) beats the round number,0.445,0.41446705005753576,0.4759538933758753,False,0.617
nyc_storage_p5_pct,ge,25.0,1.0,0.996173241514445,1.0,26.0,"rule 2: FFMP drought-emergency (L5) boundary seasonal floor (26% of capacity) replaces the round 25; stricter, still all-pass",1.0,0.996173241514445,1.0,False,0.0
nj_delivery_reliability_weekly,ge,0.95,0.02,0.012983682916415136,0.030690005229717786,0.92,"rule 1: re-anchored at maintain-status-quo (anchor 0.9188 -> 0.92, stricter side)",0.214,0.1897000852144518,0.24048882063928573,True,0.98
ALL__joint_starr,joint,,0.0,2.168404344971009e-19,0.0038267584855551234,,Starr conjunction over all criteria,0.0,2.168404344971009e-19,0.0038267584855551234,False,
