objective,kind,current_threshold,frac_sow,frac_sow_ci_lo,frac_sow_ci_hi,stringency_sow,margin_worst_natural,margin_worst_iqr,sole_failure_frac_sow,cofailure_frac_sow
nyc_delivery_reliability_annual,ge,0.65,0.005,0.0021375355273244596,0.011650955373375113,0.995,-0.5177551020408163,-2.7338362068965516,0.0,0.995
nyc_delivery_deficit_p99_pct,le,48.0,0.98,0.9693099947702822,0.987016317083585,0.02,-11.188086410869722,-23821948938.97215,0.0,0.02
montague_flow_reliability_annual,ge,0.79,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,-0.5695918367346939,-3.0839779005524877,0.0,1.0
montague_flow_deficit_p99_pct,le,27.0,0.965,0.9517133776255466,0.9747277369828871,0.035,-16.862147628954894,-3.106027188880996,0.0,0.035
trenton_flow_reliability_annual,ge,0.87,0.054,0.04162131372306273,0.06979215484605245,0.946,-0.47489795918367345,-2.551535087719298,0.0,0.946
downstream_flood_exceedance_annual,le,1.17,0.443,0.41248859445810543,0.4739476560092479,0.557,-5.670014108803313,-3.872312687835702,0.0,0.557
nyc_storage_min_p01_pct,ge,26.0,0.014,0.00835757513042392,0.02336203411753566,0.986,-26.0,-1.900330453102267,0.0,0.986
nj_delivery_reliability_annual,ge,0.74,0.02,0.012983682916415136,0.030690005229717786,0.98,-0.5195918367346939,-2.476653696498055,0.0,0.98
